block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,rt,acc,time
1,True,1,1.411,84,[],[],"[(1112, 874)]",[],[1],[134],[2.2333333333333334],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.815],0,0.328
1,True,2,0.634,38,[],[],"[(1113, 929)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.816],0,59.114
1,True,3,1.164,69,[],[],"[(524, 308), (1141, 126), (936, 928), (1129, 416), (1078, 916)]",[],"[0, 0, 0, 0, 1]",[75],[1.25],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.083],1,62.118
1,True,4,1.243,74,[],[],"[(922, 790), (1105, 894)]",[],"[0, 1]",[84],[1.4],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.153],1,81.702
1,False,1,1.102,66,[],[],"[(1148, 893)]",[],[1],[72],[1.2],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.084],1,85.486
1,False,2,0.471,28,[],[],"[(1147, 915)]",[],[1],[65],[1.0833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.591],1,88.211
1,False,3,1.194,71,[],[],"[(619, 1018), (1113, 918)]",[],"[0, 1]",[88],[1.4666666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.27],1,90.836
1,False,4,1.391,83,[],[114560],"[(678, 501), (594, 495), (744, 709), (1112, 925)]","[(1078, 937)]","[0, 0, 0, 1]","[83, 133]","[1.3833333333333333, 2.216666666666667]","[640.0, 512.0]",horizontal,"(390.0, 762.0)","[0, 0.816]",0,93.856
1,False,5,0.668,40,[],[],"[(1154, 926)]",[],[1],[90],[1.5],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.806],0,102.023
1,False,6,1.334,80,[],[126111],"[(571, 563), (590, 558), (604, 696), (927, 838), (707, 868), (1118, 898)]","[(1086, 912)]","[0, 0, 0, 0, 0, 1]",[71],[1.1833333333333333],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0],0,105.158
1,False,7,1.166,69,[],[],"[(1131, 903)]",[],[1],[99],[1.65],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.474],1,112.756
1,False,8,1.493,89,[],[132362],"[(1111, 915)]","[(748, 200)]",[1],[87],[1.45],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0],0,116.0
