block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,invalid_same_bar,"[(1120, 875)]",[],[1],[0.4166666666666667],vertical,"(890.0, 262.0)",1.2833333333333332,0.381,1,0.1,1,0.0,same
0,2,valid,"[(1120, 875)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 762.0)",0.5166666666666666,0.304,1,9.977,1,0.0,same
0,3,valid,"[(1120, 875)]",[],[1],[0.31666666666666665],horizontal,"(390.0, 762.0)",0.48333333333333334,0.283,1,27.292,1,0.0,same
0,4,valid,"[(1120, 875)]",[],[1],[0.3833333333333333],horizontal,"(890.0, 762.0)",1.4166666666666667,0.35,1,37.111,2,0.0,same
0,5,valid,"[(1120, 875)]",[],[1],[0.2833333333333333],vertical,"(890.0, 262.0)",0.4,0.25,1,53.898,2,0.0,same
0,6,catch,"[(1120, 875)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,59.374,2,0.0,same
0,7,valid,"[(1120, 875)]",[],[1],[0.3],horizontal,"(890.0, 262.0)",0.55,0.267,1,96.628,3,0.0,same
0,8,catch,"[(1120, 875)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,102.481,3,0.0,same
