block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,invalid_adjacent_other_bar,"[(1038, 816)]",[],[1],[0.43333333333333335],vertical,"(890.0, 762.0)",1.3333333333333333,0.397,1,0.072,1,0.0,other
0,2,valid,"[(994, 828), (1086, 893)]",[],"[0, 1]",[0.3833333333333333],horizontal,"(890.0, 762.0)",1.05,0.345,1,209.199,1,0.0,same
0,3,valid,"[(1190, 794)]","[(1187, 809)]",[1],[0.21666666666666667],vertical,"(390.0, 262.0)",,"('bar', 0.234)",0,217.644,0,0.0,same
0,4,catch,"[(978, 807), (978, 832), (1032, 841)]",[],"[0, 0, 1]",[],vertical,"(390.0, 762.0)",1.7,nan,1,6148.199,1,0.0,same
0,5,valid,"[(1266, 844), (1188, 837)]","[(1188, 837)]","[0, 1]",[0.08333333333333333],horizontal,"(890.0, 762.0)",,"('bar', 0.102)",0,11557.459,0,0.0,same
0,6,catch,"[(1270, 866), (1104, 854)]",[],"[0, 1]",[],vertical,"(390.0, 262.0)",,"('fix', 0.504),nan",0,11724.635,0,0.16666666666666666,same
0,7,catch,"[(1153, 904)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,11837.382,1,0.14285714285714285,same
0,8,invalid_same_bar,"[(1276, 753), (995, 798), (1060, 855)]",[],"[0, 0, 1]",[0.45],horizontal,"(390.0, 262.0)",1.0333333333333332,0.411,1,11845.548,1,0.125,same
0,9,catch,"[(981, 845), (1045, 888)]",[],"[0, 1]",[],vertical,"(890.0, 262.0)",1.7,nan,1,11989.852,1,0.1111111111111111,same
0,10,valid,"[(1093, 848)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('fix', 0.443)",0,12003.865,0,0.1,same
0,11,valid,"[(1100, 765)]","[(1092, 807)]",[1],[0.16666666666666666],vertical,"(390.0, 262.0)",,"('bar', 0.182)",0,14412.471,0,0.09090909090909091,same
0,12,valid,"[(1147, 753), (1082, 795)]",[],"[0, 1]",[],vertical,"(390.0, 762.0)",,"('fix', 0.424)",0,14415.283,0,0.08333333333333333,same
0,13,valid,"[(1113, 859)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.0666666666666667,nan,0,14418.234,0,0.07692307692307693,same
0,14,valid,"[(1139, 795)]",[],[1],[],horizontal,"(890.0, 262.0)",,"('fix', 0.426)",0,16513.79,0,0.07142857142857142,same
0,15,catch,"[(1143, 756)]",[],[1],[],horizontal,"(890.0, 262.0)",,"('fix', 0.752),nan",0,16516.041,0,0.13333333333333333,same
0,16,valid,"[(1093, 830)]","[(1092, 838)]",[1],[0.18333333333333332],horizontal,"(890.0, 262.0)",,"('bar', 0.201)",0,16518.551,0,0.125,same
0,17,catch,"[(1117, 779)]","[(1093, 807)]",[1],[0.43333333333333335],vertical,"(890.0, 262.0)",,"('bar', 0.449),nan",0,16539.398,0,0.17647058823529413,same
0,18,valid,"[(1093, 755)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('fix', 0.422)",0,16544.115,0,0.16666666666666666,same
0,19,valid,"[(1137, 761)]","[(1071, 831)]",[1],[0.03333333333333333],vertical,"(890.0, 262.0)",,"('bar', 0.05)",0,16551.346,0,0.15789473684210525,same
0,20,catch,"[(1133, 759)]","[(1071, 833)]",[1],[0.3],vertical,"(390.0, 762.0)",,"('bar', 0.314),nan",0,16554.61,0,0.2,same
0,21,catch,"[(1086, 758)]",[],[1],[],horizontal,"(390.0, 762.0)",,"('fix', 0.295),nan",0,16557.489,0,0.23809523809523808,same
0,22,catch,"[(1137, 802)]",[],[1],[],horizontal,"(390.0, 762.0)",,"('fix', 0.464),nan",0,16571.421,0,0.2727272727272727,same
0,23,invalid_same_bar,"[(1093, 812)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('fix', 0.068)",0,16573.588,0,0.2608695652173913,same
0,24,valid,"[(1268, 216), (1279, 211), (1279, 210), (1279, 210), (1279, 210), (1278, 209), (1276, 209), (1277, 208), (1278, 209), (1144, 831)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.36666666666666664],vertical,"(890.0, 262.0)",1.35,0.335,1,16575.614,1,0.25,same
0,25,catch,"[(1112, 840)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,17311.075,1,0.24,same
0,26,invalid_adjacent_other_bar,"[(1133, 841)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.8166666666666667,0.548,1,17327.483,1,0.23076923076923078,other
0,27,valid,"[(1145, 848), (1142, 849)]",[],"[1, 1]",[],vertical,"(890.0, 762.0)",,"('fix', 0.049)",0,17332.088,0,0.2222222222222222,same
