block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,0.787,47,[],[],"[(1220, 890)]",[],[1],[77],[1.2833333333333332],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.5666666666666667],[0.493],1,0.433
1,True,2,0.449,26,[],[],"[(1200, 888)]",[],[1],[76],[1.2666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.45],[0.809],0,7.474
1,True,3,1.176,70,[],[],"[(1153, 893)]",[],[1],[120],[2.0],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.35],[0.813],0,11.722
1,True,4,1.275,76,[],[],"[(1120, 844)]",[],[1],[101],[1.6833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.6],[0.392],1,29.538
1,False,1,0.519,31,[],[],"[(1195, 894)]",[],[1],[73],[1.2166666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.3666666666666667],[0.695],1,44.701
1,False,2,0.652,39,[],[],"[(1184, 868)]",[],[1],[69],[1.15],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.9666666666666667],[0.476],1,54.464
1,False,3,0.931,55,[],[],"[(1198, 885)]",[],[1],[105],[1.75],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.0833333333333333],[0.804],0,58.275
1,False,4,0.539,32,[],[],"[(1156, 942)]",[],[1],[64],[1.0666666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.9833333333333333],[0.514],1,62.645
1,False,5,0.698,41,[],[],"[(1153, 907)]",[],[1],[75],[1.25],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.9666666666666667],[0.551],1,66.613
1,False,6,1.095,65,[],[],"[(1170, 902)]",[],[1],[104],[1.7333333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.2333333333333334],[0.624],1,70.476
1,False,7,0.51,30,[],[],"[(1166, 918)]",[],[1],[67],[1.1166666666666667],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.05],[0.606],1,74.984
1,False,8,0.547,32,[],[],"[(1176, 926)]",[],[1],[66],[1.1],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.6333333333333333],[0.554],1,79.145
1,False,9,0.989,59,[],[],"[(1177, 898)]",[],[1],[95],[1.5833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.1833333333333333],[0.574],1,83.579
1,False,10,0.539,32,[],[],"[(1172, 884)]",[],[1],[64],[1.0666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.3166666666666667],[0.517],1,87.972
1,False,11,0.559,33,[],[],"[(1185, 901)]",[],[1],[65],[1.0833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.7333333333333333],[0.521],1,91.91
1,False,12,0.521,31,[],[],"[(1206, 885)]",[],[1],[63],[1.05],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.6666666666666667],[0.511],1,95.281
1,False,13,0.873,52,[],[],"[(1171, 885)]",[],[1],[84],[1.4],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.7166666666666667],[0.507],1,99.493
1,False,14,1.066,63,[],[],"[(1196, 897)]",[],[1],[99],[1.65],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.75],[0.577],1,103.12
