block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,catch,"[(1116, 918)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.6666666666666667,nan,1,0.341
1,2,catch,"[(1152, 848)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.8166666666666667,nan,1,6.826
1,3,catch,"[(1152, 847)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.8666666666666667,nan,1,86.673
1,4,catch,"[(1137, 860)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.2666666666666666,nan,1,114.022
1,5,catch,"[(704, 706), (818, 773), (819, 657), (862, 671), (1155, 824), (826, 677)]",[],"[0, 0, 0, 0, 1, 0]",[],vertical,"(890.0, 762.0)",,fix_phase,0,119.016
1,6,catch,"[(927, 585), (709, 773), (1072, 868)]",[],"[0, 0, 1]",[0.05],horizontal,"(890.0, 762.0)",1.1,0.018,0,123.935
1,7,catch,"[(923, 565), (962, 594), (894, 705), (709, 614), (989, 570), (893, 565), (854, 794), (719, 783), (907, 802), (748, 802), (705, 798), (917, 811), (827, 793), (849, 817), (719, 821), (898, 677), (732, 652), (869, 833), (942, 851), (952, 730), (932, 701), (901, 705), (808, 710), (839, 889), (916, 720), (734, 914), (830, 872), (686, 909), (802, 829), (1047, 723), (747, 914), (859, 919), (888, 855), (826, 773), (936, 933), (888, 764), (864, 938), (917, 928), (821, 880), (932, 885), (912, 943), (888, 885), (760, 725), (777, 739), (933, 720), (922, 986), (927, 986), (826, 928), (858, 991), (797, 875), (779, 925), (893, 938), (782, 941), (883, 957), (893, 880), (1062, 891)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.85],horizontal,"(390.0, 762.0)",1.05,nan,1,129.674
1,8,catch,"[(1069, 909)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.8166666666666667,nan,1,11738.707
1,9,catch,"[(1072, 889)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",1.1666666666666667,0.488,0,11744.322
1,10,catch,"[(1079, 896)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.25,nan,1,11750.491
2,11,catch,"[(1072, 879)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.8833333333333333,nan,1,11755.753
2,12,catch,"[(1055, 889)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",0.7333333333333333,0.555,0,11760.366
2,13,catch,"[(1057, 892)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",1.35,0.523,0,11765.374
2,14,catch,"[(1076, 893)]",[],[1],[0.65],vertical,"(890.0, 262.0)",1.55,0.604,0,11770.167
2,15,catch,"[(1076, 867)]",[],[1],[0.85],vertical,"(890.0, 262.0)",1.2833333333333332,nan,1,11774.989
2,16,catch,"[(1065, 890)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.85,nan,1,11780.006
2,17,catch,"[(1069, 897)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,11785.389
2,18,catch,"[(1076, 896)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.6333333333333333,nan,1,11790.84
2,19,catch,"[(1076, 894)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",1.4,0.562,0,11796.543
2,20,catch,"[(1076, 902)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.2,nan,1,11802.374
3,21,catch,"[(1072, 905)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.55,nan,1,11807.365
3,22,catch,"[(1067, 910)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",0.65,0.48,0,11812.523
3,23,catch,"[(1067, 891)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.9166666666666666,nan,1,11817.493
3,24,catch,"[(1072, 904)]",[],[1],[0.4],vertical,"(390.0, 762.0)",0.8,0.367,0,11822.038
3,25,catch,"[(1057, 898)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,11827.021
3,26,catch,"[(1014, 903)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",0.6333333333333333,0.437,0,11830.892
3,27,catch,"[(1076, 893)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,11835.289
3,28,catch,"[(1076, 902)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.65,nan,1,11839.722
3,29,catch,"[(1072, 912)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.1,0.478,0,11844.915
3,30,catch,"[(1076, 904)]",[],[1],[0.7],vertical,"(390.0, 262.0)",1.5833333333333333,0.656,0,11850.342
4,31,catch,"[(1067, 875)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.6833333333333333,nan,1,11855.534
4,32,catch,"[(1094, 902)]",[],[1],[0.3333333333333333],vertical,"(390.0, 262.0)",1.3166666666666667,0.295,0,11860.088
4,33,catch,"[(1058, 904)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.7833333333333333,nan,1,11865.713
