block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,1.111,66,[],[],"[(1064, 833)]",[],[1],[25],[0.4166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.3666666666666667],[0.38],1,0.363
1,True,2,1.192,71,[],[],"[(1059, 849)]",[],[1],[36],[0.6],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.65],[0.556],1,150.363
1,True,3,0.57,34,[],[917452],"[(1184, 904)]","[(1176, 910)]",[1],[11],[0.18333333333333332],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,156.378
1,True,4,0.556,33,[],[],"[(1137, 888)]",[],[1],[30],[0.5],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.7666666666666666],[0.461],1,911.384
1,False,1,1.15,69,[],[],"[(1140, 875)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.8],[0.487],1,921.716
1,False,2,0.783,46,[],[],"[(1116, 885)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.6166666666666667],[0.53],1,926.236
1,False,3,0.998,59,[],[],"[(1056, 886)]",[],[1],[11],[0.18333333333333332],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.2333333333333334],[0.148],1,931.112
1,False,4,1.089,65,[],[],"[(274, 902), (288, 889), (277, 905), (535, 387), (1133, 902)]",[],"[0, 0, 0, 0, 1]",[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.9166666666666666],[0.524],1,935.675
1,False,5,0.912,54,[],[],"[(1099, 850)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.0333333333333332],[0.509],1,1130.693
1,False,6,0.84,50,[],[],"[(1081, 883)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.45],[0.538],1,1135.117
1,False,7,0.876,52,[],[],"[(1108, 900)]",[],[1],[41],[0.6833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.5333333333333333],[0.641],1,1140.069
1,False,8,0.662,39,[],[],"[(1117, 880)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.25],[0.493],1,1144.1
1,False,9,0.883,52,[],[],"[(1153, 867)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.0333333333333332],[0.575],1,1148.691
1,False,10,0.689,41,[],[],"[(1115, 855)]",[],[1],[36],[0.6],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6666666666666666],[0.557],1,1319.542
1,False,11,0.759,45,[],[],"[(1123, 856)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.35],[0.804],0,1323.766
1,False,12,0.559,33,[],[],"[(1153, 858)]",[],[1],[36],[0.6],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.05],[0.555],1,1328.748
1,False,13,0.655,39,[],[],"[(1046, 834)]",[],[1],[43],[0.7166666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.1833333333333333],[0.67],1,1333.151
1,False,14,0.653,39,[],[],"[(1091, 859)]",[],[1],[38],[0.6333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.5333333333333332],[0.594],1,1337.85
1,False,15,0.522,31,[],[],"[(1104, 858)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.3666666666666667],[0.797],0,1342.835
1,False,16,0.599,35,[],[],"[(1196, 918)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[],[0],0,1347.611
1,False,17,0.827,49,[],[],"[(1184, 861)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,1349.441
1,False,18,1.156,69,[],[],"[(1128, 966), (1095, 858)]",[],"[0, 1]",[],[],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[],[0],0,1351.185
1,False,19,0.587,35,[],[],"[(1185, 890)]",[],[1],[49],[0.8166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.0666666666666667],[0.773],1,1385.348
1,False,20,1.004,60,[],[],"[(1051, 884)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.4],[0.492],1,1404.42
1,False,21,1.03,61,[],[],"[(1111, 880)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.65],[0.542],1,1409.491
1,False,22,1.015,60,[],[],"[(1105, 878)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.9666666666666667],[0.537],1,1413.638
1,False,23,0.634,38,[],[],"[(1086, 878)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.2666666666666666],[0.509],1,1418.18
1,False,24,1.094,65,[],[],"[(1076, 858)]",[],[1],[46],[0.7666666666666666],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.55],[0.727],1,1422.801
1,False,25,1.187,71,[],[],"[(1111, 874)]",[],[1],[39],[0.65],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.4333333333333333],[0.61],1,1428.267
1,False,26,0.848,50,[],[],"[(1048, 877)]",[],[1],[36],[0.6],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.35],[0.557],1,1433.53
1,False,27,1.07,64,[],[],"[(1126, 856)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.6666666666666666],[0.802],0,1438.569
1,False,28,0.618,37,[],[],"[(1196, 866)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.9166666666666666],[0.802],0,1445.22
1,False,29,0.958,57,[],[],"[(1093, 880)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.5166666666666666],[0.802],0,1449.609
1,False,30,0.925,55,[],[],"[(1047, 877)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.1166666666666667],[0.808],0,1466.253
1,False,31,1.154,69,[],[],"[(1087, 889)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.45],[0.801],0,1472.744
1,False,32,0.827,49,[],[],"[(1066, 861)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.2333333333333334],[0.803],0,1479.751
1,False,33,0.812,48,[],[],"[(1148, 863)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.1833333333333333],[0.802],0,1486.07
1,False,34,1.175,70,[],[],"[(1196, 861)]",[],[1],[38],[0.6333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.0666666666666667],[0.595],1,1508.418
1,False,35,0.63,37,[],[],"[(1101, 886)]",[],[1],[44],[0.7333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.6833333333333333],[0.686],1,1513.166
1,False,36,1.171,70,[],[],"[(1080, 888)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.5666666666666667],[0.539],1,1520.041
1,False,37,0.514,30,[],[],"[(1026, 864), (1116, 861)]",[],"[0, 1]",[31],[0.5166666666666666],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.2666666666666666],[0.474],1,1525.35
1,False,38,0.858,51,[],[],"[(1050, 864)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.6833333333333333],[0.497],1,1532.486
1,False,39,1.066,63,[],[],"[(1096, 885)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.4333333333333333],[0.507],1,1537.601
1,False,40,0.608,36,[],[],"[(1099, 876)]",[],[1],[49],[0.8166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.15],[0.773],1,1542.714
