block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,catch,"[(1102, 835)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.633333333,nan,1,0.02
1,2,catch,"[(1123, 902)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.8,nan,1,24.652
1,3,catch,"[(1017, 976), (1038, 865)]",[],"[0, 1]",[0.85],horizontal,"(890.0, 762.0)",0.616666667,nan,1,955.674
1,4,catch,"[(1104, 996), (1063, 895)]",[],"[0, 1]",[0.48333333333333334],vertical,"(390.0, 262.0)",1.65,0.444,0,1056.139
1,5,catch,"[(1069, 888)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.5,nan,1,4798.849
1,6,catch,"[(1037, 890)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.2,nan,1,4804.7
1,7,catch,"[(687, 842), (1005, 917)]",[],"[0, 1]",[0.85],vertical,"(890.0, 262.0)",1,nan,1,4810.367
1,8,target,"[(1061, 922)]",[],[1],[0.55],vertical,"(890.0, 762.0)",1.283333333,0.512,1,4815.903
1,9,catch,"[(1056, 898)]",[],[1],[0.35],horizontal,"(390.0, 762.0)",1.466666667,0.324,0,4821.549
1,10,catch,"[(1191, 436), (596, 789), (698, 591), (984, 880), (1070, 887)]",[],"[0, 0, 0, 0, 1]",[],vertical,"(890.0, 262.0)",,fix_phase,0,4826.347
2,11,catch,"[(1027, 408), (1072, 894)]",[],"[0, 1]",[],vertical,"(390.0, 762.0)",,fix_phase,0,4829.95
2,12,catch,"[(911, 413), (795, 422), (493, 481), (1022, 447), (1017, 485), (1045, 849)]",[],"[0, 0, 0, 0, 0, 1]",[0.85],vertical,"(390.0, 262.0)",0.616666667,nan,1,4832.522
2,13,catch,"[(1006, 808)]",[],[1],[],vertical,"(390.0, 262.0)",,fix_phase,0,4841.515
2,14,catch,"[(809, 451), (887, 663), (751, 451), (1051, 883)]",[],"[0, 0, 0, 1]",[0.85],vertical,"(390.0, 262.0)",1.4,nan,1,4843.434
2,15,catch,"[(1056, 923)]",[],[1],[],horizontal,"(890.0, 762.0)",,fix_phase,0,4852.399
2,16,catch,"[(819, 943), (644, 996), (1079, 868)]",[],"[0, 0, 1]",[0.2833333333333333],vertical,"(390.0, 762.0)",1.55,0.254,0,4856.499
2,17,catch,"[(1012, 868)]",[],[1],[],vertical,"(390.0, 262.0)",,fix_phase,0,4863.15
2,18,catch,"[(1153, 938)]","[(1162, 912)]",[1],[0.1],vertical,"(890.0, 762.0)",,bar_phase,0,4865.233
2,19,catch,"[(1119, 861)]",[],[1],[],vertical,"(890.0, 262.0)",,fix_phase,0,4867.417
2,20,catch,"[(959, 418), (1035, 882)]",[],"[0, 1]",[0.43333333333333335],horizontal,"(390.0, 262.0)",1.2,0.398,0,4870.051
3,21,target,"[(988, 888), (1095, 924)]",[],"[0, 1]",[],horizontal,"(890.0, 262.0)",,cti_phase,0,4878.225
3,22,target,"[(1031, 897)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,4884.232
3,23,target,"[(1036, 885)]",[],[1],[0.6],vertical,"(890.0, 262.0)",1.25,0.557,1,4891.552
3,24,target,"[(979, 861), (316, 906), (340, 1010), (296, 769), (1085, 887)]",[],"[0, 0, 0, 0, 1]",[0.4666666666666667],horizontal,"(390.0, 262.0)",1.016666667,0.432,1,4896.752
3,25,target,"[(959, 789), (313, 740), (1056, 933)]",[],"[0, 0, 1]",[0.5833333333333334],vertical,"(890.0, 262.0)",1.133333333,0.543,1,4917.449
3,26,target,"[(1059, 925)]",[],[1],[0.6],vertical,"(390.0, 262.0)",0.633333333,0.564,1,4926.902
3,27,catch,"[(1061, 928)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.866666667,nan,1,4931.207
3,28,target,"[(1063, 923)]",[],[1],[0.55],vertical,"(890.0, 762.0)",1.133333333,0.511,1,4935.917
3,29,catch,"[(1034, 932)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.883333333,nan,1,4941.016
3,30,target,"[(1024, 909)]",[],[1],[0.4],vertical,"(890.0, 762.0)",1.483333333,0.359,1,4946.267
4,31,target,"[(1057, 919)]",[],[1],[0.4],vertical,"(390.0, 262.0)",1.45,0.359,1,4951.236
4,32,target,"[(1052, 915)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 762.0)",1.65,0.431,1,4956.767
4,33,target,"[(1066, 918)]",[],[1],[0.8333333333333334],vertical,"(890.0, 262.0)",0.583333333,0.789,1,4961.917
4,34,target,"[(1042, 919)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",1.266666667,0.491,1,4966.435
4,35,target,"[(1042, 928)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",1.066666667,0.559,1,4971.35
4,36,target,"[(1037, 910)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",1.466666667,0.556,1,4976.271
4,37,target,"[(1042, 910)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.183333333,0.46,1,4981.284
4,38,target,"[(1064, 911)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.816666667,nan,0,4986.164
4,39,target,"[(1075, 899)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 262.0)",1.433333333,0.496,1,4990.866
4,40,target,"[(1053, 914)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,4996.435
5,41,target,"[(1075, 900)]",[],[1],[0.6333333333333333],vertical,"(890.0, 262.0)",0.883333333,0.591,1,5001.215
5,42,target,"[(1051, 916)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.433333333,0.475,1,5005.872
5,43,target,"[(1058, 893)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",1.083333333,0.495,1,5010.927
5,44,target,"[(1061, 916)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1,nan,0,5016.003
5,45,target,"[(1082, 897)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.083333333,0.496,1,5020.903
5,46,target,"[(1061, 927)]",[],[1],[0.06666666666666667],horizontal,"(390.0, 762.0)",1.666666667,0.036,1,5025.684
5,47,target,"[(1056, 920)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",1.066666667,0.524,1,5030.751
5,48,catch,"[(1052, 918)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.3,nan,1,5035.951
5,49,target,"[(1037, 889)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",1.35,0.53,1,5040.902
5,50,target,"[(1051, 898)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.616666667,nan,0,5046.217
6,51,target,"[(1061, 903)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.55,nan,0,5051.298
6,52,catch,"[(1061, 895)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.55,nan,1,5056.516
6,53,catch,"[(1065, 899)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.833333333,nan,1,5061.553
6,54,target,"[(1012, 897)]",[],[1],[0.65],vertical,"(390.0, 762.0)",0.666666667,0.604,1,5069.801
6,55,target,"[(1085, 897)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.483333333,nan,0,5074.05
6,56,target,"[(1064, 885)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",1.266666667,0.521,1,5080.085
6,57,target,"[(1085, 908)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",0.833333333,0.542,1,5090.041
6,58,target,"[(1076, 902)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.866666667,nan,0,5094.684
6,59,target,"[(1077, 905)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",0.866666667,0.492,1,5099.885
6,60,target,"[(1051, 906)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",0.75,0.557,1,5104.424
7,61,catch,"[(1022, 919)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.9,nan,1,5108.823
7,62,target,"[(1056, 915)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",0.733333333,0.522,1,5113.631
7,63,target,"[(1080, 903)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 262.0)",1.216666667,0.345,1,5118.635
7,64,catch,"[(1061, 909)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.816666667,nan,1,5123.934
7,65,target,"[(1077, 902)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.516666667,nan,0,5129.297
7,66,target,"[(1085, 894)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.566666667,nan,0,5135.086
7,67,target,"[(1066, 887)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.133333333,nan,0,5139.524
7,68,target,"[(1080, 905)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.533333333,nan,0,5145.084
7,69,target,"[(1066, 876)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.183333333,nan,0,5149.452
7,70,catch,"[(1085, 896)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.1,nan,1,5154.734
8,71,catch,"[(1076, 923)]",[],[1],[0.2],vertical,"(390.0, 762.0)",1.616666667,0.167,0,5159.951
8,72,target,"[(1086, 888)]",[],[1],[0.8333333333333334],horizontal,"(390.0, 262.0)",1.416666667,0.785,1,5165.135
8,73,target,"[(1081, 914)]",[],[1],[0.3333333333333333],horizontal,"(390.0, 762.0)",1.45,0.295,1,5170.677
8,74,target,"[(1079, 910)]",[],[1],[0.7166666666666667],horizontal,"(890.0, 262.0)",0.516666667,0.671,1,5175.971
8,75,catch,"[(1080, 887)]",[],[1],[0.8166666666666667],horizontal,"(890.0, 762.0)",1.683333333,0.779,0,5180.604
8,76,catch,"[(1085, 901)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.3,nan,1,5186.202
8,77,target,"[(1068, 869)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 762.0)",0.566666667,0.59,1,5191.47
8,78,catch,"[(1063, 905)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.833333333,nan,1,5195.986
8,79,target,"[(1081, 899)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.6,0.493,1,5201.039
8,80,catch,"[(1067, 888)]",[],[1],[0.3],horizontal,"(390.0, 762.0)",1.633333333,0.261,0,5206.585
9,81,catch,"[(1071, 876)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.016666667,nan,1,5212.245
9,82,catch,"[(1082, 903)]",[],[1],[0.3833333333333333],vertical,"(390.0, 762.0)",1.533333333,0.345,0,5217.468
9,83,target,"[(1085, 885)]",[],[1],[0.55],vertical,"(390.0, 262.0)",1.216666667,0.511,1,5222.635
9,84,target,"[(1081, 914)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.083333333,0.496,1,5227.652
9,85,target,"[(1057, 886)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",1.666666667,0.542,1,5232.531
9,86,target,"[(1075, 905)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",1.1,0.574,1,5237.951
9,87,target,"[(1080, 899)]",[],[1],[0.6],vertical,"(890.0, 762.0)",1.1,0.559,1,5243.237
9,88,target,"[(1061, 911)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",0.966666667,0.574,1,5248.681
9,89,catch,"[(1071, 900)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.633333333,nan,1,5253.318
9,90,catch,"[(1081, 899)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.583333333,nan,1,5258.001
10,91,catch,"[(1077, 908)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.516666667,nan,1,5262.389
10,92,catch,"[(1076, 902)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.966666667,nan,1,5268.353
10,93,target,"[(1067, 905)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.116666667,nan,0,5273.552
10,94,catch,"[(809, 130), (823, 128), (950, 822), (1090, 915)]",[],"[0, 0, 0, 1]",[0.85],vertical,"(890.0, 762.0)",1.05,nan,1,5278.652
10,95,catch,"[(1077, 883)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.3,nan,1,5347.986
10,96,catch,"[(1086, 884)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.5,nan,1,5353.453
10,97,catch,"[(1057, 906)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.366666667,nan,1,5362.203
10,98,catch,"[(1061, 894)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.966666667,nan,1,5367.669
10,99,catch,"[(1038, 890)]",[],[1],[0.31666666666666665],horizontal,"(390.0, 762.0)",0.983333333,0.283,0,5373.235
10,100,catch,"[(1075, 897)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.283333333,nan,1,5378.071
11,101,catch,"[(1057, 906)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.95,nan,1,5383.763
11,102,target,"[(1063, 914)]",[],[1],[0.55],vertical,"(890.0, 762.0)",1.433333333,0.508,1,5389.037
11,103,catch,"[(1064, 909)]",[],[1],[0.18333333333333332],vertical,"(390.0, 762.0)",1.583333333,0.148,0,5394.602
11,104,catch,"[(1085, 886)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.6,nan,1,5399.556
11,105,catch,"[(1086, 910)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.1,nan,1,5404.186
11,106,catch,"[(1081, 892)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.983333333,nan,1,5408.769
11,107,catch,"[(1066, 897)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.683333333,nan,1,5413.984
11,108,catch,"[(1057, 881)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.7,nan,1,5418.37
11,109,catch,"[(1056, 902)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.1,nan,1,5423.392
11,110,catch,"[(1056, 907)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.933333333,nan,1,5428.737
12,111,catch,"[(1056, 893)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.883333333,nan,1,5434.331
12,112,catch,"[(1056, 915)]",[],[1],[0.6833333333333333],vertical,"(890.0, 262.0)",1.666666667,0.645,0,5440.586
