block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1074, 783)]",[],[1],[0.3833333333333333],vertical,"(890.0, 262.0)",0.75,0.351,1,0.643,1
0,2,catch,"[(996, 866), (993, 871), (994, 873), (994, 873), (994, 873), (994, 873), (994, 873), (993, 873), (993, 873), (987, 868), (987, 868), (987, 868), (987, 868), (988, 869), (987, 869), (988, 869), (988, 869), (988, 869), (995, 873), (995, 873), (182, 1010), (806, 679), (935, 673), (797, 678), (1025, 904)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[],vertical,"(390.0, 762.0)",1.0,nan,1,151.273,1
0,3,target,"[(1067, 843)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.6333333333333333,nan,0,4000.553,0
0,4,target,"[(1036, 861)]",[],[1],[0.8],horizontal,"(890.0, 762.0)",1.45,0.747,1,4005.232,1
0,5,target,"[(1063, 870)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.5333333333333332,nan,0,4889.495,0
0,6,target,"[(1061, 845)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.5333333333333333,nan,0,4894.972,0
0,7,target,"[(1033, 811)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.5,nan,0,4899.088,0
0,8,target,"[(471, 543), (1029, 848)]",[],"[0, 1]",[0.6333333333333333],vertical,"(390.0, 262.0)",0.9,0.59,1,4904.508,1
0,9,target,"[(1009, 847)]",[],[1],[0.6833333333333333],vertical,"(890.0, 262.0)",1.15,0.637,1,4911.968,1
0,10,target,"[(1075, 817)]",[],[1],[],vertical,"(390.0, 762.0)",,"('cti', 1.607)",0,4917.739,0
0,11,target,"[(1053, 828)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.75,0.505,1,4922.972,1
0,12,catch,"[(1013, 838)]",[],[1],[],horizontal,"(390.0, 762.0)",1.3333333333333333,nan,1,4927.999,1
