block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(1088, 833)]",[],[1],[0.4166666666666667],vertical,"(890.0, 262.0)",1.2333333333333334,0.38,1,0.02
1,2,target,"[(1086, 830)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)",0.5166666666666666,0.381,1,5.632
1,3,target,"[(204, 778), (296, 795), (218, 822), (277, 946), (507, 803), (875, 953), (194, 803), (854, 808), (295, 832), (691, 842), (155, 859), (170, 879), (487, 876), (151, 794), (228, 895), (208, 905), (213, 919), (228, 961), (184, 967), (204, 943), (720, 962), (700, 140), (392, 976), (854, 991), (850, 1000), (1005, 905)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[],vertical,"(390.0, 762.0)",,cti_phase,0,15.384
1,4,target,"[(1078, 894)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",0.8166666666666667,0.474,1,101.233
1,5,target,"[(1062, 898)]",[],[1],[0.7166666666666667],horizontal,"(890.0, 762.0)",1.5333333333333332,0.691,1,105.434
1,6,target,"[(1049, 904)]",[],[1],[],vertical,"(890.0, 262.0)",,cti_phase,0,110.779
1,7,target,"[(1062, 883)]",[],[1],[0.4],vertical,"(890.0, 262.0)",1.0833333333333333,0.361,1,115.884
1,8,target,"[(1070, 915)]",[],[1],[0.08333333333333333],horizontal,"(890.0, 762.0)",1.6333333333333333,0.053,1,121.76
1,9,target,"[(1063, 896)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",1.3666666666666667,0.525,1,126.25
1,10,target,"[(1073, 901)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.2166666666666666,0.475,1,131.698
2,11,target,"[(1072, 909)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",1.2,0.544,1,136.321
2,12,target,"[(1070, 911)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.7833333333333333,0.495,1,140.822
2,13,target,"[(1099, 924)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",0.95,0.478,1,144.844
2,14,target,"[(1033, 905)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",0.75,0.476,1,149.249
2,15,target,"[(1095, 913)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.5,0.478,1,153.308
2,16,target,"[(1070, 913)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",0.8,0.529,1,158.683
2,17,target,"[(1067, 900)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",1.1166666666666667,0.521,1,163.144
2,18,target,"[(1065, 893)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",1.05,0.477,1,168.3
2,19,catch,"[(1089, 893)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.6166666666666667,nan,1,172.818
2,20,target,"[(1062, 885)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",0.85,0.56,1,177.245
3,21,target,"[(1073, 907)]",[],[1],[0.7333333333333333],horizontal,"(390.0, 262.0)",0.8833333333333333,0.69,1,181.967
3,22,target,"[(1082, 916)]",[],[1],[0.6833333333333333],horizontal,"(390.0, 762.0)",1.1166666666666667,0.641,1,186.6
