block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,1,target,"[(1042, 847)]",[],[1],[0.3833333333333333],vertical,"(390.0, 262.0)",0.7666666666666666,0.353,1,0.09,1,0.0,0.1
0,2,target,"[(1004, 828), (1025, 846)]",[],"[0, 1]",[0.85],vertical,"(890.0, 262.0)",0.6166666666666667,nan,0,5.556,0,0.0,0.1
0,3,catch,"[(1023, 817)]",[],[1],[],horizontal,"(890.0, 762.0)",1.6,nan,1,119.023,1,0.0,0.1
0,4,catch,"[(1016, 830)]",[],[1],[0.03333333333333333],horizontal,"(390.0, 762.0)",1.6,"0.018,nan",0,130.538,0,0.25,0.1
0,5,target,"[(988, 786), (1052, 857)]",[],"[0, 1]",[0.5333333333333333],vertical,"(890.0, 262.0)",0.85,0.505,1,135.191,1,0.2,0.1
0,6,target,"[(1038, 825)]",[],[1],[0.45],vertical,"(890.0, 262.0)",0.75,0.417,1,2049.933,1,0.16666666666666666,0.1
0,7,target,"[(1038, 786)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.65,0.549,1,2054.831,2,0.14285714285714285,0.1
0,8,target,"[(1052, 796)]",[],[1],[0.23333333333333334],horizontal,"(390.0, 262.0)",1.4166666666666667,0.2,1,2059.932,2,0.125,0.1
0,9,target,"[(1035, 819)]",[],[1],[0.2833333333333333],vertical,"(890.0, 762.0)",1.3166666666666667,0.25,1,2065.117,2,0.1111111111111111,0.1
0,10,target,"[(1046, 812)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",0.6166666666666667,0.569,1,2070.646,2,0.1,0.1
0,11,target,"[(1017, 775)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",0.9166666666666666,0.45,1,2075.842,3,0.09090909090909091,0.1
0,12,target,"[(1038, 796)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 262.0)",0.9333333333333333,0.501,1,2080.877,3,0.08333333333333333,0.1
0,13,target,"[(1031, 792)]",[],[1],[0.65],horizontal,"(390.0, 762.0)",0.8666666666666667,0.608,1,2086.15,3,0.07692307692307693,0.1
0,14,target,"[(1045, 825)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.95,0.51,1,2093.197,3,0.07142857142857142,0.1
0,15,target,"[(1032, 810)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.65,0.597,1,2098.527,3,0.06666666666666667,0.1
0,16,target,"[(1038, 801)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.8166666666666667,0.448,1,2104.265,3,0.0625,0.1
0,17,target,"[(1045, 780)]",[],[1],[0.26666666666666666],vertical,"(890.0, 262.0)",1.4333333333333333,0.231,1,2109.608,3,0.058823529411764705,0.1
0,18,target,"[(1039, 802)]",[],[1],[0.6333333333333333],vertical,"(890.0, 262.0)",1.05,0.595,1,2115.366,3,0.05555555555555555,0.1
0,19,target,"[(1046, 820)]",[],[1],[0.23333333333333334],horizontal,"(890.0, 762.0)",1.4833333333333334,0.198,0,2120.917,0,0.05263157894736842,0.1
0,20,catch,"[(1037, 800)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.559),nan",0,2125.631,0,0.1,0.1
0,21,target,"[(1054, 813)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",1.1833333333333333,0.477,1,2130.212,1,0.09523809523809523,0.1
0,22,target,"[(1021, 786)]",[],[1],[0.06666666666666667],vertical,"(890.0, 762.0)",1.55,0.035,0,2135.114,0,0.09090909090909091,0.1
0,23,target,"[(1049, 820)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.1,0.463,1,2139.981,1,0.08695652173913043,0.1
0,24,target,"[(1045, 787)]",[],[1],[0.4],vertical,"(890.0, 762.0)",1.2833333333333332,0.369,1,2145.026,1,0.08333333333333333,0.1
0,25,target,"[(1029, 807)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",0.7,0.499,1,2149.716,2,0.08,0.1
0,26,catch,"[(1029, 793)]",[],[1],[],vertical,"(890.0, 762.0)",1.6,nan,1,2154.475,2,0.07692307692307693,0.1
0,27,target,"[(1032, 811)]",[],[1],[0.75],vertical,"(890.0, 262.0)",0.8166666666666667,0.711,1,2159.749,2,0.07407407407407407,0.1
0,28,target,"[(1039, 806)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",0.85,0.542,1,2165.379,2,0.07142857142857142,0.1
0,29,target,"[(1052, 791)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.4,0.461,1,2170.681,3,0.06896551724137931,0.1
0,30,target,"[(1039, 809)]",[],[1],[0.4],vertical,"(390.0, 262.0)",1.35,0.366,1,2176.761,3,0.06666666666666667,0.1
0,31,target,"[(1027, 790)]",[],[1],[0.45],vertical,"(890.0, 762.0)",1.3666666666666667,0.418,1,2182.763,3,0.06451612903225806,0.1
0,32,target,"[(1021, 784)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.6,0.511,1,2188.778,3,0.0625,0.1
0,33,target,"[(1052, 773)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 262.0)",1.2666666666666666,0.299,1,2193.551,3,0.06060606060606061,0.1
0,34,target,"[(1031, 796)]",[],[1],[0.36666666666666664],horizontal,"(390.0, 262.0)",1.4666666666666666,0.332,1,2199.146,3,0.058823529411764705,0.1
0,35,target,"[(1029, 781)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",1.25,0.447,1,2204.999,3,0.05714285714285714,0.1
0,36,catch,"[(1055, 790)]",[],[1],[],horizontal,"(390.0, 762.0)",1.6,nan,1,2211.281,3,0.05555555555555555,0.1
0,37,target,"[(1028, 786)]",[],[1],[0.7],vertical,"(390.0, 262.0)",0.5,0.664,1,2217.108,3,0.05405405405405406,0.1
0,38,target,"[(1028, 784)]",[],[1],[0.45],vertical,"(890.0, 762.0)",0.9833333333333333,0.417,1,2222.704,3,0.05263157894736842,0.1
0,39,target,"[(1020, 783)]",[],[1],[0.65],vertical,"(390.0, 762.0)",0.5333333333333333,0.611,1,2228.294,3,0.05128205128205128,0.1
0,40,target,"[(1030, 794)]",[],[1],[0.4166666666666667],vertical,"(390.0, 262.0)",1.2333333333333334,0.38,1,2233.279,3,0.05,0.1
0,41,target,"[(1058, 798)]",[],[1],[0.5],vertical,"(890.0, 262.0)",0.7666666666666666,0.469,1,2238.911,3,0.04878048780487805,0.1
0,42,target,"[(1030, 800)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",0.9,0.529,1,2244.292,3,0.047619047619047616,0.1
0,43,target,"[(1033, 793)]",[],[1],[0.6],vertical,"(890.0, 262.0)",0.55,0.567,1,2249.997,3,0.046511627906976744,0.1
0,44,target,"[(1029, 785)]",[],[1],[0.31666666666666665],vertical,"(390.0, 262.0)",1.3166666666666667,0.282,1,2254.975,3,0.045454545454545456,0.1
0,45,target,"[(1029, 779)]",[],[1],[0.1],horizontal,"(890.0, 762.0)",1.4,0.066,0,2260.567,0,0.044444444444444446,0.1
0,46,target,"[(1025, 781)]",[],[1],[0.7166666666666667],horizontal,"(390.0, 262.0)",0.8333333333333334,0.675,1,2265.311,1,0.043478260869565216,0.1
0,47,target,"[(1026, 793)]",[],[1],[0.45],vertical,"(390.0, 262.0)",1.2833333333333332,0.415,1,2269.817,1,0.0425531914893617,0.1
0,48,target,"[(1026, 792)]",[],[1],[0.3833333333333333],vertical,"(390.0, 262.0)",1.3,0.346,1,2274.636,2,0.041666666666666664,0.1
0,49,target,"[(1029, 780)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",0.5166666666666666,0.5,1,2280.098,2,0.04081632653061224,0.1
0,50,target,"[(1029, 791)]",[],[1],[0.31666666666666665],vertical,"(390.0, 262.0)",1.4,0.284,1,2285.179,2,0.04,0.1
0,51,target,"[(1029, 780)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.5833333333333334,0.482,1,2290.677,2,0.04,0.1
0,52,target,"[(1021, 790)]",[],[1],[0.65],horizontal,"(390.0, 762.0)",1.2166666666666666,0.618,1,2295.595,3,0.04,0.1
0,53,target,"[(1029, 786)]",[],[1],[0.3333333333333333],vertical,"(390.0, 262.0)",1.4166666666666667,0.3,1,2301.317,3,0.04,0.1
0,54,target,"[(1029, 780)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.0833333333333333,0.523,1,2307.079,3,0.02,0.1
0,55,catch,"[(1047, 797)]",[],[1],[],horizontal,"(390.0, 762.0)",1.6,nan,1,2312.627,3,0.02,0.1
0,56,target,"[(1029, 786)]",[],[1],[],horizontal,"(890.0, 262.0)",,"('cti', 1.145)",0,2318.081,0,0.04,0.1
0,57,target,"[(1026, 798)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.8333333333333334,0.513,1,2322.601,1,0.04,0.1
0,58,target,"[(1025, 766)]",[],[1],[0.6833333333333333],vertical,"(890.0, 762.0)",1.0333333333333332,0.649,1,2327.111,1,0.04,0.1
0,59,target,"[(1008, 786)]",[],[1],[0.75],horizontal,"(390.0, 762.0)",0.95,0.715,1,2331.773,2,0.04,0.1
0,60,target,"[(1033, 789)]",[],[1],[0.6],vertical,"(390.0, 762.0)",0.5666666666666667,0.564,1,2337.513,2,0.04,0.1
0,61,catch,"[(1023, 807)]",[],[1],[],vertical,"(390.0, 262.0)",1.6,nan,1,2342.749,2,0.04,0.1
0,62,target,"[(1029, 805)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('cti', 1.512)",0,2347.883,0,0.06,0.1
0,63,target,"[(1029, 791)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",1.3166666666666667,0.461,1,2353.243,1,0.06,0.1
0,64,target,"[(1029, 780)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",0.8166666666666667,0.503,1,2358.487,1,0.06,0.1
0,65,target,"[(1029, 780)]",[],[1],[0.6],horizontal,"(890.0, 262.0)",1.0666666666666667,0.564,1,2362.903,2,0.06,0.1
0,66,catch,"[(1052, 799)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.562),nan",0,2368.222,0,0.08,0.1
0,67,target,"[(1013, 820)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 262.0)",0.65,0.627,1,2372.999,1,0.08,0.1
0,68,target,"[(1021, 797)]",[],[1],[0.11666666666666667],vertical,"(890.0, 762.0)",1.5333333333333332,0.082,0,2397.71,0,0.08,0.1
0,69,target,"[(1021, 800)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",1.2333333333333334,0.493,1,2402.582,1,0.08,0.1
