block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,rt,acc,time
1,True,1,0.713,42,[],[310350],"[(1128, 889)]","[(1095, 928)]",[1],[34],[0.5666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0],0,0.362
1,True,2,0.325,19,[],[],"[(1158, 896)]",[],[1],[56],[0.9333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.592],1,279.014
1,True,3,1.317,79,[],[],"[(1127, 918)]",[],[1],[90],[1.5],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.165],1,281.43
1,True,4,1.495,89,[],[],"[(1122, 909)]",[],[1],[117],[1.95],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.445],1,284.545
1,False,1,1.14,68,[],[],"[(1127, 938)]",[],[1],[87],[1.45],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.301],1,288.005
1,False,2,1.42,85,[],[364761],"[(1139, 850)]","[(1128, 931)]",[1],[76],[1.2666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0],0,291.695
1,False,3,0.716,42,[],[],"[(1123, 881)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.803],0,333.431
1,False,4,0.755,45,[],[],"[(1153, 938)]",[],[1],[93],[1.55],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.773],1,348.109
1,False,5,1.256,75,[],[],"[(1123, 922)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.269],1,351.254
1,False,6,0.867,52,[],[],"[(1109, 922)]",[],[1],[102],[1.7],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.818],0,360.059
1,False,7,1.274,76,[],[],"[(1131, 898)]",[],[1],[103],[1.7166666666666666],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.43],1,363.532
1,False,8,0.493,29,[],[],"[(1102, 872)]",[],[1],[46],[0.7666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.268],1,376.263
1,False,9,0.34,20,[],[],"[(1131, 898)]",[],[1],[48],[0.8],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.443],1,379.329
1,False,10,1.31,78,[],[416372],"[(1131, 909)]","[(1116, 930)]",[1],[49],[0.8166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0],0,382.532
1,False,11,0.311,18,[],[],"[(1157, 889)]",[],[1],[48],[0.8],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.487],1,385.048
1,False,12,1.482,88,[],[428325],"[(692, 816), (683, 849), (712, 895), (658, 909), (850, 652), (575, 726), (1083, 951), (753, 922), (786, 583), (804, 450), (785, 993), (751, 1020), (706, 559), (1117, 929)]","[(1078, 934)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[40],[0.6666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0],0,388.413
1,False,13,0.554,33,[],[],"[(804, 833), (931, 838), (834, 853), (824, 854), (746, 799), (673, 568), (1135, 908)]",[],"[0, 0, 0, 0, 0, 0, 1]",[57],[0.95],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.382],1,397.014
1,False,14,0.871,52,[],[434467],"[(736, 675), (1108, 888)]","[(1099, 949)]","[0, 1]",[23],[0.3833333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0],0,400.719
