block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,catch,"[(1046, 818)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('cti', 1.522),nan",0,0.566,0,1.0,same
0,2,valid,"[(980, 790), (1093, 853)]",[],"[0, 1]",[0.43333333333333335],horizontal,"(890.0, 762.0)",1.5333333333333332,0.407,1,64.596,1,0.5,same
0,3,valid,"[(1086, 873)]",[],[1],[],vertical,"(890.0, 262.0)",,"('fix', 0.396)",0,95.063,0,0.3333333333333333,same
0,4,catch,"[(1090, 833)]",[],[1],[],vertical,"(890.0, 762.0)",,"('cti', 1.219),nan",0,350.18,0,0.5,same
0,5,valid,"[(1121, 820)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.45,0.521,1,354.77,1,0.4,same
0,6,valid,"[(1136, 808)]",[],[1],[0.4],horizontal,"(390.0, 762.0)",1.1,0.368,1,358.974,1,0.3333333333333333,same
0,7,valid,"[(1170, 802)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",0.7,0.497,1,364.313,1,0.2857142857142857,same
0,8,valid,"[(1161, 803)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",1.4833333333333334,0.538,1,369.24,2,0.25,same
0,9,catch,"[(1170, 774)]",[],[1],[0.03333333333333333],vertical,"(890.0, 262.0)",1.7,"0.018,nan",0,375.31,0,0.3333333333333333,same
0,10,valid,"[(1133, 838)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 262.0)",1.3,0.584,1,380.574,1,0.3,same
0,11,catch,"[(1131, 797)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,388.599,1,0.2727272727272727,same
0,12,valid,"[(1160, 802)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",0.8166666666666667,0.514,1,394.419,1,0.25,same
0,13,catch,"[(1167, 782)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('cti', 1.425),nan",0,399.868,0,0.3076923076923077,same
0,14,invalid_same_bar,"[(1135, 798)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.2,nan,0,404.986,0,0.2857142857142857,same
0,15,valid,"[(1155, 773)]",[],[1],[0.65],vertical,"(890.0, 262.0)",0.43333333333333335,0.624,1,409.952,1,0.26666666666666666,same
0,16,valid,"[(1173, 790)]",[],[1],[0.6],vertical,"(890.0, 262.0)",1.15,0.572,1,414.917,1,0.25,same
0,17,valid,"[(1143, 794)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.3,0.539,1,420.28,1,0.23529411764705882,same
0,18,valid,"[(1163, 787)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.2333333333333334,nan,0,425.944,0,0.2222222222222222,same
0,19,valid,"[(1132, 791)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.4,0.542,1,430.805,1,0.21052631578947367,same
0,20,catch,"[(1196, 792)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,436.56,1,0.2,same
0,21,catch,"[(1157, 792)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,442.031,1,0.19047619047619047,same
0,22,valid,"[(1155, 790)]",[],[1],[0.7],horizontal,"(390.0, 762.0)",0.6833333333333333,0.677,1,447.611,2,0.18181818181818182,same
0,23,valid,"[(1170, 792)]",[],[1],[0.25],horizontal,"(390.0, 762.0)",1.4,0.218,1,453.286,2,0.17391304347826086,same
0,24,valid,"[(1156, 797)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",1.5333333333333332,0.454,1,459.078,2,0.16666666666666666,same
0,25,valid,"[(1164, 769)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 762.0)",0.8666666666666667,0.643,1,465.481,3,0.16,same
0,26,valid,"[(1155, 799)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",1.0666666666666667,0.523,1,471.119,3,0.15384615384615385,same
0,27,invalid_adjacent_other_bar,"[(1171, 799)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.7833333333333333,0.524,1,477.043,3,0.14814814814814814,other
0,28,valid,"[(1167, 795)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",0.5666666666666667,0.509,1,482.774,3,0.14285714285714285,same
0,29,valid,"[(1170, 793)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.3833333333333333,nan,0,488.408,0,0.13793103448275862,same
0,30,valid,"[(1136, 793)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",1.05,0.592,1,492.294,1,0.13333333333333333,same
0,31,valid,"[(1178, 799)]",[],[1],[0.7333333333333333],vertical,"(390.0, 262.0)",1.1666666666666667,0.707,1,497.97,1,0.12903225806451613,same
0,32,catch,"[(1160, 792)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,503.207,1,0.125,same
0,33,catch,"[(1154, 809)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,508.952,2,0.12121212121212122,same
0,34,valid,"[(1161, 797)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.6333333333333333,0.595,1,515.752,2,0.11764705882352941,same
0,35,valid,"[(1128, 807)]",[],[1],[0.7666666666666666],vertical,"(890.0, 762.0)",0.5,0.725,1,520.899,2,0.11428571428571428,same
0,36,valid,"[(1160, 792)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",0.85,0.607,1,527.03,3,0.1111111111111111,same
0,37,valid,"[(1170, 789)]",[],[1],[0.6],horizontal,"(890.0, 262.0)",1.2,0.567,1,532.601,3,0.10810810810810811,same
0,38,valid,"[(1171, 787)]",[],[1],[0.1],horizontal,"(390.0, 262.0)",1.5166666666666666,0.065,0,538.461,0,0.10526315789473684,same
0,39,valid,"[(1131, 851)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.0,nan,0,543.145,0,0.10256410256410256,same
0,40,valid,"[(1121, 836)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.85,nan,0,564.116,0,0.1,same
0,41,catch,"[(1120, 793)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,570.812,1,0.0975609756097561,same
0,42,valid,"[(1133, 798)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.4166666666666667,nan,0,576.279,0,0.09523809523809523,same
0,43,catch,"[(1128, 796)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,587.804,1,0.09302325581395349,same
0,44,valid,"[(1155, 787)]",[],[1],[0.6666666666666666],vertical,"(390.0, 762.0)",1.1666666666666667,0.62,1,592.928,1,0.09090909090909091,same
0,45,valid,"[(1156, 776)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.85,0.596,1,598.52,1,0.08888888888888889,same
0,46,catch,"[(1173, 795)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,603.739,2,0.08695652173913043,same
0,47,valid,"[(1125, 819)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.5666666666666667,nan,0,609.583,0,0.0851063829787234,same
0,48,catch,"[(1132, 809)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,613.956,1,0.08333333333333333,same
0,49,catch,"[(1155, 792)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,619.289,1,0.08163265306122448,same
0,50,valid,"[(1157, 772)]",[],[1],[0.6333333333333333],vertical,"(890.0, 762.0)",0.7666666666666666,0.592,1,624.717,1,0.08,same
0,51,invalid_adjacent_other_bar,"[(1155, 791)]",[],[1],[0.6333333333333333],vertical,"(890.0, 762.0)",1.3166666666666667,0.589,1,629.709,2,0.06,other
0,52,catch,"[(1153, 792)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,635.374,2,0.06,same
0,53,valid,"[(1154, 794)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.36666666666666664,nan,0,640.974,0,0.06,same
0,54,valid,"[(1122, 796)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",1.2,0.549,1,644.92,1,0.04,same
0,55,catch,"[(1164, 773)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,651.034,1,0.04,same
0,56,catch,"[(1157, 795)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,656.193,1,0.04,same
0,57,valid,"[(1129, 771)]",[],[1],[0.75],vertical,"(390.0, 762.0)",0.6333333333333333,0.71,1,661.336,2,0.04,same
0,58,valid,"[(1161, 792)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.6333333333333333,nan,0,666.955,0,0.04,same
0,59,valid,"[(1135, 776)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.3,nan,0,671.147,0,0.02,same
0,60,valid,"[(1131, 793)]",[],[1],[0.35],vertical,"(890.0, 762.0)",1.1666666666666667,0.31,1,676.109,1,0.02,same
0,61,valid,"[(1156, 800)]",[],[1],[],vertical,"(390.0, 262.0)",,"('fix', 0.575)",0,681.66,0,0.02,same
0,62,catch,"[(1147, 801)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,683.793,1,0.02,same
0,63,valid,"[(1136, 794)]",[],[1],[0.7666666666666666],horizontal,"(390.0, 762.0)",0.9166666666666666,0.733,1,688.965,1,0.0,same
0,64,catch,"[(1160, 797)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,694.142,1,0.0,same
0,65,valid,"[(1160, 797)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",0.9166666666666666,0.473,1,699.407,2,0.0,same
0,66,valid,"[(1173, 794)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",1.3333333333333333,0.542,1,704.608,2,0.0,same
0,67,valid,"[(1165, 795)]",[],[1],[0.7],horizontal,"(890.0, 262.0)",1.5,0.665,1,710.696,2,0.0,same
0,68,valid,"[(1165, 795)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",0.6166666666666667,0.527,1,716.303,3,0.0,same
0,69,invalid_adjacent_other_bar,"[(1143, 810)]",[],[1],[0.5],vertical,"(390.0, 262.0)",1.2333333333333334,0.464,1,722.1,3,0.0,other
0,70,valid,"[(1150, 794)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.2666666666666666,nan,0,727.685,0,0.0,same
0,71,valid,"[(1131, 812)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",1.5166666666666666,0.477,1,732.586,1,0.0,same
0,72,valid,"[(1136, 797)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.0,nan,0,738.252,0,0.0,same
0,73,valid,"[(1129, 835)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 0.678)",0,788.222,0,0.0,same
0,74,catch,"[(1087, 812)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,792.211,1,0.0,same
0,75,invalid_adjacent_other_bar,"[(1126, 802)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.85,nan,0,890.727,0,0.0,other
0,76,catch,"[(1101, 838)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,895.743,1,0.0,same
0,77,valid,"[(1131, 810)]",[],[1],[0.35],vertical,"(890.0, 762.0)",1.3,0.31,1,904.826,1,0.0,same
0,78,catch,"[(1135, 831)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,910.013,1,0.0,same
0,79,valid,"[(1085, 813)]",[],[1],[0.7333333333333333],vertical,"(890.0, 262.0)",1.05,0.693,1,915.17,2,0.0,same
0,80,valid,"[(1127, 797)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 262.0)",0.6833333333333333,0.529,1,920.826,2,0.0,same
0,81,invalid_same_bar,"[(1160, 787)]",[],[1],[0.6],vertical,"(390.0, 262.0)",0.9833333333333333,0.561,1,926.175,2,0.0,same
0,82,valid,"[(1131, 796)]",[],[1],[0.7],horizontal,"(890.0, 762.0)",0.4166666666666667,0.653,1,931.775,3,0.0,same
0,83,valid,"[(1161, 781)]",[],[1],[0.26666666666666666],horizontal,"(390.0, 762.0)",1.35,0.231,1,937.587,3,0.0,same
0,84,catch,"[(1159, 778)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,943.827,3,0.0,same
0,85,valid,"[(1131, 785)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.85,nan,0,949.546,0,0.0,same
0,86,catch,"[(1132, 788)]",[],[1],[],horizontal,"(390.0, 762.0)",,"('cti', 1.051),nan",0,954.361,0,0.02,same
0,87,valid,"[(1116, 792)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",0.4166666666666667,0.573,1,958.561,1,0.02,same
0,88,valid,"[(1107, 820)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('cti', 1.163)",0,966.505,0,0.02,same
0,89,valid,"[(1096, 822)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.7,nan,0,1137.81,0,0.02,same
0,90,valid,"[(1157, 816)]",[],[1],[0.75],horizontal,"(390.0, 762.0)",0.5833333333333334,0.699,1,1197.894,1,0.02,same
0,91,invalid_adjacent_other_bar,"[(1158, 791)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.8833333333333333,nan,0,1202.445,0,0.02,other
0,92,catch,"[(1141, 783)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,1207.364,1,0.02,same
0,93,valid,"[(1157, 812)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",0.4,0.528,1,1212.723,1,0.02,same
0,94,valid,"[(1156, 800)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.4166666666666667,nan,0,1217.035,0,0.02,same
0,95,valid,"[(1155, 792)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",1.2666666666666666,0.475,1,1221.81,1,0.02,same
0,96,invalid_same_bar,"[(1159, 812)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.9666666666666667,nan,0,1229.576,0,0.02,same
0,97,valid,"[(1100, 789)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",0.5166666666666666,0.462,1,1234.377,1,0.02,same
0,98,valid,"[(1174, 794)]",[],[1],[0.6833333333333333],vertical,"(390.0, 262.0)",1.0,0.641,1,1248.726,1,0.02,same
0,99,valid,"[(1160, 787)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",0.5333333333333333,0.576,1,1253.723,1,0.02,same
0,100,valid,"[(1177, 796)]",[],[1],[0.65],vertical,"(390.0, 762.0)",1.3,0.606,1,1258.216,2,0.02,same
0,101,valid,"[(1174, 830)]",[],[1],[0.7833333333333333],vertical,"(390.0, 262.0)",1.15,0.745,1,1264.633,2,0.02,same
0,102,invalid_adjacent_other_bar,"[(1166, 793)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",1.2666666666666666,0.51,1,1275.609,2,0.02,other
0,103,valid,"[(1166, 789)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",0.7,0.493,1,1281.892,3,0.02,same
0,104,invalid_same_bar,"[(1155, 801)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",1.1833333333333333,0.569,1,1288.177,3,0.02,same
0,105,valid,"[(1170, 783)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.5,0.52,1,1294.193,3,0.02,same
0,106,valid,"[(1159, 786)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.5666666666666667,0.543,1,1300.527,3,0.02,same
0,107,valid,"[(1158, 807)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.6833333333333333,0.511,1,1305.839,3,0.02,same
0,108,valid,"[(1177, 782)]",[],[1],[0.16666666666666666],vertical,"(890.0, 262.0)",1.4666666666666666,0.136,0,1311.647,0,0.02,same
0,109,valid,"[(1156, 778)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.321)",0,1316.022,0,0.02,same
