block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1211, 1009), (1125, 820)]",[],"[0, 1]",[0.3833333333333333],horizontal,"(390.0, 762.0)",0.6166666666666667,0.347,1,0.038,1
0,2,target,"[(22, 65), (395, 378), (178, 103), (396, 385), (1059, 856)]",[],"[0, 0, 0, 0, 1]",[0.85],horizontal,"(890.0, 262.0)",1.2,nan,0,227.092,0
0,3,target,"[(280, 498), (277, 514), (584, 1023), (1024, 828)]",[],"[0, 0, 0, 1]",[0.5],horizontal,"(390.0, 262.0)",1.4833333333333334,0.461,1,1323.773,1
0,4,target,"[(1074, 807)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.5,0.538,1,1771.723,1
0,5,target,"[(1072, 824)]",[],[1],[0.2],horizontal,"(890.0, 762.0)",1.4333333333333333,0.168,1,1776.112,1
0,6,target,"[(1092, 802)]",[],[1],[0.05],horizontal,"(890.0, 262.0)",1.6666666666666667,0.022,0,1781.239,0
0,7,catch,"[(1078, 795)]",[],[1],[],horizontal,"(390.0, 262.0)",1.3333333333333333,nan,1,1786.197,1
0,8,target,"[(1077, 809)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 762.0)",1.5166666666666666,0.35,1,1791.854,1
0,9,target,"[(1100, 816)]",[],[1],[0.6666666666666666],vertical,"(390.0, 762.0)",1.0666666666666667,0.624,1,1796.994,1
0,10,target,"[(1100, 820)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",1.5666666666666667,0.426,1,1802.439,2
0,11,target,"[(1088, 794)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.75,nan,0,1808.189,0
0,12,target,"[(1082, 825)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",1.2,0.442,1,1812.705,1
0,13,target,"[(1086, 800)]",[],[1],[0.43333333333333335],horizontal,"(390.0, 262.0)",1.15,0.395,1,1817.755,1
0,14,target,"[(1077, 795)]",[],[1],[0.7333333333333333],horizontal,"(890.0, 762.0)",0.55,0.693,1,1823.072,1
0,15,target,"[(1035, 792)]",[],[1],[0.75],vertical,"(890.0, 262.0)",0.7666666666666666,0.709,1,1827.989,2
0,16,target,"[(1061, 789)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.1833333333333333,0.49,1,1833.755,2
0,17,target,"[(1074, 807)]",[],[1],[0.36666666666666664],horizontal,"(390.0, 762.0)",1.1333333333333333,0.325,1,1839.489,2
0,18,target,"[(1076, 808)]",[],[1],[0.35],vertical,"(390.0, 262.0)",1.25,0.313,1,1845.139,2
0,19,target,"[(1081, 786)]",[],[1],[0.7333333333333333],vertical,"(890.0, 762.0)",0.8666666666666667,0.688,1,1850.941,2
0,20,target,"[(1076, 801)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",1.05,0.598,1,1856.585,3
0,21,target,"[(1088, 795)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.667)",0,1862.567,0
0,22,target,"[(1076, 808)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 762.0)",0.5166666666666666,0.634,1,1867.082,1
0,23,target,"[(1040, 792)]",[],[1],[0.3],vertical,"(890.0, 762.0)",1.5166666666666666,0.268,1,1871.288,1
0,24,target,"[(1082, 790)]",[],[1],[0.45],horizontal,"(390.0, 762.0)",1.15,0.419,1,1876.342,1
0,25,target,"[(1075, 786)]",[],[1],[0.6],horizontal,"(390.0, 262.0)",0.8666666666666667,0.558,1,1881.21,2
0,26,target,"[(1060, 806)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.9333333333333333,0.525,1,1886.117,2
0,27,target,"[(1071, 815)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.8833333333333333,0.55,1,1891.489,2
0,28,target,"[(1064, 811)]",[],[1],[0.4],vertical,"(890.0, 262.0)",1.3333333333333333,0.366,1,1896.902,2
0,29,target,"[(1076, 778)]",[],[1],[0.5833333333333334],vertical,"(890.0, 262.0)",0.7166666666666667,0.541,1,1902.855,2
0,30,target,"[(1055, 799)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 262.0)",0.5,0.554,1,1907.79,3
0,31,target,"[(1068, 770)]",[],[1],[0.6833333333333333],vertical,"(890.0, 262.0)",0.9833333333333333,0.648,1,1913.129,3
0,32,target,"[(1098, 779)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",1.0833333333333333,0.476,1,1919.108,3
0,33,target,"[(1076, 776)]",[],[1],[],vertical,"(890.0, 262.0)",,"('cti', 1.52)",0,1924.756,0
0,34,target,"[(1077, 798)]",[],[1],[0.1],horizontal,"(390.0, 762.0)",1.4833333333333334,0.068,0,1929.45,0
0,35,target,"[(1082, 801)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.9666666666666667,0.506,1,1933.995,1
0,36,target,"[(1071, 796)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",1.2666666666666666,0.478,1,1938.572,1
0,37,target,"[(1091, 786)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",1.2166666666666666,0.535,1,1943.789,1
0,38,target,"[(1043, 772)]",[],[1],[0.5],vertical,"(390.0, 262.0)",1.25,0.459,1,1949.312,2
0,39,catch,"[(1077, 796)]",[],[1],[],vertical,"(890.0, 262.0)",1.4,nan,1,1954.823,2
0,40,target,"[(1071, 789)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",1.0666666666666667,0.523,1,1959.873,2
0,41,target,"[(1062, 795)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 262.0)",1.6333333333333333,0.299,1,1965.362,2
0,42,target,"[(1061, 770)]",[],[1],[0.13333333333333333],horizontal,"(390.0, 262.0)",1.6833333333333333,0.102,0,1971.608,0
0,43,target,"[(1078, 806)]",[],[1],[0.65],horizontal,"(390.0, 262.0)",0.7666666666666666,0.611,1,1976.569,1
0,44,target,"[(1038, 786)]",[],[1],[0.5],vertical,"(890.0, 762.0)",1.4333333333333333,0.466,1,1980.985,1
0,45,target,"[(1061, 786)]",[],[1],[0.7],horizontal,"(890.0, 762.0)",0.5,0.656,1,1986.21,1
0,46,target,"[(1062, 797)]",[],[1],[0.6666666666666666],vertical,"(390.0, 262.0)",0.6666666666666666,0.622,1,1991.056,2
0,47,target,"[(1076, 786)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",1.05,0.572,1,1995.943,2
0,48,target,"[(1063, 795)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",1.3166666666666667,0.476,1,2001.441,2
