block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,0.79,47,[],[],"[(1166, 897)]",[],[1],[24],[0.4],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.9666666666666667],[0.358],1,0.108
1,True,2,1.091,65,[],[21836],"[(1189, 891)]","[(1136, 912)]",[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,5.337
1,True,3,0.571,34,[],[],"[(754, 936), (1132, 914)]",[],"[0, 1]",[],[],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,16.369
1,True,4,1.046,62,[],[],"[(1213, 907)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[],[0],0,21.118
1,False,1,1.068,64,[],[],"[(1148, 918)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.0166666666666666],[0.805],0,36.437
1,False,2,0.599,35,[],[49751],"[(1119, 890)]","[(1080, 903)]",[1],[12],[0.2],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,41.621
1,False,3,1.143,68,[],[],"[(1189, 872)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.45],[0.81],0,44.276
1,False,4,0.723,43,[],[],"[(1148, 842)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,50.044
1,False,5,1.117,67,[],[],"[(750, 985), (1184, 877)]",[],"[0, 1]",[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.2333333333333334],[0.818],0,52.59
1,False,6,0.691,41,[],[],"[(1164, 899)]",[],[1],[36],[0.6],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.8333333333333334],[0.571],1,69.496
1,False,7,0.977,58,[],[81850],"[(1115, 898)]","[(1105, 895)]",[1],[8],[0.13333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],[0],0,73.994
1,False,8,0.888,53,[],[],"[(1136, 869)]",[],[1],[39],[0.65],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.6],[0.616],1,76.375
1,False,9,0.513,30,[],[],"[(1105, 861)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[],[0],0,80.716
1,False,10,0.643,38,[],[],"[(1206, 895)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.5833333333333334],[0.54],1,83.064
1,False,11,0.874,52,[],[],"[(1126, 884)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.8],[0.803],0,102.269
