block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,96,target,"[(1159, 775)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",0.6166666666666667,0.414,1,1540.498,1,0.04,0.25
0,97,target,"[(1158, 787)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",0.8666666666666667,0.462,1,1544.849,2,0.04,0.25
0,98,target,"[(1182, 786)]",[],[1],[0.6],horizontal,"(890.0, 262.0)",1.4,0.554,1,1550.131,2,0.04,0.25
0,99,target,"[(1159, 757)]",[],[1],[0.5],vertical,"(890.0, 262.0)",0.35,0.457,1,1555.809,2,0.04,0.25
0,100,target,"[(1179, 782)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.95,0.541,1,1560.548,2,0.04,0.25
0,101,target,"[(1174, 786)]",[],[1],[0.4],horizontal,"(390.0, 762.0)",1.5,0.355,1,1566.073,3,0.04,0.25
0,102,target,"[(1182, 778)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",1.1166666666666667,0.423,1,1572.115,3,0.04,0.25
0,103,target,"[(1156, 788)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",0.3833333333333333,0.543,1,1577.697,3,0.04,0.25
0,104,target,"[(1179, 789)]",[],[1],[0.3333333333333333],horizontal,"(390.0, 762.0)",1.4833333333333334,0.3,1,1583.062,3,0.04,0.25
0,105,target,"[(1179, 760)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 262.0)",1.1166666666666667,0.587,1,1588.852,3,0.04,0.25
0,106,catch,"[(1159, 766)]",[],[1],[],vertical,"(390.0, 262.0)",1.65,nan,1,1594.897,3,0.04,0.25
0,107,target,"[(1184, 765)]",[],[1],[0.6166666666666667],vertical,"(890.0, 762.0)",0.7,0.571,1,1601.047,3,0.04,0.25
0,108,target,"[(1166, 776)]",[],[1],[0.5833333333333334],vertical,"(890.0, 262.0)",0.4,0.545,1,1606.709,3,0.04,0.25
0,109,target,"[(1182, 789)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",0.6333333333333333,0.524,1,1611.947,3,0.04,0.25
0,110,target,"[(1181, 764)]",[],[1],[0.5],vertical,"(890.0, 262.0)",1.35,0.458,1,1617.381,3,0.04,0.25
0,111,target,"[(1159, 795)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.8666666666666667,0.512,1,1623.464,3,0.04,0.25
0,112,target,"[(1181, 786)]",[],[1],[0.7833333333333333],vertical,"(890.0, 762.0)",1.0333333333333332,0.739,1,1629.314,3,0.04,0.25
0,113,target,"[(1181, 789)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.5166666666666666,0.474,1,1635.547,3,0.04,0.25
0,114,target,"[(1173, 784)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",1.1666666666666667,0.481,1,1641.047,3,0.04,0.25
