block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1106, 877)]",[],[1],[0.25],horizontal,"(890.0, 762.0)",1.5833333333333333,0.225,1,0.067,1
0,2,target,"[(1106, 885)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",1.6666666666666667,0.493,1,6.203,1
0,3,target,"[(1106, 885)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",0.8666666666666667,0.407,1,11.802,1
0,4,target,"[(1106, 885)]",[],[1],[0.5],vertical,"(890.0, 762.0)",1.5666666666666667,0.458,1,16.74,2
0,5,target,"[(1106, 885)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('cti', 0.619)",0,22.434,0
0,6,target,"[(1106, 885)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",0.65,0.473,1,25.517,1
0,7,target,"[(1106, 885)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)",1.4333333333333333,0.376,1,30.218,1
0,8,target,"[(1106, 885)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 762.0)",1.35,0.375,1,34.851,1
0,9,target,"[(1106, 885)]",[],[1],[0.43333333333333335],horizontal,"(890.0, 762.0)",1.25,0.393,1,39.647,2
0,10,target,"[(1106, 885)]",[],[1],[0.45],vertical,"(890.0, 762.0)",1.2166666666666666,0.413,1,44.823,1
0,11,target,"[(1106, 885)]",[],[1],[0.4666666666666667],vertical,"(390.0, 762.0)",0.9333333333333333,0.425,1,49.717,1
0,12,target,"[(1106, 885)]",[],[1],[0.43333333333333335],horizontal,"(390.0, 262.0)",1.5,0.388,1,54.517,1
0,13,target,"[(1106, 885)]",[],[1],[0.43333333333333335],vertical,"(390.0, 262.0)",0.95,0.395,1,59.618,3
