block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1118, 863)]",[],[1],[0.3333333333333333],vertical,"(390.0, 762.0)",0.8833333333333333,0.296,1,0.486,1
0,2,target,"[(1170, 865)]",[],[1],[0.35],vertical,"(890.0, 762.0)",0.5833333333333334,0.316,1,36.964,1
