block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1058, 896)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 262.0)",1.2166666666666666,0.384,1,0.528,1
0,2,target,"[(1108, 891)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 762.0)",0.5333333333333333,0.378,1,101.425,1
0,3,target,"[(1153, 958), (1158, 964), (1158, 963), (1158, 963), (1158, 963), (1158, 964), (1153, 966), (582, 523), (546, 409), (1153, 978), (1153, 942)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.85],horizontal,"(390.0, 762.0)",0.9666666666666667,nan,0,107.176,0
0,4,target,"[(591, 620), (1138, 982), (638, 564), (1163, 964), (675, 376), (512, 379), (531, 516), (572, 453), (1119, 966), (506, 442), (566, 684), (1163, 965), (657, 453), (577, 452), (1163, 958), (647, 692), (652, 753), (1142, 953), (597, 970), (697, 731), (711, 759), (1163, 961), (1148, 985), (691, 459), (732, 514), (1153, 971), (1079, 888)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.48333333333333334],horizontal,"(890.0, 762.0)",0.6333333333333333,0.445,1,165.084,1
0,5,catch,"[(521, 935), (1163, 928)]",[],"[0, 1]",[],horizontal,"(390.0, 262.0)",1.6333333333333333,nan,1,252.766,1
0,6,target,"[(588, 963), (453, 930), (522, 520), (499, 667), (667, 472), (1158, 941)]",[],"[0, 0, 0, 0, 0, 1]",[0.36666666666666664],vertical,"(890.0, 762.0)",1.4,0.332,1,264.541,1
0,7,target,"[(516, 686), (1158, 964), (715, 317), (727, 403), (662, 403), (1163, 958), (677, 486), (517, 636), (572, 442), (389, 928), (586, 722), (693, 461), (1153, 986), (1148, 938)]","[(1150, 967)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.3833333333333333],vertical,"(390.0, 262.0)",,"('bar', 0.406)",0,283.052,0
0,8,target,"[(745, 425), (1163, 931)]",[],"[0, 1]",[],horizontal,"(890.0, 762.0)",,"('fix', 0.102)",0,319.84,0
0,9,target,"[(447, 521), (1163, 944)]",[],"[0, 1]",[0.25],vertical,"(890.0, 762.0)",1.1333333333333333,0.217,1,328.514,1
0,10,catch,"[(572, 965), (1163, 920)]",[],"[0, 1]",[],horizontal,"(890.0, 762.0)",,"('cti', 1.372),nan",0,334.586,0
0,11,target,"[(487, 820), (527, 432), (672, 465), (1048, 626), (682, 653), (1163, 961), (1163, 948), (1118, 606), (1153, 919)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",[],vertical,"(390.0, 762.0)",,"('cti', 1.578)",0,351.19,0
0,12,target,"[(382, 616), (1153, 926)]",[],"[0, 1]",[],vertical,"(390.0, 762.0)",,"('fix', 0.083)",0,368.298,0
0,13,catch,"[(1163, 941)]",[],[1],[],vertical,"(890.0, 262.0)",1.55,nan,1,375.841,1
