block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,valid,"[(1087, 841)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",0.45,0.463,1,0.988,1,0.0,same
0,2,valid,"[(1099, 813)]",[],[1],[0.35],vertical,"(890.0, 762.0)",1.1166666666666667,0.315,1,6.86,1,0.0,same
0,3,catch,"[(1099, 813)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,11.802,1,0.0,same
0,4,valid,"[(1099, 813)]",[],[1],[0.43333333333333335],horizontal,"(890.0, 762.0)",1.4666666666666666,0.398,1,17.099,2,0.0,same
