block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(1126, 884)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 262.0)",1.55,0.571,1,0.019
1,2,target,"[(1100, 887)]",[],[1],[0.3833333333333333],vertical,"(890.0, 262.0)",1.0666666666666667,0.343,1,210.663
1,3,target,"[(1100, 889)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.0333333333333332,nan,0,377.957
1,4,target,"[(1061, 874)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.5666666666666667,nan,0,383.215
1,5,target,"[(1129, 867)]",[],[1],[0.43333333333333335],vertical,"(390.0, 262.0)",1.35,0.391,1,388.281
1,6,target,"[(1096, 873)]",[],[1],[0.31666666666666665],vertical,"(390.0, 262.0)",1.65,0.28,1,393.882
1,7,target,"[(1100, 892)]",[],[1],[0.35],vertical,"(390.0, 262.0)",1.3666666666666667,0.309,1,398.59
1,8,target,"[(1098, 935)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",1.3,0.49,1,403.197
1,9,target,"[(1081, 894)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,407.679
1,10,target,"[(1114, 893)]",[],[1],[0.11666666666666667],horizontal,"(890.0, 762.0)",1.5833333333333333,0.085,1,412.147
2,11,target,"[(1095, 896)]",[],[1],[0.7],horizontal,"(890.0, 762.0)",0.5166666666666666,0.652,1,417.123
2,12,target,"[(1100, 897)]",[],[1],[0.06666666666666667],vertical,"(890.0, 762.0)",1.2333333333333334,0.034,1,421.513
2,13,target,"[(1087, 891)]",[],[1],[0.16666666666666666],vertical,"(890.0, 762.0)",1.2333333333333334,0.132,1,425.447
2,14,target,"[(1095, 904)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,430.381
2,15,target,"[(1101, 888)]",[],[1],[0.21666666666666667],horizontal,"(390.0, 262.0)",1.1666666666666667,0.179,1,434.847
2,16,target,"[(1098, 911)]",[],[1],[],horizontal,"(890.0, 762.0)",,cti_phase,0,439.414
2,17,target,"[(1119, 892)]",[],[1],[0.7],vertical,"(890.0, 762.0)",0.65,0.655,1,443.879
2,18,target,"[(1089, 871)]",[],[1],[0.3833333333333333],horizontal,"(890.0, 262.0)",1.3833333333333333,0.341,1,448.224
2,19,target,"[(1102, 898)]",[],[1],[],vertical,"(890.0, 262.0)",,cti_phase,0,452.687
2,20,target,"[(1108, 890)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.5,0.541,1,457.115
3,21,target,"[(1115, 868)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,461.333
3,22,target,"[(1117, 888)]",[],[1],[0.05],horizontal,"(890.0, 262.0)",1.5333333333333332,0.018,1,465.847
3,23,target,"[(1105, 881)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,470.689
3,24,target,"[(1100, 902)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",1.0833333333333333,0.428,1,474.733
3,25,target,"[(1100, 910)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",0.7333333333333333,0.504,1,479.308
3,26,target,"[(1081, 879)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,483.664
3,27,target,"[(1110, 871)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 762.0)",0.6666666666666666,0.587,1,487.948
3,28,target,"[(1090, 897)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,492.331
3,29,target,"[(1100, 893)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.1833333333333333,0.487,1,496.664
3,30,target,"[(1042, 864)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,501.506
4,31,target,"[(1093, 858)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,505.341
4,32,target,"[(1081, 868)]",[],[1],[0.6666666666666666],vertical,"(390.0, 262.0)",0.6,0.621,1,509.847
4,33,target,"[(1090, 892)]",[],[1],[0.06666666666666667],vertical,"(390.0, 762.0)",1.1833333333333333,0.034,1,514.046
4,34,target,"[(1084, 889)]",[],[1],[0.35],horizontal,"(890.0, 762.0)",1.1166666666666667,0.307,1,518.449
4,35,target,"[(1100, 918)]",[],[1],[0.25],vertical,"(890.0, 262.0)",0.8666666666666667,0.216,1,522.649
4,36,target,"[(1099, 899)]",[],[1],[0.65],horizontal,"(390.0, 262.0)",0.55,0.603,1,527.048
4,37,target,"[(1102, 911)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",0.8333333333333334,0.433,1,531.167
4,38,target,"[(1090, 921)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,535.444
4,39,target,"[(1100, 899)]",[],[1],[0.13333333333333333],vertical,"(890.0, 262.0)",1.45,0.101,1,539.946
4,40,target,"[(1100, 902)]",[],[1],[0.31666666666666665],horizontal,"(890.0, 262.0)",1.0166666666666666,0.278,1,544.616
5,41,target,"[(1085, 867)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 762.0)",0.8333333333333334,0.593,1,549.351
5,42,target,"[(1077, 864)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.9,0.586,1,554.067
5,43,target,"[(1100, 906)]",[],[1],[0.21666666666666667],vertical,"(390.0, 762.0)",1.25,0.182,1,558.548
5,44,target,"[(1092, 890)]",[],[1],[0.36666666666666664],vertical,"(890.0, 762.0)",1.5166666666666666,0.328,1,562.791
5,45,target,"[(1044, 920)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.0166666666666666,nan,0,567.931
5,46,target,"[(1090, 902)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",0.7833333333333333,0.592,1,572.681
5,47,target,"[(1078, 892)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,577.799
5,48,target,"[(1100, 898)]",[],[1],[0.35],vertical,"(390.0, 762.0)",1.3666666666666667,0.311,1,582.547
5,49,target,"[(1095, 891)]",[],[1],[0.08333333333333333],horizontal,"(890.0, 762.0)",1.4166666666666667,0.054,1,587.188
5,50,target,"[(1086, 905)]",[],[1],[0.5],vertical,"(890.0, 762.0)",0.5666666666666667,0.463,1,591.833
6,51,target,"[(1071, 894)]",[],[1],[0.7666666666666666],horizontal,"(890.0, 262.0)",0.6666666666666666,0.724,1,596.197
6,52,target,"[(1085, 880)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.0,"cti_phase,nan",0,601.06
6,53,target,"[(1098, 891)]",[],[1],[0.7166666666666667],horizontal,"(390.0, 762.0)",0.5833333333333334,0.673,1,606.299
6,54,target,"[(1110, 892)]",[],[1],[0.3833333333333333],vertical,"(890.0, 262.0)",1.4,0.352,1,610.759
6,55,target,"[(1085, 873)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",0.7833333333333333,0.475,1,615.496
6,56,target,"[(1076, 902)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,620.13
6,57,target,"[(1086, 897)]",[],[1],[0.08333333333333333],vertical,"(890.0, 262.0)",1.5166666666666666,0.05,1,624.683
6,58,target,"[(1075, 899)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.7333333333333333,0.483,1,629.183
6,59,target,"[(1098, 903)]",[],[1],[0.23333333333333334],vertical,"(390.0, 762.0)",1.1,0.199,1,633.902
6,60,target,"[(1085, 899)]",[],[1],[],horizontal,"(890.0, 762.0)",,cti_phase,0,638.645
