block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,rt,acc,time
1,True,1,0.556,33,[],[],"[(7, 290), (13, 152), (1278, 361), (13, 233), (17, 228), (17, 228), (1279, 930), (1246, 829), (1245, 877), (1215, 899)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[73],[1.2166666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.64],1,0.375
1,True,2,0.677,40,[],[],"[(1201, 886)]",[],[1],[82],[1.3666666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.678],1,618.594
1,True,3,0.373,22,[],[],"[(1221, 888)]",[],[1],[49],[0.8166666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.424],1,621.661
1,True,4,1.122,67,[],[],"[(1186, 906)]",[],[1],[106],[1.7666666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.628],1,624.843
1,False,1,1.489,89,[],[],"[(1234, 876), (1223, 908)]",[],"[0, 1]",[107],[1.7833333333333332],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.279],1,632.061
1,False,2,0.757,45,[],[],"[(1214, 892)]",[],[1],[71],[1.1833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.415],1,648.578
1,False,3,1.338,80,[],[691382],"[(1247, 889), (1225, 902)]","[(1187, 919)]","[0, 1]",[58],[0.9666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0],0,651.298
1,False,4,0.327,19,[],[],"[(1216, 912)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.508],1,655.312
1,False,5,0.68,40,[],[],"[(1190, 911)]",[],[1],[63],[1.05],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.357],1,657.7
1,False,6,1.457,87,[],[699324],"[(1190, 899)]","[(1166, 902)]",[1],[83],[1.3833333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0],0,660.322
1,False,7,0.966,57,[],[],"[(1190, 910)]",[],[1],[82],[1.3666666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.396],1,663.263
1,False,8,1.486,89,[],[705447],"[(1203, 917)]","[(1168, 922)]",[1],[74],[1.2333333333333334],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0],0,666.236
1,False,9,0.667,40,[],[],"[(1245, 900), (1190, 895)]",[],"[0, 1]",[82],[1.3666666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.672],1,669.387
1,False,10,0.779,46,[],[],"[(1209, 894)]",[],[1],[80],[1.3333333333333333],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.539],1,674.695
1,False,11,1.211,72,[],[],"[(1209, 905)]",[],[1],[99],[1.65],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.423],1,677.516
1,False,12,0.655,39,[],[],"[(1219, 888)]",[],[1],[70],[1.1666666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.489],1,680.641
1,False,13,0.345,20,[],[],"[(1209, 897)]",[],[1],[53],[0.8833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.522],1,683.245
1,False,14,0.785,47,[],[],"[(1196, 904)]",[],[1],[87],[1.45],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.642],1,685.606
1,False,15,1.182,70,[],[],"[(1196, 906)]",[],[1],[86],[1.4333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.248],1,688.543
1,False,16,0.41,24,[],[],"[(1221, 897)]",[],[1],[56],[0.9333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.508],1,691.462
1,False,17,0.357,21,[],[],"[(1232, 896), (1214, 909)]",[],"[0, 1]",[67],[1.1166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.74],1,693.899
1,False,18,0.871,52,[],[],"[(1219, 911)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.594],1,698.084
1,False,19,1.188,71,[],[739728],"[(1221, 899)]","[(1173, 912)]",[1],[65],[1.0833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0],0,701.049
1,False,20,0.409,24,[],[],"[(1226, 911)]",[],[1],[58],[0.9666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.551],1,703.657
1,False,21,0.834,50,[],[],"[(1239, 893), (1198, 908)]",[],"[0, 1]",[64],[1.0666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.217],1,706.238
1,False,22,1.012,60,[],[],"[(1184, 915)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.504],1,709.742
1,False,23,0.451,27,[],[],"[(1190, 894)]",[],[1],[56],[0.9333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.463],1,712.784
1,False,24,0.7,42,[],[],"[(1233, 896), (1190, 899)]",[],"[0, 1]",[69],[1.15],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.433],1,715.197
1,False,25,1.279,76,[],[],"[(1240, 889), (1223, 895)]",[],"[0, 1]",[80],[1.3333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.048],1,722.617
1,False,26,1.406,84,[],[],"[(1227, 901)]",[],[1],[98],[1.6333333333333333],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.212],1,727.217
1,False,27,1.193,71,[],[],"[(1196, 888)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.267],1,730.379
1,False,28,0.755,45,[],[],"[(1200, 888)]",[],[1],[74],[1.2333333333333334],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.461],1,733.346
1,False,29,1.366,81,[],[],"[(1190, 909)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.114],1,736.095
1,False,30,0.589,35,[],[],"[(1197, 900)]",[],[1],[69],[1.15],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.543],1,739.099
1,False,31,0.76,45,[],[],"[(1190, 901)]",[],[1],[72],[1.2],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.432],1,741.805
1,False,32,0.912,54,[],[],"[(1185, 899)]",[],[1],[99],[1.65],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.718],1,744.517
1,False,33,0.734,44,[],[],"[(1226, 894)]",[],[1],[74],[1.2333333333333334],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.478],1,747.646
1,False,34,1.064,63,[],[],"[(1247, 886), (1224, 911)]",[],"[0, 1]",[96],[1.6],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.518],1,750.367
1,False,35,0.395,23,[],[],"[(1223, 903)]",[],[1],[61],[1.0166666666666666],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.627],1,759.876
1,False,36,1.011,60,[],[],"[(1227, 897)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.505],1,766.684
1,False,37,0.608,36,[],[],"[(1223, 887)]",[],[1],[68],[1.1333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.507],1,769.734
1,False,38,0.668,40,[],[],"[(1197, 916)]",[],[1],[56],[0.9333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.248],1,772.362
1,False,39,0.689,41,[],[],"[(1209, 898)]",[],[1],[69],[1.15],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.446],1,837.012
1,False,40,1.312,78,[],[878366],"[(1226, 903)]","[(1176, 912)]",[1],[65],[1.0833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0],0,839.684
1,False,41,0.738,44,[],[],"[(1196, 886)]",[],[1],[77],[1.2833333333333332],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.519],1,842.311
1,False,42,0.786,47,[],[],"[(1245, 882), (1168, 902)]",[],"[0, 1]",[77],[1.2833333333333332],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.473],1,845.114
1,False,43,0.927,55,[],[],"[(1215, 909)]",[],[1],[84],[1.4],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.46],1,849.165
1,False,44,1.154,69,[],[],"[(1172, 904)]",[],[1],[108],[1.8],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.631],1,852.026
1,False,45,0.409,24,[],[],"[(1227, 897)]",[],[1],[62],[1.0333333333333332],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.597],1,858.598
1,False,46,0.313,18,[],[],"[(1196, 907)]",[],[1],[54],[0.9],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.568],1,861.052
1,False,47,0.52,31,[],[],"[(1211, 901)]",[],[1],[78],[1.3],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.757],1,863.466
1,False,48,0.833,49,[],[],"[(1190, 898)]",[],[1],[81],[1.35],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.501],1,866.318
