block,practice,trial,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,"[(1109, 873)]",[],[1],[0.4],horizontal,"(390.0, 262.0)",0.6666666666666666,0.367,1,0.062
1,True,2,"[(1109, 870)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",1.0333333333333332,0.418,1,4.975
1,True,3,"[(1110, 866)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 262.0)",0.6166666666666667,0.305,1,9.875
1,True,4,"[(1076, 904)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.3333333333333333,0.814,0,23.008
1,False,1,"[(1146, 856)]",[],[1],[],vertical,"(390.0, 762.0)",,fix_phase,0,109.298
1,False,2,"[(1096, 873)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,160.113
1,False,3,"[(1073, 872)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",1.1,0.519,1,174.733
1,False,4,"[(1054, 887)]",[],[1],[0.8],vertical,"(390.0, 762.0)",0.7166666666666667,0.77,1,179.237
1,False,5,"[(1074, 883)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.3,0.827,0,183.577
1,False,6,"[(1047, 876)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.1333333333333333,0.829,0,189.188
1,False,7,"[(1095, 894)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.9833333333333333,0.831,0,194.504
1,False,8,"[(1018, 797)]",[],[1],[],horizontal,"(890.0, 262.0)",,fix_phase,0,199.847
1,False,9,"[(1071, 908)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.9,0.808,0,241.767
1,False,10,"[(1062, 897)]",[],[1],[0.2],horizontal,"(390.0, 262.0)",1.65,0.168,1,284.456
1,False,11,"[(1065, 910)]",[],[1],[0.7166666666666667],vertical,"(390.0, 262.0)",0.5,0.672,1,289.7
1,False,12,"[(1063, 902)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",1.15,0.544,1,293.775
1,False,13,"[(1072, 884)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.1166666666666667,0.496,1,298.87
1,False,14,"[(1072, 904)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.8166666666666667,0.49,1,303.616
1,False,15,"[(1051, 885)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.7166666666666667,0.804,0,308.445
1,False,16,"[(1047, 900)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.2333333333333334,0.805,0,312.845
1,False,17,"[(1014, 885)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.15,0.47,1,324.763
1,False,18,"[(1042, 869)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.5666666666666667,0.8,0,329.474
1,False,19,"[(1084, 877)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 262.0)",0.5833333333333334,0.525,1,333.924
1,False,20,"[(1062, 890)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 262.0)",0.8166666666666667,0.577,1,338.09
1,False,21,"[(1081, 900)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",1.6666666666666667,0.44,1,342.832
1,False,22,"[(1077, 894)]",[],[1],[0.6666666666666666],vertical,"(890.0, 762.0)",1.4,0.626,1,348.212
1,False,23,"[(1082, 886)]",[],[1],[0.7333333333333333],horizontal,"(390.0, 262.0)",1.0,0.687,1,352.963
1,False,24,"[(1081, 901)]",[],[1],[0.7333333333333333],horizontal,"(890.0, 762.0)",1.0666666666666667,0.692,1,357.812
