block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,catch,"[(1038, 836)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,0.877,1,0.0,same
0,2,catch,"[(1037, 814)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,8.21,1,0.0,same
0,3,catch,"[(1014, 851)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,591.263,1,0.0,same
0,4,valid,"[(986, 827), (973, 882), (1013, 826)]",[],"[0, 0, 1]",[0.4166666666666667],horizontal,"(890.0, 262.0)",1.1166666666666667,0.377,1,596.762,2,0.0,same
0,5,catch,"[(1001, 842), (978, 836), (1051, 873)]",[],"[0, 0, 1]",[],vertical,"(390.0, 262.0)",1.7,nan,1,604.487,2,0.0,same
0,6,valid,"[(1042, 852)]",[],[1],[0.45],vertical,"(390.0, 762.0)",1.5,0.41,1,613.05,2,0.0,same
0,7,valid,"[(1037, 832)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",0.35,0.492,1,618.848,3,0.0,same
0,8,valid,"[(1051, 837)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 262.0)",0.9166666666666666,0.598,1,623.755,3,0.0,same
0,9,valid,"[(1088, 801)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",1.1,0.476,1,6049.044,3,0.0,same
0,10,invalid_adjacent_other_bar,"[(1141, 783)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.5,0.474,1,6055.013,3,0.0,other
0,11,valid,"[(1153, 799)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.4166666666666667,0.491,1,6059.797,3,0.0,same
0,12,catch,"[(1119, 810)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,6065.74,3,0.0,same
0,13,valid,"[(1109, 806)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 262.0)",0.5833333333333334,0.62,1,6072.342,3,0.0,same
0,14,valid,"[(1070, 808)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.3833333333333333,nan,0,6078.075,0,0.0,same
0,15,valid,"[(1108, 869)]",[],[1],[0.6666666666666666],vertical,"(890.0, 262.0)",1.1833333333333333,0.616,1,6082.998,1,0.0,same
0,16,valid,"[(1111, 811)]",[],[1],[0.7333333333333333],horizontal,"(390.0, 262.0)",1.0,0.69,1,6111.192,1,0.0,same
0,17,valid,"[(1112, 794)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",1.45,0.558,1,6116.908,1,0.0,same
0,18,catch,"[(1128, 814)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,6122.33,2,0.0,same
0,19,valid,"[(1152, 801)]",[],[1],[0.65],vertical,"(890.0, 262.0)",1.4166666666666667,0.609,1,6128.109,2,0.0,same
0,20,valid,"[(1132, 798)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.9333333333333333,0.48,1,6133.987,2,0.0,same
0,21,valid,"[(1124, 775)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.1333333333333333,nan,0,6139.455,0,0.0,same
0,22,valid,"[(1110, 795)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.7,nan,0,6144.449,0,0.0,same
0,23,invalid_same_bar,"[(1105, 796)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",0.5333333333333333,0.441,1,6149.285,1,0.0,same
0,24,valid,"[(1130, 779)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.75,0.479,1,6153.975,1,0.0,same
0,25,valid,"[(1120, 782)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.1666666666666667,nan,0,6158.843,0,0.0,same
0,26,catch,"[(1092, 812)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,6163.977,1,0.0,same
0,27,valid,"[(1119, 782)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.8333333333333334,nan,0,6179.009,0,0.0,same
0,28,catch,"[(1109, 792)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,6184.187,1,0.0,same
0,29,valid,"[(1136, 780)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.5,nan,0,6189.627,0,0.0,same
0,30,invalid_adjacent_other_bar,"[(1071, 849)]",[],[1],[0.75],vertical,"(390.0, 262.0)",0.5,0.696,1,6194.959,1,0.0,other
0,31,catch,"[(1116, 778)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,6206.277,1,0.0,same
0,32,catch,"[(1135, 781)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,6211.626,1,0.0,same
0,33,valid,"[(1133, 764)]",[],[1],[0.7166666666666667],horizontal,"(890.0, 762.0)",0.8833333333333333,0.683,1,6216.759,2,0.0,same
0,34,valid,"[(1129, 773)]",[],[1],[0.7333333333333333],vertical,"(390.0, 762.0)",1.2166666666666666,0.685,1,6222.709,2,0.0,same
0,35,invalid_adjacent_other_bar,"[(1132, 769)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",1.4833333333333334,0.507,1,6228.609,2,0.0,other
0,36,valid,"[(1142, 783)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",0.7166666666666667,0.434,1,6234.798,3,0.0,same
0,37,catch,"[(1142, 770)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,6240.743,3,0.0,same
0,38,invalid_adjacent_other_bar,"[(1144, 772)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.7,0.444,1,6246.675,3,0.0,other
0,39,valid,"[(1157, 770)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.1666666666666667,nan,0,6252.043,0,0.0,same
0,40,valid,"[(1087, 820)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.2833333333333332,nan,0,6257.209,0,0.0,same
0,41,valid,"[(1096, 801)]",[],[1],[0.65],vertical,"(390.0, 762.0)",1.5,0.606,1,6262.376,1,0.0,same
0,42,catch,"[(1139, 762)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,6268.442,1,0.0,same
0,43,valid,"[(1145, 759)]",[],[1],[0.6833333333333333],horizontal,"(390.0, 762.0)",1.3166666666666667,0.64,1,6273.841,1,0.0,same
0,44,invalid_adjacent_other_bar,"[(1141, 778)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.3,nan,0,6279.65,0,0.0,other
0,45,catch,"[(1091, 811)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,6284.828,1,0.0,same
0,46,valid,"[(1118, 786)]",[],[1],[0.55],vertical,"(390.0, 762.0)",1.05,0.509,1,6293.026,1,0.0,same
0,47,valid,"[(1159, 793)]",[],[1],[0.5],vertical,"(390.0, 262.0)",0.43333333333333335,0.454,1,6298.286,1,0.0,same
0,48,catch,"[(1129, 791)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,6302.765,2,0.0,same
0,49,catch,"[(1126, 766)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,6308.698,2,0.0,same
0,50,invalid_same_bar,"[(1131, 799)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",0.6,0.472,1,6314.51,2,0.0,same
