block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1088, 856)]",[],[1],[0.3],vertical,"(890.0, 762.0)",1.1,0.267,1,0.513,1
0,2,target,"[(1091, 856)]",[],[1],[0.16666666666666666],vertical,"(890.0, 262.0)",1.6166666666666667,0.132,1,14.625,1
0,3,target,"[(1091, 856)]",[],[1],[0.3],horizontal,"(390.0, 762.0)",1.5,0.271,1,23.811,1
0,4,target,"[(1091, 856)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.2166666666666666,nan,0,30.016,0
0,5,target,"[(1091, 856)]",[],[1],[0.3333333333333333],vertical,"(890.0, 762.0)",1.4333333333333333,0.296,1,37.365,1
0,6,target,"[(1091, 856)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 262.0)",1.6833333333333333,0.297,1,43.016,1
0,7,target,"[(1097, 861)]",[],[1],[0.4],vertical,"(890.0, 762.0)",0.9166666666666666,0.362,1,48.222,1
0,8,target,"[(1118, 864)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('cti', 0.403)",0,53.23,0
