block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,valid,"[(1263, 847), (1262, 845), (1239, 852), (1208, 848)]",[],"[0, 0, 0, 1]",[],vertical,"(390.0, 762.0)",,"('fix', 0.359)",0,0.064,0,0.0,same
0,2,valid,"[(1239, 822), (1126, 843)]",[],"[0, 1]",[0.36666666666666664],horizontal,"(390.0, 762.0)",1.0,0.331,1,6.897,1,0.0,same
0,3,invalid_same_bar,"[(1117, 904)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",1.0666666666666667,0.412,1,22.03,1,0.0,same
0,4,catch,"[(560, 42), (525, 59), (506, 44), (1028, 972), (932, 826), (918, 788), (989, 926), (915, 715), (951, 750), (919, 206), (967, 169), (903, 110), (828, 169), (812, 170), (212, 242), (212, 242), (211, 242), (212, 242), (212, 242), (1136, 835)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[],horizontal,"(390.0, 762.0)",,"('cti', 0.424),nan",0,214.387,0,0.25,same
0,5,valid,"[(1118, 842)]",[],[1],[],vertical,"(890.0, 262.0)",,"('cti', 0.621)",0,998.832,0,0.2,same
0,6,invalid_same_bar,"[(1117, 849)]",[],[1],[0.6],vertical,"(890.0, 262.0)",0.75,0.564,1,1002.449,1,0.16666666666666666,same
0,7,catch,"[(1144, 914)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,1008.185,1,0.14285714285714285,same
0,8,valid,"[(1099, 814)]","[(1099, 856)]",[1],[0.06666666666666667],vertical,"(890.0, 762.0)",,"('bar', 0.084)",0,1159.227,0,0.125,same
0,9,catch,"[(1139, 786)]","[(1133, 811)]",[1],[0.06666666666666667],horizontal,"(390.0, 262.0)",,"('bar', 0.084),nan",0,2125.755,0,0.2222222222222222,same
0,10,catch,"[(1118, 833)]","[(1096, 850)]",[1],[0.3833333333333333],vertical,"(890.0, 262.0)",,"('bar', 0.4),nan",0,2129.669,0,0.3,same
0,11,valid,"[(1103, 791)]","[(1101, 827)]",[1],[0.3],vertical,"(890.0, 262.0)",,"('bar', 0.312)",0,3339.61,0,0.2727272727272727,same
0,12,valid,"[(1101, 805)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('fix', 0.447)",0,3342.779,0,0.25,same
0,13,catch,"[(1119, 784)]","[(1097, 813)]",[1],[0.6166666666666667],vertical,"(390.0, 762.0)",,"('bar', 0.621),nan",0,7112.756,0,0.3076923076923077,same
0,14,catch,"[(1064, 857)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,7116.364,1,0.2857142857142857,same
0,15,valid,"[(1066, 846)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.7333333333333333,nan,0,9496.585,0,0.26666666666666666,same
0,16,valid,"[(1118, 935)]",[],[1],[0.36666666666666664],vertical,"(890.0, 262.0)",1.0333333333333332,0.331,1,9501.075,1,0.25,same
0,17,valid,"[(1118, 935)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 262.0)",1.5333333333333332,0.375,1,9595.955,1,0.23529411764705882,same
0,18,catch,"[(1101, 838)]",[],[1],[],vertical,"(890.0, 762.0)",,"('fix', 0.099),nan",0,9601.823,0,0.2777777777777778,same
0,19,valid,"[(1105, 807)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('fix', 0.629)",0,10361.856,0,0.2631578947368421,same
0,20,invalid_same_bar,"[(1093, 799)]","[(1078, 829)]",[1],[0.55],vertical,"(890.0, 262.0)",,"('bar', 0.56)",0,10368.868,0,0.25,same
0,21,valid,"[(1102, 819)]","[(1095, 847)]",[1],[0.13333333333333333],vertical,"(890.0, 262.0)",,"('bar', 0.15)",0,10372.266,0,0.23809523809523808,same
0,22,invalid_same_bar,"[(1120, 798)]","[(1116, 828)]",[1],[0.3],vertical,"(890.0, 762.0)",,"('bar', 0.312)",0,10611.185,0,0.22727272727272727,same
0,23,valid,"[(1119, 790)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('fix', 0.23)",0,10613.727,0,0.21739130434782608,same
0,24,valid,"[(1087, 876)]",[],[1],[0.43333333333333335],vertical,"(890.0, 762.0)",1.0833333333333333,0.395,1,10616.381,1,0.20833333333333334,same
