block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1121, 840)]",[],[1],[0.4166666666666667],horizontal,"(390.0, 762.0)",1.4333333333333333,0.386,1,0.043,1
0,2,target,"[(1110, 860)]","[(1107, 866)]",[1],[0.5166666666666666],vertical,"(390.0, 262.0)",,"('bar', 0.527)",0,6.729,0
0,3,target,"[(1086, 866)]",[],[1],[0.4],vertical,"(890.0, 262.0)",1.05,0.36,1,9.818,1
0,4,target,"[(1084, 836)]",[],[1],[0.43333333333333335],vertical,"(890.0, 262.0)",1.3166666666666667,0.397,1,14.735,1
0,5,target,"[(1086, 846)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.8666666666666667,nan,0,19.833,0
0,6,target,"[(1109, 863)]",[],[1],[0.4],horizontal,"(390.0, 262.0)",1.3166666666666667,0.362,1,25.231,1
0,7,catch,"[(1077, 848)]",[],[1],[],vertical,"(390.0, 262.0)",1.2166666666666666,nan,1,30.661,1
0,8,target,"[(1091, 860)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 262.0)",1.6833333333333333,0.447,1,35.422,1
0,9,target,"[(1124, 870)]",[],[1],[0.4666666666666667],vertical,"(390.0, 762.0)",0.5666666666666667,0.429,1,41.056,2
0,10,target,"[(1091, 817)]",[],[1],[0.4166666666666667],horizontal,"(390.0, 762.0)",1.5833333333333333,0.383,1,46.024,2
