block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,catch,"[(1179, 864)]",[],[1],[],horizontal,"(390.0, 762.0)",1.05,nan,0,0.055,0
0,2,target,"[(1148, 889)]",[],[1],[0.55],vertical,"(390.0, 762.0)",1.25,0.515,0,4.848,0
