block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,0.765,45,[],[],"[(1112, 836)]",[],[1],[23],[0.3833333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.5833333333333334],[0.343],1,0.368
1,True,2,0.564,33,[],[],"[(980, 413), (1129, 184), (971, 414), (1245, 423), (1148, 250), (980, 355), (251, 166), (1212, 907)]",[],"[0, 0, 0, 0, 0, 0, 0, 1]",[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.7166666666666667],[0.543],1,160.474
1,True,3,0.753,45,[],[],"[(1193, 872)]",[],[1],[46],[0.7666666666666666],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.2833333333333332],[0.726],1,337.74
1,True,4,1.033,61,[],[],"[(1156, 871)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.6],[0.575],1,342.91
1,False,1,1.049,62,[],[],"[(1196, 890)]",[],[1],[36],[0.6],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.2666666666666666],[0.555],1,347.395
1,False,2,0.563,33,[],[],"[(763, 717), (1155, 881)]",[],"[0, 1]",[46],[0.7666666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.4333333333333333],[0.725],1,352.764
1,False,3,0.642,38,[],[],"[(1153, 873)]",[],[1],[39],[0.65],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.7333333333333333],[0.606],1,1958.48
1,False,4,1.054,63,[],[],"[(1172, 884)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.4166666666666667],[0.477],1,1962.431
1,False,5,1.125,67,[],[],"[(1160, 897)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.0],[0.536],1,1967.346
1,False,6,0.629,37,[],[],"[(1146, 883)]",[],[1],[36],[0.6],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.5666666666666667],[0.556],1,1972.054
1,False,7,0.732,43,[],[],"[(1154, 893)]",[],[1],[41],[0.6833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.55],[0.645],1,1976.801
1,False,8,0.507,30,[],[],"[(1153, 890)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.1666666666666667],[0.798],0,1980.683
1,False,9,1.071,64,[],[],"[(1153, 884)]",[],[1],[36],[0.6],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.05],[0.555],1,1985.173
1,False,10,0.981,58,[],[],"[(1122, 863)]",[],[1],[40],[0.6666666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.4333333333333333],[0.619],1,1990.02
1,False,11,0.851,51,[],[],"[(1172, 881)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.3333333333333333],[0.542],1,1995.103
1,False,12,0.934,56,[],[],"[(1107, 865)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.9333333333333333],[0.572],1,1999.836
1,False,13,1.075,64,[],[],"[(1151, 884)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.7],[0.48],1,2004.203
1,False,14,0.683,40,[],[],"[(1148, 878)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.0666666666666667],[0.477],1,2009.387
1,False,15,1.031,61,[],[],"[(1145, 876)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.1333333333333333],[0.578],1,2013.597
1,False,16,0.965,57,[],[],"[(1160, 879)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.1],[0.507],1,2018.314
1,False,17,1.044,62,[],[],"[(1142, 882)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.0666666666666667],[0.576],1,2022.845
1,False,18,0.572,34,[],[],"[(1185, 898)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.8166666666666667],[0.577],1,2027.59
1,False,19,0.612,36,[],[],"[(1148, 863)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.6],[0.478],1,2031.631
1,False,20,0.686,41,[],[],"[(1153, 879)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.65],[0.521],1,2036.433
1,False,21,0.556,33,[],[],"[(1190, 889)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.6666666666666666],[0.523],1,2041.305
1,False,22,0.662,39,[],[],"[(1117, 870)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.1666666666666667],[0.531],1,2045.149
1,False,23,0.648,38,[],[],"[(1111, 881)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.5666666666666667],[0.475],1,2049.509
1,False,24,0.573,34,[],[],"[(1130, 870)]",[],[1],[44],[0.7333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.5],[0.71],1,2058.85
1,False,25,0.732,43,[],[],"[(1153, 845)]",[],[1],[40],[0.6666666666666666],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.8166666666666667],[0.624],1,2062.576
1,False,26,1.089,65,[],[],"[(1186, 876)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6166666666666667],[0.573],1,2066.863
1,False,27,0.703,42,[],[],"[(1153, 880)]",[],[1],[36],[0.6],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.2166666666666666],[0.561],1,2071.185
1,False,28,0.729,43,[],[],"[(1154, 884)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.2333333333333334],[0.526],1,2077.606
1,False,29,0.973,58,[],[],"[(1117, 869)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.7166666666666667],[0.799],0,2082.212
1,False,30,1.112,66,[],[],"[(1183, 875)]",[],[1],[42],[0.7],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.6],[0.652],1,2086.798
1,False,31,0.86,51,[],[],"[(1196, 874)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.95],[0.512],1,2092.23
1,False,32,1.011,60,[],[],"[(1133, 862)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.3833333333333333],[0.471],1,2096.621
1,False,33,0.508,30,[],[],"[(1160, 877)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.5],[0.803],0,2101.466
1,False,34,0.565,33,[],[],"[(1172, 872)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.6333333333333333],[0.477],1,2105.257
1,False,35,0.892,53,[],[],"[(1178, 862)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.1],[0.542],1,2109.995
1,False,36,1.147,68,[],[],"[(1183, 869)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.6666666666666667],[0.801],0,2114.6
1,False,37,0.843,50,[],[],"[(1123, 886)]",[],[1],[36],[0.6],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.3],[0.563],1,2120.095
1,False,38,0.566,33,[],[],"[(1160, 884)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.1833333333333333],[0.544],1,2156.595
1,False,39,1.159,69,[],[],"[(1164, 888)]",[],[1],[45],[0.75],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.8333333333333334],[0.702],1,2160.87
1,False,40,1.172,70,[],[],"[(1184, 879)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.8833333333333333],[0.499],1,2165.595
1,False,41,1.084,65,[],[],"[(1196, 889)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.35],[0.508],1,2170.122
1,False,42,0.677,40,[],[],"[(1160, 895)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.5833333333333334],[0.508],1,2175.168
1,False,43,0.738,44,[],[],"[(1196, 877)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.75],[0.538],1,2178.948
1,False,44,1.166,69,[],[],"[(1162, 889)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.7166666666666667],[0.509],1,2183.12
1,False,45,0.991,59,[],[],"[(1154, 874)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.5],[0.477],1,2187.42
1,False,46,0.569,34,[],[],"[(1153, 870)]",[],[1],[44],[0.7333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.1166666666666667],[0.687],1,2192.466
1,False,47,0.687,41,[],[],"[(1153, 887)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.0166666666666666],[0.51],1,2196.836
1,False,48,0.982,58,[],[],"[(1160, 879)]",[],[1],[36],[0.6],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.9166666666666666],[0.551],1,2201.057
1,False,49,1.031,61,[],[],"[(1184, 894)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.5333333333333332],[0.511],1,2205.513
1,False,50,0.751,45,[],[],"[(1158, 890)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.5833333333333333],[0.8],0,2210.554
1,False,51,0.537,32,[],[],"[(1134, 871)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.6833333333333333],[0.802],0,2215.766
1,False,52,0.894,53,[],[],"[(1172, 879)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.3666666666666667],[0.519],1,2220.135
1,False,53,0.933,55,[],[],"[(1148, 851)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.25],[0.488],1,2225.003
1,False,54,0.729,43,[],[],"[(1163, 889)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.6],[0.522],1,2229.766
1,False,55,0.559,33,[],[],"[(1190, 884)]",[],[1],[38],[0.6333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.8833333333333333],[0.592],1,2234.642
1,False,56,1.189,71,[],[],"[(1160, 884)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.25],[0.807],0,2238.678
1,False,57,0.873,52,[],[],"[(1117, 862)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6166666666666667],[0.486],1,2243.933
1,False,58,1.107,66,[],[],"[(1196, 869)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.6],[0.493],1,2248.486
1,False,59,0.778,46,[],[],"[(1190, 884)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.0166666666666666],[0.491],1,2253.766
1,False,60,0.619,37,[],[],"[(1115, 862)]",[],[1],[31],[0.5166666666666666],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.15],[0.478],1,2258.068
2,False,61,0.989,59,[],[],"[(1198, 879)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.7166666666666667],[0.525],1,2262.266
2,False,62,0.892,53,[],[],"[(1181, 875)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.5833333333333334],[0.507],1,2266.572
2,False,63,0.515,30,[],[],"[(1148, 890)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.8166666666666667],[0.506],1,2270.536
2,False,64,0.711,42,[],[],"[(1166, 873)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.65],[0.525],1,2274.433
2,False,65,0.772,46,[],[],"[(1142, 878)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.45],[0.493],1,2279.248
2,False,66,0.966,57,[],[],"[(1151, 872)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.15],[0.504],1,2284.02
2,False,67,0.625,37,[],[],"[(1160, 859)]",[],[1],[44],[0.7333333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.4],[0.686],1,2288.737
2,False,68,1.015,60,[],[],"[(1160, 871)]",[],[1],[38],[0.6333333333333333],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.6333333333333333],[0.596],1,2293.471
2,False,69,0.918,55,[],[],"[(1178, 880)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.1666666666666667],[0.808],0,2298.72
2,False,70,0.505,30,[],[],"[(1182, 870)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.9833333333333333],[0.576],1,2303.665
2,False,71,0.698,41,[],[],"[(1113, 870)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.0333333333333332],[0.511],1,2307.708
2,False,72,1.065,63,[],[],"[(1184, 868)]",[],[1],[37],[0.6166666666666667],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.35],[0.572],1,2311.889
2,False,73,1.15,69,[],[],"[(1178, 870)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.2333333333333334],[0.532],1,2316.877
2,False,74,0.995,59,[],[],"[(1182, 874)]",[],[1],[50],[0.8333333333333334],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.0],[0.786],1,2321.874
2,False,75,1.056,63,[],[],"[(1179, 871)]",[],[1],[39],[0.65],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.2333333333333334],[0.606],1,2326.565
2,False,76,0.843,50,[],[],"[(1184, 860)]",[],[1],[33],[0.55],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.65],[0.511],1,2331.389
2,False,77,0.921,55,[],[],"[(1150, 847)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.9],[0.538],1,2335.447
2,False,78,0.642,38,[],[],"[(1156, 876)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.0666666666666667],[0.538],1,2339.896
2,False,79,0.669,40,[],[],"[(1151, 860)]",[],[1],[34],[0.5666666666666667],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.85],[0.532],1,2344.017
2,False,80,1.138,68,[],[],"[(1183, 859)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.9666666666666667],[0.491],1,2348.168
2,False,81,0.623,37,[],[],"[(1231, 875), (1196, 868)]",[],"[0, 1]",[31],[0.5166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.5166666666666666],[0.473],1,2352.77
2,False,82,1.07,64,[],[],"[(1149, 864)]",[],[1],[36],[0.6],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.2333333333333334],[0.565],1,2358.837
2,False,83,1.196,71,[],[],"[(1169, 861)]",[],[1],[32],[0.5333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.6333333333333333],[0.493],1,2363.838
2,False,84,0.787,47,[],[],"[(1178, 855)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.5166666666666666],[0.544],1,2368.269
2,False,85,1.134,68,[],[],"[(1184, 868)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.5],[0.51],1,2373.132
2,False,86,0.941,56,[],[],"[(1190, 875)]",[],[1],[35],[0.5833333333333334],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.3833333333333333],[0.542],1,2377.296
2,False,87,0.759,45,[],[],"[(1188, 868)]",[],[1],[39],[0.65],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[1.1833333333333333],[0.607],1,2382.22
2,False,88,0.619,37,[],[],"[(1196, 884)]",[],[1],[42],[0.7],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.55],[0.655],1,2386.752
2,False,89,1.198,71,[],[],"[(1151, 888)]",[],[1],[33],[0.55],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.6666666666666666],[0.509],1,2390.503
