block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1154, 829)]",[],[1],[0.45],vertical,"(390.0, 762.0)",1.4666666666666666,0.417,1,0.381,1
0,2,catch,"[(1153, 827)]",[],[1],[],vertical,"(890.0, 262.0)",1.0666666666666667,nan,1,5.686,1
0,3,target,"[(1071, 771)]",[],[1],[0.45],horizontal,"(390.0, 762.0)",1.6333333333333333,0.408,1,15.845,1
0,4,target,"[(1076, 859)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",0.8166666666666667,0.423,1,21.529,2
0,5,target,"[(1074, 839)]",[],[1],[0.45],vertical,"(890.0, 762.0)",0.95,0.414,1,28.487,1
0,6,target,"[(1073, 833)]",[],[1],[0.45],vertical,"(390.0, 262.0)",0.7,0.412,1,33.234,1
0,7,target,"[(1073, 832)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)",1.3333333333333333,0.375,1,37.713,1
0,8,target,"[(1073, 832)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",1.3333333333333333,0.443,1,42.728,3
0,9,target,"[(1073, 832)]",[],[1],[0.4],vertical,"(390.0, 762.0)",1.1333333333333333,0.365,1,47.893,1
0,10,target,"[(1073, 832)]",[],[1],[],vertical,"(890.0, 262.0)",,"('cti', 0.355)",0,54.419,0
0,11,target,"[(1073, 832)]",[],[1],[0.36666666666666664],horizontal,"(890.0, 762.0)",0.9166666666666666,0.332,1,57.629,1
0,12,target,"[(1069, 831)]",[],[1],[0.45],vertical,"(390.0, 762.0)",1.1666666666666667,0.411,1,61.856,1
0,13,target,"[(1069, 831)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",0.9833333333333333,0.434,1,66.801,1
0,14,target,"[(1069, 831)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",1.6666666666666667,0.428,1,71.469,2
0,15,target,"[(1069, 831)]",[],[1],[0.43333333333333335],vertical,"(390.0, 262.0)",1.3,0.395,1,77.117,1
0,16,target,"[(1069, 831)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.1333333333333333,0.471,1,82.065,1
0,17,catch,"[(1069, 831)]",[],[1],[],vertical,"(390.0, 262.0)",1.65,nan,1,86.915,1
0,18,target,"[(1069, 831)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",0.9166666666666666,0.514,1,91.998,3
