block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(141, 568), (859, 801), (1066, 836)]",[],"[0, 0, 1]",[],vertical,"(390.0, 262.0)",,"('fix', 0.4)",0,0.5,0
0,2,target,"[(1076, 802)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",1.3833333333333333,0.522,1,2988.339,1
0,3,target,"[(1058, 802)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 262.0)",1.3,0.377,1,6480.587,1
0,4,target,"[(1071, 801)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.6,0.512,1,6485.636,1
0,5,target,"[(1075, 806)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('cti', 1.032)",0,6490.202,0
0,6,target,"[(1076, 769)]",[],[1],[0.3333333333333333],vertical,"(390.0, 262.0)",1.35,0.301,1,6495.004,1
0,7,target,"[(1079, 772)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",0.75,0.531,1,6500.603,1
0,8,target,"[(1075, 786)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",0.8333333333333334,0.525,1,6505.071,1
0,9,catch,"[(1090, 795)]",[],[1],[],vertical,"(390.0, 762.0)",1.6,nan,1,6510.203,2
0,10,target,"[(1106, 776)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",1.0166666666666666,0.477,1,6515.354,2
0,11,target,"[(1105, 751), (1060, 812)]",[],"[0, 1]",[0.5833333333333334],vertical,"(890.0, 762.0)",0.7666666666666666,0.54,1,6521.202,2
0,12,target,"[(1072, 743), (1075, 795)]",[],"[0, 1]",[],vertical,"(890.0, 762.0)",,"('cti', 1.397)",0,6527.254,0
0,13,target,"[(1078, 769)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.6333333333333333,"('cti', 1.621),nan",0,6533.179,0
0,14,target,"[(1076, 804)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.5,nan,0,6538.605,0
0,15,target,"[(1065, 761)]",[],[1],[0.3333333333333333],horizontal,"(390.0, 262.0)",1.1,0.295,1,6543.299,1
0,16,target,"[(1100, 761)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.7666666666666666,nan,0,6551.649,0
0,17,target,"[(1074, 816)]",[],[1],[0.23333333333333334],horizontal,"(890.0, 262.0)",1.5833333333333333,0.2,1,6556.471,1
0,18,target,"[(1105, 791)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.65,nan,0,6562.727,0
0,19,target,"[(1038, 803)]",[],[1],[0.7666666666666666],vertical,"(390.0, 262.0)",1.2666666666666666,0.717,1,6567.505,1
0,20,catch,"[(1074, 796)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('cti', 1.174),nan",0,6574.298,0
0,21,target,"[(1071, 809)]",[],[1],[0.48333333333333334],vertical,"(390.0, 262.0)",0.9166666666666666,0.448,1,6579.023,1
0,22,target,"[(1074, 781)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.35,0.458,1,6584.51,1
0,23,catch,"[(1104, 805)]",[],[1],[],horizontal,"(890.0, 762.0)",1.6,nan,1,6589.439,1
0,24,target,"[(1059, 808)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.75,nan,0,6594.523,0
0,25,target,"[(1066, 833)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.8666666666666667,0.514,1,6602.154,1
0,26,target,"[(1105, 811)]",[],[1],[0.15],horizontal,"(890.0, 262.0)",1.55,0.117,0,6616.838,0
0,27,target,"[(1060, 821)]",[],[1],[0.7],vertical,"(390.0, 262.0)",0.5333333333333333,0.652,1,6621.622,1
0,28,target,"[(1099, 795)]",[],[1],[0.6],horizontal,"(890.0, 262.0)",0.5833333333333334,0.554,1,6626.836,1
0,29,target,"[(1110, 768)]",[],[1],[0.15],vertical,"(390.0, 262.0)",1.6666666666666667,0.118,0,6631.351,0
0,30,target,"[(1062, 773)]",[],[1],[0.35],vertical,"(890.0, 262.0)",1.5,0.314,1,6636.255,1
0,31,target,"[(1100, 776)]",[],[1],[0.4166666666666667],horizontal,"(390.0, 762.0)",1.4833333333333334,0.374,1,6641.538,1
0,32,target,"[(1124, 807)]",[],[1],[0.26666666666666666],horizontal,"(890.0, 762.0)",1.4,0.231,1,6646.954,1
0,33,target,"[(1105, 799)]",[],[1],[0.65],horizontal,"(890.0, 262.0)",0.9666666666666667,0.603,1,6652.421,2
0,34,target,"[(1124, 773)]",[],[1],[0.65],vertical,"(390.0, 762.0)",0.8166666666666667,0.604,1,6657.81,2
0,35,target,"[(1109, 797)]",[],[1],[0.18333333333333332],vertical,"(390.0, 262.0)",1.4666666666666666,0.153,0,6663.063,0
0,36,target,"[(1075, 795)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.55,nan,0,6667.903,0
0,37,target,"[(1063, 833)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",0.7166666666666667,0.571,1,6672.122,1
0,38,target,"[(1103, 792)]",[],[1],[0.26666666666666666],vertical,"(890.0, 262.0)",1.4833333333333334,0.229,1,6677.474,1
0,39,target,"[(1110, 770)]",[],[1],[0.55],vertical,"(890.0, 762.0)",1.05,0.505,1,6682.791,1
0,40,target,"[(1077, 782)]",[],[1],"[0.85, 0.85]",vertical,"(390.0, 762.0)",0.8,"0.82,nan",0,6687.87,0
0,41,target,"[(1105, 791)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.6166666666666667,nan,0,6693.071,0
0,42,target,"[(1062, 768)]",[],[1],[0.5833333333333334],vertical,"(890.0, 262.0)",0.9333333333333333,0.538,1,6697.596,1
0,43,target,"[(1126, 748), (1104, 792)]",[],"[0, 1]",[0.25],horizontal,"(890.0, 762.0)",1.5833333333333333,0.217,1,6702.912,1
0,44,target,"[(1105, 773)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",0.8166666666666667,0.521,1,6708.954,1
0,45,target,"[(1076, 752), (1091, 775)]",[],"[0, 1]",[0.5833333333333334],vertical,"(390.0, 762.0)",1.1833333333333333,0.545,1,6713.729,2
0,46,target,"[(1124, 767)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.7166666666666667,0.507,1,6720.183,2
0,47,target,"[(1100, 765)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.0,0.527,1,6724.984,2
0,48,target,"[(1073, 755)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.7833333333333333,0.505,1,6730.15,2
0,49,target,"[(1105, 777)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.6833333333333333,nan,0,6735.248,0
0,50,target,"[(1076, 768)]",[],[1],[0.7],vertical,"(390.0, 762.0)",0.6166666666666667,0.654,1,6739.662,1
0,51,target,"[(1074, 767)]",[],[1],[0.45],vertical,"(890.0, 762.0)",0.7,0.407,1,6744.514,1
0,52,target,"[(1107, 766)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",0.9333333333333333,0.529,1,6748.955,1
0,53,catch,"[(1102, 768)]",[],[1],[],horizontal,"(390.0, 762.0)",1.6,nan,1,6754.023,2
