block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(1095, 857)]",[],[1],[0.7],horizontal,"(390.0, 762.0)",1.666666667,0.674,1,0.445
1,2,target,"[(1249, 124), (1116, 865)]",[],"[0, 1]",[0.5333333333333333],vertical,"(390.0, 262.0)",0.816666667,0.5,1,6.819
1,3,target,"[(1096, 885)]",[],[1],[0.85],vertical,"(390.0, 762.0)",1.35,nan,0,5047.515
1,4,target,"[(1121, 882)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",0.65,0.525,1,5052.901
1,5,target,"[(1086, 907)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.616666667,nan,0,5064.132
1,6,target,"[(1111, 898)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",0.65,0.525,1,5068.637
1,7,catch,"[(1085, 905)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.9,nan,1,5072.55
1,8,target,"[(1095, 904)]",[],[1],[0.7],horizontal,"(890.0, 762.0)",1.116666667,0.652,1,5077.41
1,9,catch,"[(1085, 901)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.616666667,nan,1,5082.201
1,10,target,"[(1071, 902)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.366666667,0.493,1,5087.005
2,11,target,"[(1071, 891)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.05,0.526,1,5092.307
2,12,target,"[(1129, 899)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",0.966666667,0.51,1,5097.4
2,13,target,"[(1071, 895)]",[],[1],[0.55],vertical,"(390.0, 262.0)",1.15,0.511,1,5102.22
2,14,target,"[(1109, 899)]",[],[1],[0.6166666666666667],vertical,"(890.0, 762.0)",0.633333333,0.585,1,5106.816
2,15,target,"[(1126, 917)]",[],[1],[0.2],horizontal,"(890.0, 762.0)",1.516666667,0.164,1,5111.55
2,16,target,"[(1069, 861)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",0.7,0.564,1,5116.428
2,17,target,"[(1105, 890)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",1.083333333,0.473,1,5121.301
2,18,target,"[(1109, 897)]",[],[1],[0.65],vertical,"(390.0, 762.0)",0.683333333,0.605,1,5126.148
2,19,target,"[(1086, 906)]",[],[1],[0.75],horizontal,"(890.0, 262.0)",0.866666667,0.707,1,5130.818
2,20,catch,"[(1093, 885)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.916666667,nan,1,5135.815
3,21,catch,"[(1098, 898)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.816666667,nan,1,5141.266
3,22,target,"[(1065, 902)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,5146.001
3,23,catch,"[(1074, 862)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.583333333,nan,1,5150.15
3,24,target,"[(1072, 906)]",[],[1],[0.31666666666666665],vertical,"(390.0, 762.0)",1.15,0.28,1,5154.566
3,25,target,"[(1070, 906)]",[],[1],[0.25],vertical,"(890.0, 262.0)",1.483333333,0.215,1,5159.25
3,26,target,"[(1072, 915)]",[],[1],[0.7],horizontal,"(390.0, 762.0)",0.966666667,0.675,1,5164.19
3,27,target,"[(1100, 889)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",0.7,0.477,1,5169.184
3,28,target,"[(1079, 915)]",[],[1],[0.55],vertical,"(390.0, 762.0)",1.166666667,0.511,1,5173.849
3,29,target,"[(1118, 855)]",[],[1],[0.5],vertical,"(890.0, 762.0)",0.866666667,0.462,1,5178.414
3,30,target,"[(1076, 889)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",0.866666667,0.496,1,5182.667
4,31,target,"[(1116, 899)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,5187.315
4,32,catch,"[(1097, 885)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.65,nan,1,5191.601
4,33,target,"[(1076, 888)]",[],[1],[],horizontal,"(890.0, 762.0)",,cti_phase,0,5196.057
4,34,target,"[(1095, 901)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,5200.834
4,35,target,"[(661, 906), (1068, 905)]",[],"[0, 1]",[0.35],vertical,"(390.0, 262.0)",1.216666667,0.31,1,5204.902
4,36,target,"[(1090, 894)]",[],[1],[0.7666666666666666],horizontal,"(390.0, 262.0)",0.566666667,0.724,1,5213.454
4,37,target,"[(1095, 889)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.816666667,0.473,1,5217.958
4,38,target,"[(1086, 890)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",1.05,0.473,1,5222.58
4,39,target,"[(1104, 895)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,5227.284
4,40,catch,"[(1083, 889)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.95,nan,1,5231.817
5,41,catch,"[(1089, 871)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.666666667,nan,1,5236.622
5,42,catch,"[(1087, 882)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.233333333,nan,1,5241.168
5,43,target,"[(1100, 873)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.783333333,0.484,1,5246.451
5,44,target,"[(1100, 893)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.316666667,0.492,1,5255.335
5,45,target,"[(1123, 892)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",1.1,0.526,1,5259.917
5,46,target,"[(1099, 882)]",[],[1],[0.6833333333333333],vertical,"(890.0, 262.0)",0.766666667,0.646,1,5264.917
5,47,target,"[(1079, 887)]",[],[1],[0.2],vertical,"(890.0, 262.0)",1.316666667,0.163,1,5269.51
5,48,target,"[(1079, 876)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.666666667,nan,0,5274.609
5,49,target,"[(1102, 884)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",1.166666667,0.576,1,5280.335
