block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,1,catch,"[(1012, 842)]",[],[1],[],horizontal,"(390.0, 262.0)",1.6,nan,1,0.531,1,0.0,0.1
0,2,target,"[(1056, 806)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",0.7666666666666666,0.558,1,309.487,1,0.0,0.1
0,3,target,"[(1056, 807)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.5166666666666666,nan,0,314.637,0,0.0,0.1
0,4,target,"[(1051, 841)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.75,nan,0,319.041,0,0.0,0.1
0,5,target,"[(1030, 837)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.9666666666666667,nan,0,324.364,0,0.0,0.1
0,6,target,"[(1036, 792)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 762.0)",0.7166666666666667,0.608,1,331.345,1,0.0,0.1
0,7,target,"[(1052, 804)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.9833333333333333,nan,0,336.4,0,0.0,0.1
0,8,target,"[(1037, 806)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 762.0)",1.4666666666666666,0.352,1,341.174,1,0.0,0.1
0,9,target,"[(1052, 802)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.0833333333333333,nan,0,346.501,0,0.0,0.1
0,10,target,"[(1017, 789)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",1.35,0.454,1,351.375,1,0.0,0.1
0,11,target,"[(1028, 785)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.75,nan,0,356.324,0,0.0,0.1
0,12,target,"[(1027, 779)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 262.0)",0.6166666666666667,0.605,1,361.087,1,0.0,0.1
0,13,target,"[(1058, 796)]",[],[1],[0.48333333333333334],vertical,"(390.0, 262.0)",1.3166666666666667,0.457,1,365.903,1,0.0,0.1
0,14,catch,"[(1051, 781)]",[],[1],[],horizontal,"(390.0, 262.0)",1.6,nan,1,370.931,1,0.0,0.1
0,15,target,"[(1019, 784)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",1.3,0.47,1,376.062,2,0.0,0.1
0,16,target,"[(1021, 759)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",1.1833333333333333,0.455,1,381.429,2,0.0,0.1
0,17,target,"[(1021, 795)]",[],[1],[0.08333333333333333],vertical,"(390.0, 262.0)",1.3166666666666667,0.051,0,386.92,0,0.0,0.1
0,18,target,"[(1029, 811)]",[],[1],[0.3],vertical,"(890.0, 262.0)",1.5,0.272,1,393.758,1,0.0,0.1
0,19,target,"[(995, 854), (1016, 816)]",[],"[0, 1]",[0.4666666666666667],vertical,"(390.0, 762.0)",1.1833333333333333,0.424,1,398.711,1,0.0,0.1
0,20,target,"[(1035, 786)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.43333333333333335,nan,0,405.991,0,0.0,0.1
0,21,target,"[(1000, 761), (1041, 800)]",[],"[0, 1]",[0.5166666666666666],vertical,"(890.0, 262.0)",0.9333333333333333,0.475,1,410.54,1,0.0,0.1
0,22,target,"[(1049, 785)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",0.95,0.458,1,416.628,1,0.0,0.1
0,23,target,"[(1039, 781)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",0.5333333333333333,0.584,1,421.341,1,0.0,0.1
0,24,target,"[(1059, 786)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",1.1166666666666667,0.44,1,425.907,2,0.0,0.1
0,25,target,"[(1039, 786)]",[],[1],[0.06666666666666667],horizontal,"(890.0, 762.0)",1.5166666666666666,0.036,0,431.239,0,0.0,0.1
0,26,target,"[(1045, 791)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.8,0.441,1,436.028,1,0.0,0.1
0,27,catch,"[(1043, 778)]",[],[1],[],horizontal,"(390.0, 762.0)",1.6,nan,1,440.771,1,0.0,0.1
0,28,target,"[(1038, 771)]",[],[1],[0.5],vertical,"(890.0, 762.0)",1.3666666666666667,0.465,1,445.577,1,0.0,0.1
0,29,catch,"[(1041, 767)]",[],[1],[],vertical,"(390.0, 762.0)",1.6,nan,1,450.624,2,0.0,0.1
0,30,target,"[(1043, 768)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 262.0)",0.65,0.528,1,455.842,2,0.0,0.1
0,31,target,"[(1017, 838)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 762.0)",0.95,0.615,1,460.599,2,0.0,0.1
0,32,target,"[(1045, 801)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.6666666666666666,0.51,1,509.435,2,0.0,0.1
0,33,target,"[(1024, 803)]",[],[1],[0.55],vertical,"(890.0, 762.0)",0.8333333333333334,0.508,1,514.56,3,0.0,0.1
0,34,target,"[(1034, 794)]",[],[1],[0.4666666666666667],vertical,"(390.0, 262.0)",1.2333333333333334,0.428,1,520.827,3,0.0,0.1
0,35,target,"[(1029, 813)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",0.9833333333333333,0.497,1,526.976,3,0.0,0.1
0,36,target,"[(1028, 820)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.5,0.506,1,533.077,3,0.0,0.1
0,37,target,"[(1034, 798)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",1.1,0.43,1,539.393,3,0.0,0.1
0,38,target,"[(1032, 803)]",[],[1],[],vertical,"(390.0, 762.0)",,"('cti', 1.09)",0,545.443,0,0.02631578947368421,0.1
0,39,target,"[(1030, 779)]",[],[1],[0.18333333333333332],vertical,"(390.0, 762.0)",1.0166666666666666,0.146,0,549.552,0,0.02564102564102564,0.1
0,40,target,"[(1012, 800)]",[],[1],[0.65],horizontal,"(890.0, 262.0)",0.6666666666666666,0.617,1,553.494,1,0.025,0.1
0,41,target,"[(1026, 811)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",1.2833333333333332,0.467,1,558.466,1,0.024390243902439025,0.1
0,42,target,"[(1025, 807)]",[],[1],[0.2],vertical,"(390.0, 762.0)",1.4333333333333333,0.169,0,563.427,0,0.023809523809523808,0.1
0,43,target,"[(1032, 776)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.8666666666666667,0.51,1,568.681,1,0.023255813953488372,0.1
0,44,target,"[(1025, 773)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.9833333333333333,0.541,1,573.742,1,0.022727272727272728,0.1
0,45,target,"[(1009, 801)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",1.2,0.527,1,578.599,1,0.022222222222222223,0.1
0,46,target,"[(1036, 828)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",0.7166666666666667,0.442,1,584.144,2,0.021739130434782608,0.1
0,47,target,"[(1025, 783)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",0.45,0.602,1,589.634,2,0.02127659574468085,0.1
0,48,target,"[(1021, 764)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",1.0666666666666667,0.477,1,594.36,2,0.020833333333333332,0.1
0,49,target,"[(1057, 789)]",[],[1],[0.16666666666666666],vertical,"(890.0, 762.0)",1.45,0.131,0,599.44,0,0.02040816326530612,0.1
0,50,target,"[(1033, 819)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",0.6,0.498,1,603.944,1,0.02,0.1
0,51,target,"[(1033, 803)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.5333333333333333,nan,0,608.163,0,0.02,0.1
0,52,target,"[(1032, 796)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",0.5333333333333333,0.483,1,612.273,1,0.02,0.1
0,53,target,"[(1037, 770)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 262.0)",0.4666666666666667,0.601,1,616.647,1,0.02,0.1
0,54,catch,"[(1009, 812)]",[],[1],[],vertical,"(890.0, 262.0)",1.6,"('cti', 1.603),nan",0,621.128,0,0.04,0.1
0,55,target,"[(1038, 803)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",0.4166666666666667,0.551,1,626.093,1,0.04,0.1
0,56,target,"[(1038, 786)]",[],[1],[0.55],vertical,"(890.0, 762.0)",0.7166666666666667,0.519,1,630.143,1,0.04,0.1
