block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(740, 599), (683, 462), (737, 701), (829, 574), (746, 672), (830, 546), (1066, 653), (901, 606), (630, 448), (819, 713), (877, 696), (727, 614), (814, 722), (751, 472), (989, 765), (793, 467), (703, 545), (669, 813), (891, 623), (698, 512), (819, 574), (615, 809), (616, 752), (814, 831), (747, 658), (717, 799), (963, 877), (897, 848), (462, 577), (335, 805), (214, 38), (335, 730), (959, 594), (880, 691), (501, 906), (616, 479), (663, 262), (1031, 847)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[],vertical,"(390.0, 762.0)",,fix_phase,0,0.026
1,2,target,"[(553, 164), (186, 135), (194, 880), (223, 643), (59, 833), (320, 381), (340, 140), (412, 950), (549, 295), (543, 989), (688, 179), (723, 324), (846, 984), (925, 872), (864, 598), (1003, 737), (934, 222), (790, 913), (1081, 823)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.3833333333333333],horizontal,"(390.0, 762.0)",0.7666666666666666,0.341,1,39.506
1,3,target,"[(1111, 853)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.65,nan,0,65.875
1,4,target,"[(1051, 354), (680, 602), (678, 594), (775, 376), (1056, 399), (97, 994), (1075, 890)]",[],"[0, 0, 0, 0, 0, 0, 1]",[0.85],vertical,"(890.0, 262.0)",1.4,nan,0,70.42
1,5,target,"[(1067, 906)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.5,nan,0,4161.014
1,6,target,"[(1124, 885)]",[],[1],[0.7],horizontal,"(890.0, 262.0)",1.4333333333333333,0.657,1,4166.363
1,7,target,"[(1101, 910)]",[],[1],[0.85],vertical,"(890.0, 262.0)",1.05,nan,0,4171.235
1,8,target,"[(1113, 907)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",0.6166666666666667,0.558,1,4176.576
1,9,target,"[(1129, 904)]",[],[1],[0.65],horizontal,"(890.0, 262.0)",1.5833333333333333,0.607,1,4186.074
1,10,target,"[(1093, 906)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",0.7333333333333333,0.573,1,4191.196
