block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,catch,"[(1053, 815)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,0.606,1,0.0,same
0,2,valid,"[(1032, 843)]",[],[1],[0.4166666666666667],horizontal,"(390.0, 262.0)",0.95,0.391,1,58.68,1,0.0,same
0,3,catch,"[(1109, 852)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,68.375,1,0.0,same
0,4,valid,"[(1120, 821)]",[],[1],[0.55],vertical,"(890.0, 262.0)",1.4,0.511,1,7334.725,2,0.0,same
0,5,valid,"[(1165, 786)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.4666666666666667,nan,0,7340.988,0,0.0,same
0,6,valid,"[(1111, 800)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",1.0833333333333333,0.429,1,7344.839,1,0.0,same
0,7,valid,"[(1116, 802)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",0.85,0.575,1,7349.553,1,0.0,same
0,8,valid,"[(1128, 811)]",[],[1],[0.7333333333333333],horizontal,"(390.0, 762.0)",0.7666666666666666,0.682,1,7354.603,1,0.0,same
0,9,valid,"[(1160, 790)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",1.2333333333333334,0.428,1,7360.248,2,0.0,same
0,10,catch,"[(1157, 794)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,7366.253,2,0.0,same
0,11,catch,"[(1163, 795)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,7371.62,2,0.0,same
0,12,valid,"[(1164, 786)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",1.5166666666666666,0.409,1,7377.155,3,0.0,same
0,13,catch,"[(1157, 793)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,7383.522,3,0.0,same
0,14,valid,"[(1157, 804)]",[],[1],[0.4666666666666667],vertical,"(390.0, 262.0)",0.5333333333333333,0.425,1,7389.737,3,0.0,same
0,15,catch,"[(1135, 801)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,7395.321,3,0.0,same
0,16,catch,"[(1172, 800)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,7401.556,3,0.0,same
0,17,catch,"[(1158, 796)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,7407.555,3,0.0,same
0,18,valid,"[(1160, 788)]",[],[1],[0.5],vertical,"(390.0, 262.0)",1.2833333333333332,0.466,1,7413.722,3,0.0,same
0,19,valid,"[(1158, 783)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.6166666666666667,0.478,1,7419.555,3,0.0,same
0,20,valid,"[(1172, 785)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.8666666666666667,nan,0,7425.156,0,0.0,same
0,21,valid,"[(1047, 836)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.9,nan,0,7429.539,0,0.0,same
0,22,valid,"[(1106, 815)]",[],[1],[0.55],horizontal,"(390.0, 762.0)",1.4,0.505,1,7450.341,1,0.0,same
0,23,catch,"[(1121, 786)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,7455.524,1,0.0,same
0,24,catch,"[(1082, 851)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,7460.434,1,0.0,same
0,25,valid,"[(1162, 796)]",[],[1],[0.6],vertical,"(390.0, 262.0)",0.7333333333333333,0.561,1,7465.698,2,0.0,same
0,26,catch,"[(1136, 796)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,7471.24,2,0.0,same
0,27,valid,"[(1126, 804)]",[],[1],[0.6666666666666666],horizontal,"(390.0, 262.0)",1.4333333333333333,0.627,1,7476.984,2,0.0,same
0,28,catch,"[(1136, 805)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,7483.155,3,0.0,same
0,29,valid,"[(1163, 805)]",[],[1],[0.48333333333333334],vertical,"(390.0, 762.0)",1.3166666666666667,0.444,1,7489.072,3,0.0,same
0,30,catch,"[(1165, 797)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,7495.106,3,0.0,same
0,31,catch,"[(1163, 801)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,7501.461,3,0.0,same
0,32,catch,"[(1158, 781)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,7507.232,3,0.0,same
0,33,catch,"[(1159, 798)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,7513.329,3,0.0,same
0,34,catch,"[(1157, 799)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,7519.384,3,0.0,same
0,35,catch,"[(1160, 798)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,7525.433,3,0.0,same
0,36,valid,"[(1164, 776)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.7,0.51,1,7531.37,3,0.0,same
0,37,valid,"[(1160, 792)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",0.9666666666666667,0.446,1,7536.671,3,0.0,same
0,38,valid,"[(1152, 805)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.3333333333333333,0.48,1,7542.581,3,0.0,same
0,39,catch,"[(1123, 812)]",[],[1],[0.03333333333333333],horizontal,"(890.0, 262.0)",1.7,"0.02,nan",0,7549.165,0,0.02564102564102564,same
0,40,valid,"[(1087, 792)]",[],[1],[0.6],vertical,"(890.0, 262.0)",1.3666666666666667,0.554,1,7554.355,1,0.025,same
0,41,catch,"[(1167, 790)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,7559.828,1,0.024390243902439025,same
0,42,invalid_same_bar,"[(1159, 802)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 262.0)",1.0666666666666667,0.591,1,7564.978,1,0.023809523809523808,same
0,43,valid,"[(1155, 816)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",1.4,0.49,1,7570.346,2,0.023255813953488372,same
0,44,valid,"[(1160, 783)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",1.0,0.579,1,7576.202,2,0.022727272727272728,same
0,45,invalid_adjacent_other_bar,"[(1160, 808)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.5,0.497,1,7582.155,2,0.022222222222222223,other
0,46,catch,"[(1116, 817)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,7588.106,3,0.021739130434782608,same
0,47,catch,"[(1164, 796)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,7594.589,3,0.02127659574468085,same
0,48,valid,"[(1160, 778)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.6166666666666667,0.506,1,7600.823,3,0.020833333333333332,same
0,49,catch,"[(1160, 802)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,7606.472,3,0.02040816326530612,same
0,50,valid,"[(1160, 795)]",[],[1],[0.55],vertical,"(390.0, 762.0)",1.0666666666666667,0.51,1,7612.606,3,0.02,same
0,51,catch,"[(1158, 790)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,7618.339,3,0.02,same
0,52,valid,"[(1160, 796)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",1.3166666666666667,0.573,1,7624.056,3,0.02,same
0,53,valid,"[(1165, 786)]",[],[1],[0.6],vertical,"(390.0, 262.0)",1.3166666666666667,0.554,1,7629.893,3,0.02,same
0,54,catch,"[(1164, 773)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,7636.023,3,0.02,same
0,55,valid,"[(1136, 782)]",[],[1],[0.45],vertical,"(890.0, 262.0)",1.5166666666666666,0.407,1,7642.456,3,0.02,same
0,56,valid,"[(1132, 802)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.05,nan,0,7648.937,0,0.02,same
0,57,valid,"[(1116, 799)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.65,nan,0,7653.564,0,0.02,same
0,58,valid,"[(1110, 790)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 262.0)",0.7833333333333333,0.586,1,7657.99,1,0.02,same
0,59,valid,"[(1140, 786)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.48333333333333334,0.539,1,7662.973,1,0.02,same
0,60,valid,"[(1131, 787)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",1.05,0.426,1,7667.605,1,0.02,same
0,61,catch,"[(1136, 826)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,7672.137,2,0.02,same
0,62,valid,"[(1155, 791)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.3166666666666667,0.455,1,7678.09,2,0.02,same
0,63,catch,"[(1156, 786)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,7683.881,2,0.02,same
0,64,valid,"[(1124, 822)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",1.2166666666666666,0.552,1,7689.84,3,0.02,same
