block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,1,target,"[(1021, 811)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.5333333333333332,nan,0,0.048,0,0.0,0.1
0,2,target,"[(1029, 790)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",1.45,0.431,1,392.375,1,0.0,0.1
0,3,target,"[(1052, 791)]",[],[1],[0.3833333333333333],vertical,"(890.0, 762.0)",1.4,0.346,1,397.512,1,0.0,0.1
0,4,target,"[(1031, 792)]",[],[1],[],horizontal,"(390.0, 762.0)",,"('fix', 0.147)",0,402.977,0,0.0,0.1
0,5,target,"[(1017, 835)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",0.8333333333333334,0.579,1,404.446,1,0.0,0.1
0,6,target,"[(1016, 803)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",0.5666666666666667,0.477,1,412.245,1,0.0,0.1
0,7,target,"[(1032, 799)]",[],[1],[0.5],vertical,"(390.0, 262.0)",1.05,0.458,1,441.762,1,0.0,0.1
0,8,target,"[(1018, 790)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.7333333333333333,0.474,1,446.795,2,0.0,0.1
0,9,target,"[(1047, 834)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.6,0.474,1,453.446,2,0.0,0.1
0,10,target,"[(1029, 842)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",0.6666666666666666,0.526,1,458.666,2,0.0,0.1
0,11,target,"[(1049, 820)]",[],[1],[0.6333333333333333],vertical,"(390.0, 762.0)",0.35,0.591,1,464.141,2,0.0,0.1
0,12,target,"[(1029, 796)]",[],[1],[0.5],vertical,"(890.0, 262.0)",1.4333333333333333,0.459,1,469.096,3,0.0,0.1
0,13,catch,"[(1029, 830)]",[],[1],[],vertical,"(390.0, 762.0)",1.6,nan,1,475.629,3,0.0,0.1
0,14,target,"[(1040, 817)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.8333333333333334,nan,0,481.575,0,0.0,0.1
0,15,target,"[(1047, 785)]",[],[1],[0.55],horizontal,"(390.0, 762.0)",1.05,0.51,1,486.624,1,0.0,0.1
0,16,target,"[(1049, 816)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",1.2833333333333332,0.579,1,492.263,1,0.0,0.1
