block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(1086, 876)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.9666666666666667,0.485,1,0.363
1,2,target,"[(1143, 856)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",1.1333333333333333,0.502,1,85.082
1,3,target,"[(1231, 644), (1016, 903)]",[],"[0, 1]",[0.85],horizontal,"(890.0, 762.0)",1.35,nan,0,90.434
1,4,target,"[(1054, 869)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.55,0.446,1,135.074
1,5,catch,"[(1052, 884)]",[],[1],"[0.85, 0.85]",horizontal,"(390.0, 262.0)",0.5333333333333333,"0.801,nan",1,177.245
1,6,target,"[(1075, 896)]",[],[1],[0.13333333333333333],horizontal,"(390.0, 262.0)",1.5,0.1,1,181.892
1,7,catch,"[(1110, 909)]",[],[1],[],vertical,"(390.0, 262.0)",,cti_phase,0,186.743
1,8,target,"[(1062, 867)]",[],[1],[0.3],horizontal,"(390.0, 262.0)",1.6,0.267,1,191.019
1,9,catch,"[(1096, 888)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.7166666666666667,nan,1,196.171
1,10,target,"[(1088, 894)]",[],[1],[0.26666666666666666],vertical,"(390.0, 262.0)",1.35,0.232,1,200.801
2,11,target,"[(1087, 875)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",0.8333333333333334,0.466,1,205.514
2,12,target,"[(1082, 890)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,210.41
2,13,target,"[(1084, 884)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",1.3166666666666667,"cti_phase,nan",0,214.876
2,14,target,"[(1072, 865)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 762.0)",1.1,0.432,1,220.36
2,15,target,"[(1062, 893)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,224.705
2,16,target,"[(1091, 870)]",[],[1],[0.25],horizontal,"(390.0, 262.0)",1.5833333333333333,0.219,1,229.461
