block,practice,trial,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,TRUE,1,"[(1104, 842)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)",1.483333333,0.383,1,0.472
1,TRUE,2,"[(1103, 829)]",[],[1],[0.35],horizontal,"(390.0, 762.0)",1.4,0.308,1,5.978
1,TRUE,3,"[(1119, 886)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",1.6,0.521,1,35.492
1,TRUE,4,"[(1119, 878)]",[],[1],[0.4166666666666667],horizontal,"(390.0, 762.0)",1.316666667,0.385,1,44.676
1,FALSE,1,"[(1119, 877)]",[],[1],[0.4166666666666667],vertical,"(390.0, 762.0)",0.683333333,0.376,1,54.945
1,FALSE,2,"[(1119, 878)]",[],[1],[0.3833333333333333],horizontal,"(890.0, 262.0)",1.616666667,0.343,1,58.879
1,FALSE,3,"[(143, 713), (252, 790), (141, 709), (117, 833), (127, 842), (1067, 857)]",[],"[0, 0, 0, 0, 0, 1]",[0.6166666666666667],horizontal,"(390.0, 762.0)",1.6,0.578,1,63.766
1,FALSE,4,"[(1038, 857)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.483333333,0.526,1,1245.915
1,FALSE,5,"[(1047, 917)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",0.966666667,0.545,1,1251.084
1,FALSE,6,"[(1040, 898)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.983333333,0.51,1,1255.828
1,FALSE,7,"[(1042, 896)]",[],[1],[0.7333333333333333],vertical,"(890.0, 262.0)",0.8,0.691,1,1260.254
1,FALSE,8,"[(1066, 895)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",1.466666667,0.525,1,1265.287
1,FALSE,9,"[(1045, 894)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.516666667,0.541,1,1270.309
1,FALSE,10,"[(1053, 883)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 262.0)",0.866666667,0.526,1,1274.657
1,FALSE,11,"[(1052, 890)]",[],[1],[0.25],horizontal,"(390.0, 262.0)",1,0.215,1,1279.361
1,FALSE,12,"[(1071, 891)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",1.066666667,0.573,1,1283.842
1,FALSE,13,"[(1047, 882)]",[],[1],[],horizontal,"(890.0, 762.0)",,cti_phase,0,1288.669
1,FALSE,14,"[(1071, 857)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",1.316666667,0.542,1,1293.406
1,FALSE,15,"[(1038, 877)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 262.0)",1.633333333,0.494,1,1298.586
1,FALSE,16,"[(1047, 879)]",[],[1],[0.7],horizontal,"(890.0, 262.0)",1.383333333,0.654,1,1303.792
1,FALSE,17,"[(1044, 881)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",0.733333333,0.558,1,1308.719
1,FALSE,18,"[(1068, 862)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 262.0)",1.466666667,0.443,1,1313.251
1,FALSE,19,"[(1050, 888)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 262.0)",0.65,0.491,1,1318.697
1,FALSE,20,"[(1065, 869)]",[],[1],[0.55],vertical,"(390.0, 762.0)",1.333333333,0.511,1,1323.392
1,FALSE,21,"[(1058, 863)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",0.616666667,0.477,1,1328.032
1,FALSE,22,"[(1038, 895)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.55,0.546,1,1332.268
1,FALSE,23,"[(1017, 888)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",1.45,0.542,1,1336.478
1,FALSE,24,"[(1039, 874)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",1.483333333,0.496,1,1341.432
1,FALSE,25,"[(1028, 874)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",1.266666667,0.51,1,1346.642
1,FALSE,26,"[(1071, 892)]",[],[1],[0.55],horizontal,"(390.0, 762.0)",1.316666667,0.511,1,1351.621
1,FALSE,27,"[(1038, 873)]",[],[1],[0.65],horizontal,"(390.0, 762.0)",1.55,0.608,1,1356.536
1,FALSE,28,"[(1071, 902)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.783333333,0.505,1,1361.906
1,FALSE,29,"[(1018, 866)]",[],[1],[0.55],vertical,"(390.0, 762.0)",1.15,0.505,1,1366.426
1,FALSE,30,"[(1038, 868)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.516666667,0.513,1,1371.548
1,FALSE,31,"[(1043, 871)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.583333333,0.804,0,1375.672
1,FALSE,32,"[(1047, 869)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",0.533333333,0.477,1,1380.389
1,FALSE,33,"[(1015, 882)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",0.5,0.54,1,1384.419
1,FALSE,34,"[(1062, 873)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",0.616666667,0.539,1,1388.914
1,FALSE,35,"[(1038, 884)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.816666667,0.508,1,1393.468
1,FALSE,36,"[(1067, 890)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",1.55,0.541,1,1397.58
1,FALSE,37,"[(1038, 865)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",1,0.48,1,1402.791
1,FALSE,38,"[(1047, 880)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.266666667,0.494,1,1407.44
1,FALSE,39,"[(1072, 896)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",1.433333333,0.522,1,1412.265
1,FALSE,40,"[(1052, 882)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",1.066666667,0.527,1,1417.287
1,FALSE,41,"[(1005, 885)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 762.0)",1.65,0.574,1,1422.141
1,FALSE,42,"[(1068, 858)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",0.716666667,0.521,1,1427.141
1,FALSE,43,"[(1052, 875)]",[],[1],[0.55],vertical,"(890.0, 262.0)",1.116666667,0.506,1,1431.453
1,FALSE,44,"[(1072, 895)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 262.0)",0.916666667,0.494,1,1436.197
1,FALSE,45,"[(1062, 898)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 262.0)",1.566666667,0.496,1,1441.101
1,FALSE,46,"[(1070, 903)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",0.566666667,0.525,1,1446.691
1,FALSE,47,"[(1076, 900)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",1.566666667,0.475,1,1450.987
1,FALSE,48,"[(1067, 882)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",1.133333333,0.526,1,1456.281
1,FALSE,49,"[(1071, 898)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",0.883333333,0.568,1,1460.654
1,FALSE,50,"[(1047, 889)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)",1.666666667,0.54,1,1465.171
1,FALSE,51,"[(1044, 870)]",[],[1],[0.6833333333333333],horizontal,"(390.0, 762.0)",1.666666667,0.649,1,1470.771
1,FALSE,52,"[(1073, 890)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",0.883333333,0.489,1,1476.234
1,FALSE,53,"[(1048, 880)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",0.7,0.573,1,1480.573
1,FALSE,54,"[(1016, 875)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.816666667,0.511,1,1485.034
1,FALSE,55,"[(1071, 903)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",1.6,0.508,1,1489.626
1,FALSE,56,"[(1062, 887)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",0.683333333,0.538,1,1494.865
1,FALSE,57,"[(1067, 889)]",[],[1],[0.55],vertical,"(890.0, 262.0)",1.183333333,0.513,1,1499.022
1,FALSE,58,"[(1071, 897)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)",0.616666667,0.54,1,1503.33
1,FALSE,59,"[(1071, 895)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",1.616666667,0.518,1,1507.455
1,FALSE,60,"[(1065, 879)]",[],[1],[0.6833333333333333],horizontal,"(390.0, 262.0)",0.95,0.632,1,1512.463
2,FALSE,61,"[(1071, 885)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.716666667,0.54,1,1517.657
2,FALSE,62,"[(1062, 889)]",[],[1],[0.5833333333333334],vertical,"(890.0, 762.0)",0.816666667,0.541,1,1521.634
2,FALSE,63,"[(1071, 894)]",[],[1],[0.65],vertical,"(890.0, 762.0)",1.083333333,0.607,1,1525.825
2,FALSE,64,"[(1068, 894)]",[],[1],[0.7],horizontal,"(390.0, 762.0)",1.4,0.656,1,1530.472
2,FALSE,65,"[(1047, 881)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",1.083333333,0.474,1,1536.024
2,FALSE,66,"[(1050, 887)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",0.8,0.522,1,1540.675
2,FALSE,67,"[(1048, 882)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.5,0.511,1,1545.187
2,FALSE,68,"[(1061, 885)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",0.783333333,0.52,1,1549.723
2,FALSE,69,"[(1033, 888)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",1.25,0.547,1,1554.125
2,FALSE,70,"[(1059, 889)]",[],[1],[0.5833333333333334],vertical,"(390.0, 762.0)",1.583333333,0.54,1,1558.657
2,FALSE,71,"[(1048, 879)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 262.0)",0.55,0.586,1,1564.075
2,FALSE,72,"[(1072, 876)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.983333333,0.515,1,1568.018
2,FALSE,73,"[(1057, 881)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",0.65,0.523,1,1572.327
2,FALSE,74,"[(1066, 873)]",[],[1],[0.6166666666666667],vertical,"(890.0, 762.0)",0.966666667,0.573,1,1576.604
2,FALSE,75,"[(1072, 900)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",1.333333333,0.564,1,1580.98
2,FALSE,76,"[(1060, 895)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.166666667,0.488,1,1585.754
2,FALSE,77,"[(1071, 893)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",0.583333333,0.505,1,1590.529
