block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,1,target,"[(1166, 829)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 262.0)",0.8,0.383,1,0.444,1,0.0,0.25
0,2,target,"[(1086, 862)]",[],[1],[0.11666666666666667],vertical,"(890.0, 262.0)",1.5166666666666666,0.087,0,10.475,0,0.0,0.25
0,3,target,"[(1153, 853)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",0.8333333333333334,0.466,1,67.397,1,0.0,0.25
0,4,target,"[(1155, 813)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",0.8166666666666667,0.466,1,72.84,1,0.0,0.25
0,5,catch,"[(1164, 805)]",[],[1],[],vertical,"(390.0, 762.0)",,"('cti', 1.625),nan",0,77.673,0,0.2,0.25
0,6,target,"[(1155, 816)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.1833333333333333,0.464,1,82.256,1,0.16666666666666666,0.25
0,7,catch,"[(1166, 828)]",[],[1],[],vertical,"(890.0, 262.0)",,"('cti', 1.691),nan",0,87.625,0,0.2857142857142857,0.25
0,8,catch,"[(1160, 808)]",[],[1],[],vertical,"(890.0, 262.0)",,"('cti', 1.521),nan",0,92.773,0,0.375,0.25
0,9,target,"[(1170, 814)]",[],[1],[0.13333333333333333],vertical,"(390.0, 262.0)",1.4166666666666667,0.102,0,97.44,0,0.3333333333333333,0.25
0,10,target,"[(1134, 794)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",1.3666666666666667,0.482,1,102.135,1,0.3,0.25
0,11,target,"[(1174, 807)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.5,0.487,1,107.465,1,0.2727272727272727,0.25
0,12,target,"[(1171, 808)]",[],[1],[0.85],vertical,"(890.0, 262.0)",1.0333333333333332,nan,0,112.96,0,0.25,0.25
0,13,target,"[(1157, 793)]",[],[1],[0.4666666666666667],vertical,"(390.0, 762.0)",1.15,0.442,1,117.739,1,0.23076923076923078,0.25
0,14,catch,"[(1153, 808)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,123.198,1,0.21428571428571427,0.25
0,15,target,"[(1175, 806)]",[],[1],[0.55],vertical,"(390.0, 262.0)",1.3333333333333333,0.517,1,128.565,1,0.2,0.25
0,16,target,"[(1169, 793)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",0.7666666666666666,0.455,1,134.536,2,0.1875,0.25
0,17,target,"[(1172, 798)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",1.4666666666666666,0.438,1,139.865,2,0.17647058823529413,0.25
0,18,catch,"[(1170, 791)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,146.215,2,0.16666666666666666,0.25
0,19,target,"[(1170, 806)]",[],[1],[0.75],horizontal,"(890.0, 762.0)",1.1333333333333333,0.717,1,152.041,2,0.15789473684210525,0.25
0,20,catch,"[(1156, 795)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,158.367,3,0.15,0.25
0,21,target,"[(1167, 805)]",[],[1],[0.8166666666666667],horizontal,"(890.0, 762.0)",1.0666666666666667,0.786,1,164.54,3,0.14285714285714285,0.25
0,22,target,"[(1159, 799)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 262.0)",1.0833333333333333,0.49,1,170.086,3,0.13636363636363635,0.25
0,23,target,"[(1170, 807)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",1.5333333333333332,0.434,1,176.357,3,0.13043478260869565,0.25
0,24,catch,"[(1167, 806)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,182.596,3,0.125,0.25
0,25,target,"[(1158, 798)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",1.5,0.449,1,188.51,3,0.12,0.25
0,26,target,"[(1157, 793)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",1.0,0.475,1,194.992,3,0.11538461538461539,0.25
0,27,target,"[(1170, 814)]",[],[1],[0.5],vertical,"(390.0, 262.0)",0.9,0.458,1,200.785,3,0.1111111111111111,0.25
0,28,target,"[(1170, 819)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",0.8,0.53,1,206.769,3,0.10714285714285714,0.25
0,29,target,"[(1156, 807)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.4166666666666667,0.48,1,212.549,3,0.10344827586206896,0.25
0,30,target,"[(1172, 808)]",[],[1],[0.6],horizontal,"(390.0, 262.0)",1.0833333333333333,0.56,1,217.793,3,0.1,0.25
0,31,target,"[(1175, 807)]",[],[1],[0.55],horizontal,"(390.0, 762.0)",0.5833333333333334,0.509,1,223.817,3,0.0967741935483871,0.25
0,32,target,"[(1171, 798)]",[],[1],[0.5],vertical,"(390.0, 762.0)",0.8666666666666667,0.459,1,228.993,3,0.09375,0.25
0,33,target,"[(1170, 809)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.5833333333333334,0.508,1,234.453,3,0.09090909090909091,0.25
