block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,valid,"[(1161, 831)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 262.0)",0.8166666666666667,0.349,1,0.494,1,0.0,same
0,2,valid,"[(1124, 801)]",[],[1],[0.4],vertical,"(890.0, 762.0)",0.5166666666666666,0.368,1,7.461,1,0.0,same
0,3,catch,"[(1125, 846)]",[],[1],[],horizontal,"(390.0, 762.0)",,"('cti', 0.505),nan",0,12.586,0,0.3333333333333333,same
0,4,catch,"[(1090, 835)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,54.371,1,0.25,same
0,5,catch,"[(1094, 819)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,396.255,1,0.2,same
0,6,valid,"[(1130, 808)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.5,nan,0,784.409,0,0.16666666666666666,same
0,7,valid,"[(1092, 835), (1028, 834)]",[],"[1, 1]",[0.5],horizontal,"(890.0, 262.0)",0.8666666666666667,0.459,1,788.478,1,0.14285714285714285,same
0,8,valid,"[(1164, 800)]",[],[1],[0.85],vertical,"(390.0, 762.0)",0.75,nan,0,797.625,0,0.125,same
0,9,valid,"[(1160, 782)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.8333333333333334,nan,0,802.34,0,0.1111111111111111,same
0,10,valid,"[(1141, 797)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 762.0)",1.4666666666666666,0.381,1,807.188,1,0.1,same
0,11,valid,"[(1160, 767)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.8833333333333333,nan,0,812.702,0,0.09090909090909091,same
0,12,catch,"[(1133, 816)]",[],[1],[],horizontal,"(390.0, 762.0)",,"('cti', 1.669),nan",0,817.71,0,0.16666666666666666,same
0,13,valid,"[(1185, 824)]",[],[1],[0.55],horizontal,"(890.0, 262.0)",0.9666666666666667,0.507,1,830.01,1,0.15384615384615385,same
0,14,valid,"[(1175, 807)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.65,0.502,1,834.659,1,0.14285714285714285,same
0,15,valid,"[(1180, 779)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",0.9,0.475,1,839.075,1,0.13333333333333333,same
0,16,valid,"[(1177, 782)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.9333333333333333,nan,0,844.225,0,0.125,same
0,17,valid,"[(1176, 799)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.4,0.46,1,849.022,1,0.11764705882352941,same
0,18,catch,"[(1174, 785)]",[],[1],[],vertical,"(890.0, 262.0)",1.7,nan,1,854.694,1,0.1111111111111111,same
0,19,catch,"[(1170, 773)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,860.334,1,0.10526315789473684,same
0,20,valid,"[(1175, 782)]",[],[1],[0.65],vertical,"(890.0, 762.0)",1.0,0.612,1,865.538,2,0.1,same
0,21,invalid_same_bar,"[(1185, 784)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.7666666666666666,0.473,1,871.026,2,0.09523809523809523,same
0,22,valid,"[(1185, 789)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",0.5333333333333333,0.475,1,876.095,2,0.09090909090909091,same
0,23,catch,"[(1175, 770)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,881.374,3,0.08695652173913043,same
0,24,valid,"[(1193, 786)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.4666666666666667,0.5,1,887.627,3,0.08333333333333333,same
0,25,catch,"[(1185, 775)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.554),nan",0,893.243,0,0.12,same
0,26,valid,"[(1110, 803)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",0.5166666666666666,0.581,1,898.025,1,0.11538461538461539,same
0,27,catch,"[(1185, 805)]",[],[1],[],vertical,"(390.0, 262.0)",,"('cti', 1.41),nan",0,902.721,0,0.14814814814814814,same
0,28,valid,"[(1183, 794)]",[],[1],[0.5],vertical,"(890.0, 762.0)",0.5666666666666667,0.467,1,907.409,1,0.14285714285714285,same
0,29,valid,"[(1184, 790)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.4666666666666667,nan,0,911.718,0,0.13793103448275862,same
