block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1122, 804)]",[],[1],[0.45],vertical,"(390.0, 762.0)",1.5,0.418,1,0.488,1
0,2,target,"[(1066, 812)]",[],[1],[0.4],horizontal,"(890.0, 762.0)",1.0833333333333333,0.366,1,16.345,1
0,3,target,"[(1001, 878), (1030, 833)]",[],"[0, 1]",[0.85],vertical,"(890.0, 262.0)",0.5833333333333334,nan,0,23.553,0
0,4,catch,"[(528, 543), (965, 859), (1000, 839), (1037, 839)]",[],"[0, 0, 0, 1]",[],horizontal,"(390.0, 762.0)",,"('cti', 1.58),nan",0,132.557,0
0,5,catch,"[(1028, 819)]",[],[1],[],vertical,"(390.0, 762.0)",1.6,nan,1,151.944,1
0,6,target,"[(1032, 810)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.5166666666666666,nan,0,156.946,0
0,7,target,"[(1043, 822)]",[],[1],[0.65],vertical,"(890.0, 762.0)",1.1166666666666667,0.612,1,161.422,1
0,8,target,"[(1038, 811)]",[],[1],[0.5666666666666667],vertical,"(390.0, 762.0)",0.65,0.525,1,166.289,1
0,9,target,"[(1025, 786)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 262.0)",0.7333333333333333,0.525,1,170.878,2
0,10,target,"[(1057, 799)]",[],[1],[0.36666666666666664],horizontal,"(390.0, 262.0)",1.2,0.327,1,175.976,2
0,11,target,"[(1053, 807)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.7833333333333333,nan,0,181.281,0
0,12,catch,"[(1041, 808)]",[],[1],[],vertical,"(390.0, 262.0)",1.6,nan,1,185.558,1
0,13,target,"[(1032, 826)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('cti', 0.437)",0,190.557,0
0,14,catch,"[(1016, 803)]",[],[1],[],vertical,"(390.0, 762.0)",1.6,nan,1,194.444,1
0,15,target,"[(1032, 845)]",[],[1],[0.5666666666666667],vertical,"(890.0, 762.0)",0.9333333333333333,0.527,1,201.528,1
0,16,target,"[(1049, 825)]",[],[1],[0.35],horizontal,"(890.0, 262.0)",1.3666666666666667,0.31,1,206.714,2
0,17,target,"[(1029, 809)]",[],[1],[0.3],horizontal,"(390.0, 262.0)",1.0333333333333332,0.262,1,211.971,2
0,18,catch,"[(1029, 802)]",[],[1],[],vertical,"(890.0, 762.0)",1.6,nan,1,217.383,2
