block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,0.36,21,[],[],"[(1141, 824)]",[],[1],[51],[0.85],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.0166666666666666],[0.488],1,0.126
1,True,2,1.09,65,[],[],"[(1141, 824)]",[],[1],[105],[1.75],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.55],[0.648],1,4.314
1,True,3,0.566,33,[],[],"[(1081, 866)]",[],[1],[78],[1.3],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.9333333333333333],[0.732],1,9.639
1,True,4,0.975,58,[],[489851],"[(1206, 892)]","[(1206, 904)]",[1],[56],[0.9333333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,435.74
1,False,1,0.484,29,[],[],"[(1232, 894), (1250, 886), (1226, 896)]",[],"[0, 0, 1]",[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,484.55
1,False,2,0.845,50,[],[],"[(1194, 892)]",[],[1],[80],[1.3333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.55],[0.488],1,507.456
1,False,3,1.077,64,[],[],"[(1193, 894)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,511.015
1,False,4,1.099,65,[],[],"[(1196, 902)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,514.4
1,False,5,1.055,63,[],[],"[(1185, 901)]",[],[1],[84],[1.4],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.8166666666666667],[0.34],1,517.603
1,False,6,0.516,30,[],[],"[(1230, 901)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,521.557
1,False,7,1.129,67,[],[],"[(1228, 896)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,535.234
1,False,8,1.129,67,[],[],"[(1246, 896), (1234, 890), (1232, 889), (1248, 912), (763, 603), (1203, 882)]",[],"[0, 0, 0, 0, 0, 1]",[],[],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,539.7
1,False,9,1.126,67,[],[],"[(1234, 893), (1194, 914)]",[],"[0, 1]",[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,589.121
1,False,10,0.405,24,[],[],"[(1224, 889)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[],[0],0,593.433
1,False,11,0.668,40,[],[],"[(1171, 893)]",[],[1],[51],[0.85],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.1666666666666667],[0.168],1,600.421
1,False,12,0.769,46,[],[],"[(1196, 899)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,604.331
1,False,13,0.677,40,[],[],"[(1204, 898)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],[0],0,607.029
1,False,14,0.448,26,[],[],"[(1228, 895)]",[],[1],[66],[1.1],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.2666666666666666],[0.648],1,610.457
1,False,15,1.368,82,[],[622447],"[(1202, 899)]","[(1174, 912)]",[1],[68],[1.1333333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,614.385
1,False,16,1.173,70,[],[],"[(1190, 906)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,617.154
1,False,17,0.619,37,[],[],"[(1238, 894), (1223, 893)]",[],"[0, 1]",[],[],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[],[0],0,620.465
1,False,18,0.848,50,[],[],"[(1212, 895)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,624.732
1,False,19,1.119,67,[],[],"[(1220, 924)]",[],[1],[107],[1.7833333333333332],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[0.5],[0.65],1,629.035
1,False,20,0.989,59,[],[],"[(1214, 903)]",[],[1],[65],[1.0833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.5],[0.082],1,632.929
1,False,21,0.861,51,[],[],"[(1224, 926)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],[0],0,641.982
1,False,22,1.418,85,[],[654834],"[(1202, 905)]","[(1134, 942)]",[1],[79],[1.3166666666666667],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,645.016
1,False,23,1.229,73,[],[],"[(1232, 914), (1206, 905)]",[],"[0, 1]",[],[],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,649.54
1,False,24,0.77,46,[],[],"[(1218, 894)]",[],[1],[80],[1.3333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.7],[0.546],1,656.479
1,False,25,0.567,34,[],[],"[(1221, 887)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,660.038
1,False,26,0.387,23,[],[],"[(1208, 910)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,662.731
1,False,27,1.243,74,[],[],"[(1170, 897)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],[0],0,666.347
1,False,28,0.436,26,[],[],"[(1244, 902), (1220, 879)]",[],"[0, 1]",[],[],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,670.594
1,False,29,1.455,87,[],[],"[(1190, 928)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[],[0],0,674.709
1,False,30,0.316,18,[],[],"[(1202, 888)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,680.775
1,False,31,0.89,53,[],[],"[(1199, 898)]",[],[1],[74],[1.2333333333333334],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[0.95],[0.336],1,683.678
