block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1135, 823), (1135, 823)]","[(1135, 823)]","[1, 1]",[0.0],vertical,"(390.0, 762.0)",,"('bar', 0.018)",0,0.281,0
0,2,target,"[(1102, 886)]",[],[1],[0.36666666666666664],vertical,"(890.0, 262.0)",1.6333333333333333,0.334,1,14.076,1
0,3,target,"[(1130, 854)]",[],[1],[0.4666666666666667],vertical,"(390.0, 262.0)",0.65,0.443,1,31.929,1
0,4,target,"[(1032, 863)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.6666666666666666,nan,0,40.951,0
0,5,target,"[(1016, 881)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.0666666666666667,nan,0,145.6,0
0,6,target,"[(1021, 865)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",1.0166666666666666,0.456,1,151.318,1
0,7,target,"[(1060, 829)]",[],[1],[0.26666666666666666],horizontal,"(390.0, 262.0)",1.5666666666666667,0.234,1,161.451,1
0,8,target,"[(1025, 855)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",0.9,0.501,1,166.403,1
0,9,catch,"[(1041, 819)]",[],[1],[],vertical,"(890.0, 262.0)",1.3,nan,1,170.92,2
0,10,target,"[(1040, 832)]",[],[1],[0.7166666666666667],horizontal,"(890.0, 262.0)",0.65,0.69,1,176.42,1
0,11,target,"[(1059, 829)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",0.5666666666666667,0.455,1,181.57,1
0,12,target,"[(1040, 811)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 262.0)",0.7,0.591,1,186.204,1
0,13,target,"[(1042, 809)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.0,0.489,1,190.853,3
0,14,target,"[(1040, 825)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",0.7166666666666667,0.537,1,196.403,1
0,15,target,"[(1042, 833)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.5833333333333334,nan,0,200.852,0
0,16,target,"[(1033, 833)]",[],[1],[0.5333333333333333],horizontal,"(890.0, 762.0)",1.15,0.506,1,205.352,1
0,17,target,"[(1044, 826)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.95,0.472,1,210.521,1
0,18,target,"[(1043, 828)]",[],[1],[],vertical,"(890.0, 262.0)",,"('cti', 1.17)",0,215.313,0
0,19,target,"[(1037, 829)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",1.3833333333333333,0.48,1,220.037,1
0,20,target,"[(1049, 818)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",0.5166666666666666,0.44,1,225.598,1
0,21,target,"[(1041, 817)]",[],[1],[0.6666666666666666],vertical,"(890.0, 262.0)",0.7,0.636,1,230.053,1
0,22,target,"[(1052, 827)]",[],[1],[0.6833333333333333],horizontal,"(890.0, 262.0)",0.6666666666666666,0.653,1,234.983,2
0,23,target,"[(1068, 807)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.8333333333333334,0.508,1,239.836,1
0,24,target,"[(1037, 808)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.1,0.499,1,244.486,1
0,25,target,"[(1060, 828)]",[],[1],[],horizontal,"(390.0, 262.0)",,"('cti', 1.616)",0,249.38,0
0,26,target,"[(1044, 830)]",[],[1],[0.23333333333333334],horizontal,"(390.0, 262.0)",1.6666666666666667,0.204,1,257.004,1
0,27,target,"[(1037, 852)]",[],[1],[0.5666666666666667],horizontal,"(890.0, 762.0)",0.65,0.537,1,262.067,1
0,28,target,"[(1037, 828)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.5666666666666667,0.527,1,266.499,1
0,29,target,"[(1040, 825)]",[],[1],[0.15],vertical,"(890.0, 762.0)",1.4166666666666667,0.12,1,270.718,2
0,30,target,"[(1037, 861)]",[],[1],[0.7166666666666667],vertical,"(390.0, 762.0)",1.0,0.684,1,276.815,1
0,31,target,"[(1049, 828)]",[],[1],[0.3333333333333333],vertical,"(390.0, 262.0)",1.2166666666666666,0.294,1,282.568,1
