block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,1,target,"[(1134, 867)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 262.0)",1.083333333,0.571,1,0.341
1,2,target,"[(1109, 818)]",[],[1],[0.7166666666666667],horizontal,"(390.0, 262.0)",1.4,0.667,1,6.497
1,3,target,"[(1149, 832)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 762.0)",0.583333333,0.571,1,20.786
1,4,target,"[(645, 853), (98, 1009), (97, 279), (974, 351), (88, 382), (495, 352), (92, 195), (102, 730), (1003, 189), (683, 298), (1066, 308), (630, 868), (1081, 876)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[],horizontal,"(890.0, 762.0)",,cti_phase,0,83.519
1,5,target,"[(1100, 908)]",[],[1],[0.23333333333333334],vertical,"(890.0, 262.0)",1.2,0.202,1,3815.84
1,6,target,"[(1100, 909)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,3820.516
1,7,target,"[(1095, 908)]",[],[1],[0.21666666666666667],vertical,"(390.0, 262.0)",1.366666667,0.183,1,3824.442
1,8,target,"[(1095, 903)]",[],[1],[],horizontal,"(890.0, 762.0)",,cti_phase,0,3829.598
1,9,target,"[(1126, 902)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.433333333,cti_phase,0,3834.175
1,10,target,"[(1094, 906)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",1.066666667,0.505,1,3840.457
1,11,target,"[(1095, 901)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",1.05,0.477,1,3844.807
1,12,target,"[(1095, 899)]",[],[1],[0.6833333333333333],vertical,"(390.0, 762.0)",0.516666667,0.64,1,3849.24
1,13,target,"[(1095, 911)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.65,0.477,1,3853.408
1,14,target,"[(1095, 905)]",[],[1],[0.3],vertical,"(390.0, 762.0)",1.033333333,0.264,1,3857.569
1,15,target,"[(1095, 910)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.55,nan,0,3861.641
1,16,target,"[(1129, 901)]",[],[1],[0.3833333333333333],horizontal,"(390.0, 262.0)",1.683333333,0.347,1,3866.318
1,17,target,"[(1124, 911)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,3871.435
1,18,target,"[(1132, 904)]",[],[1],[0.3],vertical,"(390.0, 262.0)",1.45,0.265,1,3876.119
1,19,target,"[(1120, 911)]",[],[1],[0.35],vertical,"(390.0, 262.0)",1.4,0.309,1,3881.691
1,20,target,"[(1104, 918)]",[],[1],[0.55],horizontal,"(890.0, 762.0)",0.6,0.509,1,3886.673
1,21,target,"[(1099, 922)]",[],[1],[0.18333333333333332],vertical,"(890.0, 762.0)",1.333333333,0.151,1,3891.151
1,22,target,"[(1107, 915)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",1.5,0.411,1,3895.324
1,23,target,"[(1095, 917)]",[],[1],[0.13333333333333333],vertical,"(390.0, 262.0)",1.366666667,0.099,1,3899.944
1,24,target,"[(1071, 932)]",[],[1],[0.5],horizontal,"(390.0, 262.0)",1.066666667,0.463,1,3904.841
1,25,target,"[(1095, 918)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 262.0)",0.633333333,0.44,1,3909.694
2,26,catch,"[(1095, 896)]",[],[1],[0.05],horizontal,"(890.0, 762.0)",1.116666667,nan,1,3913.975
2,27,catch,"[(1124, 906)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,3918.108
2,28,catch,"[(1124, 881)]",[],[1],[0.05],horizontal,"(890.0, 762.0)",1.566666667,nan,1,3922.312
2,29,catch,"[(1124, 911)]",[],[1],[0.05],horizontal,"(890.0, 762.0)",1.05,nan,1,3926.716
