block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,1.236,74,[],[204561],"[(1177, 868)]","[(1175, 876)]",[1],[22],[0.36666666666666664],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[],[0],0,0.565
1,True,2,1.182,70,[],[],"[(1190, 863)]",[],[1],[113],[1.8833333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.2],[0.69],1,196.293
1,True,3,0.466,27,[],[],"[(1186, 880)]",[],[1],[60],[1.0],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.8],[0.526],1,201.971
1,True,4,0.981,58,[],[],"[(1216, 894)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.1833333333333333],[0.501],1,206.311
1,False,1,1.254,75,[],[],"[(1222, 923)]",[],[1],[125],[2.0833333333333335],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.65],[0.807],0,211.903
1,False,2,0.431,25,[],[],"[(1203, 914)]",[],[1],[62],[1.0333333333333332],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.0666666666666667],[0.595],1,216.225
1,False,3,0.777,46,[],[],"[(1203, 906)]",[],[1],[83],[1.3833333333333333],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.0333333333333332],[0.589],1,220.099
1,False,4,1.18,70,[],[],"[(1185, 906)]",[],[1],[107],[1.7833333333333332],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.8333333333333334],[0.596],1,224.051
1,False,5,1.015,60,[],[],"[(1203, 880)]",[],[1],[96],[1.6],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.15],[0.577],1,228.159
1,False,6,0.632,37,[],[],"[(1193, 914)]",[],[1],[87],[1.45],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.8333333333333334],[0.809],0,232.415
1,False,7,0.631,37,[],[],"[(1240, 917), (1153, 880)]",[],"[0, 1]",[45],[0.75],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.4166666666666667],[0.119],1,236.34
1,False,8,1.495,89,[],[],"[(1201, 885)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[],[0],0,244.626
1,False,9,0.734,44,[],[],"[(1202, 909)]",[],[1],[68],[1.1333333333333333],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.1],[0.374],1,248.069
1,False,10,0.94,56,[],[],"[(1209, 927)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],[0],0,252.589
1,False,11,1.024,61,[],[],"[(1202, 904)]",[],[1],[78],[1.3],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.2666666666666666],[0.268],1,354.992
1,False,12,0.392,23,[],[],"[(1203, 909)]",[],[1],[57],[0.95],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[0.8333333333333334],[0.539],1,359.223
1,False,13,0.325,19,[],[],"[(1191, 914)]",[],[1],[59],[0.9833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[0.8833333333333333],[0.66],1,362.603
1,False,14,1.035,62,[],[],"[(1180, 905)]",[],[1],[92],[1.5333333333333332],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.7333333333333333],[0.487],1,366.023
1,False,15,0.706,42,[],[],"[(1203, 902)]",[],[1],[78],[1.3],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.8166666666666667],[0.587],1,369.882
1,False,16,1.184,71,[],[],"[(1197, 904)]",[],[1],[105],[1.75],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.1666666666666667],[0.558],1,373.909
1,False,17,0.459,27,[],[],"[(1156, 890)]",[],[1],[65],[1.0833333333333333],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.0],[0.629],1,378.396
1,False,18,1.421,85,[],[],"[(1203, 903)]",[],[1],[122],[2.033333333333333],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.5666666666666667],[0.606],1,382.12
1,False,19,0.493,29,[],[],"[(1201, 904)]",[],[1],[58],[0.9666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[1.6166666666666667],[0.476],1,386.247
1,False,20,0.864,51,[],[],"[(1203, 895)]",[],[1],[89],[1.4833333333333334],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.35],[0.622],1,390.411
1,False,21,0.34,20,[],[],"[(1200, 902)]",[],[1],[54],[0.9],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.5666666666666667],[0.551],1,394.838
1,False,22,1.493,89,[],[],"[(1207, 901)]",[],[1],[122],[2.033333333333333],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[1.0833333333333333],[0.536],1,397.864
1,False,23,1.438,86,[],[],"[(1196, 897)]",[],[1],[125],[2.0833333333333335],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.0166666666666666],[0.641],1,402.544
1,False,24,1.043,62,[],[],"[(1203, 900)]",[],[1],[108],[1.8],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.9666666666666667],[0.761],1,407.288
1,False,25,0.593,35,[],[],"[(1169, 892)]",[],[1],[66],[1.1],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[0.6666666666666666],[0.506],1,411.688
1,False,26,0.621,37,[],[],"[(1175, 897)]",[],[1],[70],[1.1666666666666667],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[0.7833333333333333],[0.521],1,415.058
1,False,27,1.305,78,[],[],"[(1146, 903)]",[],[1],[106],[1.7666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.1],[0.451],1,419.13
1,False,28,0.618,37,[],[],"[(1142, 898)]",[],[1],[81],[1.35],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[1.3666666666666667],[0.72],1,423.508
1,False,29,0.82,49,[],[],"[(1173, 893)]",[],[1],[88],[1.4666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.1833333333333333],[0.63],1,428.532
1,False,30,0.887,53,[],[],"[(1196, 890)]",[],[1],[96],[1.6],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[1.2833333333333332],[0.696],1,432.686
1,False,31,0.708,42,[],[],"[(1194, 881)]",[],[1],[73],[1.2166666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.3166666666666667],[0.497],1,437.183
1,False,32,1.373,82,[],[],"[(1191, 899)]",[],[1],[111],[1.8499999999999999],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.9666666666666667],[0.461],1,441.205
