block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1159, 874)]",[],[1],[0.36666666666666664],vertical,"(390.0, 762.0)",1.05,0.337,1,0.433,1
0,2,target,"[(1092, 879)]",[],[1],[0.6166666666666667],vertical,"(890.0, 262.0)",0.9666666666666667,0.572,1,6.239,1
