block,practice,trial,change_interval_s,change_interval_frames,taps_start_time_during_fix,taps_end_time_during_fix,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_frame_during_fix,taps_on_lever_s_during_fix,fix_xy,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,0.828,49,[],[],"[(1222, 961), (1110, 1023), (1190, 881)]",[],"[0, 0, 1]",[],[],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,0.363
1,True,2,0.539,32,[],[157450],"[(658, 960), (1032, 615), (1193, 889)]","[(1176, 922)]","[0, 0, 1]",[29],[0.48333333333333334],"[640.0, 512.0]",vertical,"(890.0, 762.0)",[],[0],0,144.232
1,True,3,0.76,45,[],[],"[(1203, 874)]",[],[1],[],[],"[640.0, 512.0]",vertical,"(390.0, 262.0)",[],[0],0,148.664
1,True,4,1.157,69,[],[],"[(672, 847), (648, 711), (1183, 883)]",[],"[0, 0, 1]",[5],[0.08333333333333333],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[1.1666666666666667],[0.053],1,151.982
1,False,1,1.074,64,[],[],"[(1174, 903)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 762.0)",[],[0],0,156.91
1,False,2,1.156,69,[],[173115],"[(1202, 865)]","[(1150, 910)]",[1],[69],[1.15],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[],"[0, 0]",0,161.222
1,False,3,0.879,52,[],[],"[(653, 547), (288, 490), (1137, 879)]",[],"[0, 0, 1]",[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,165.071
1,False,4,0.535,32,[],[],"[(538, 668), (684, 966), (328, 508), (1148, 879)]",[],"[0, 0, 0, 1]",[34],[0.5666666666666667],"[640.0, 512.0]",vertical,"(890.0, 262.0)",[1.0166666666666666],[0.528],1,169.818
1,False,5,0.779,46,[],[],"[(1200, 875)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(890.0, 262.0)",[],[0],0,176.285
1,False,6,0.628,37,[],[],"[(972, 807), (1202, 879)]",[],"[0, 1]",[33],[0.55],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[0.7],[0.507],1,178.11
1,False,7,0.773,46,[],[],"[(1136, 867)]",[],[1],[],[],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[],[0],0,181.976
1,False,8,0.689,41,[],[196884],"[(1196, 882)]","[(1179, 897)]",[1],[33],[0.55],"[640.0, 512.0]",vertical,"(390.0, 762.0)",[],[0],0,185.588
1,False,9,1.087,65,[],[],"[(628, 812), (556, 913), (1197, 863)]",[],"[0, 0, 1]",[14],[0.23333333333333334],"[640.0, 512.0]",horizontal,"(390.0, 262.0)",[0.9166666666666666],[0.199],1,188.089
1,False,10,0.92,55,[],[],"[(1195, 889)]",[],[1],[40],[0.6666666666666666],"[640.0, 512.0]",horizontal,"(390.0, 762.0)",[1.4833333333333334],[0.625],1,193.119
