block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses
0,1,target,"[(1105, 813)]",[],[1],[0.3833333333333333],horizontal,"(890.0, 262.0)",0.7833333333333333,0.35,1,0.411,1
0,2,target,"[(1199, 844)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",0.8166666666666667,0.465,1,13.905,1
0,3,target,"[(1198, 833)]",[],[1],[0.4166666666666667],horizontal,"(390.0, 762.0)",1.4333333333333333,0.376,1,87.606,2
0,4,target,"[(1217, 815)]",[],[1],[0.1],horizontal,"(890.0, 762.0)",1.4,0.069,0,93.364,0
0,5,target,"[(1204, 823)]",[],[1],[0.6],horizontal,"(390.0, 262.0)",0.5833333333333334,0.559,1,97.844,1
0,6,target,"[(1229, 812), (1206, 819)]",[],"[0, 1]",[],horizontal,"(890.0, 262.0)",,"('cti', 1.395)",0,102.431,0
0,7,target,"[(1224, 825)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.8666666666666667,0.511,1,108.393,1
0,8,catch,"[(1241, 810), (1215, 821)]",[],"[0, 1]",[],vertical,"(390.0, 262.0)",1.6,nan,1,112.875,1
0,9,target,"[(1236, 804), (1208, 809)]",[],"[0, 1]",[0.05],vertical,"(390.0, 762.0)",1.6,0.019,0,119.631,0
0,10,target,"[(1223, 843)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.6333333333333333,nan,0,125.36,0
0,11,target,"[(1195, 829)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.6166666666666667,0.527,1,130.378,1
0,12,target,"[(1259, 815), (1186, 834)]","[(1190, 821)]","[0, 1]",[0.03333333333333333],horizontal,"(390.0, 262.0)",,"('bar', 0.051)",0,140.857,0
0,13,target,"[(1279, 820), (1273, 827), (1242, 799), (272, 475), (1223, 833)]","[(1188, 843)]","[0, 0, 0, 0, 1]",[0.25],horizontal,"(390.0, 762.0)",,"('bar', 0.268)",0,144.133,0
0,14,target,"[(1211, 829)]",[],[1],[0.5],vertical,"(890.0, 262.0)",0.75,0.456,1,148.209,1
0,15,catch,"[(1279, 816), (1199, 812)]","[(1197, 833)]","[0, 1]",[0.15],vertical,"(390.0, 762.0)",,"('bar', 0.163),nan",0,155.285,0
0,16,target,"[(1140, 908)]",[],[1],[0.4666666666666667],vertical,"(890.0, 762.0)",0.7,0.426,1,158.579,1
