block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,target,"[(1134, 836)]",[],[1],[0.4666666666666667],vertical,"(890.0, 262.0)",0.5333333333333333,0.427,1,0.046
1,True,2,target,"[(1134, 834)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 762.0)",1.6666666666666667,0.421,1,4.629
1,True,3,target,"[(1128, 887)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",0.8166666666666667,0.449,1,15.754
1,True,4,target,"[(1077, 910)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,20.592
1,False,1,catch,"[(1081, 892)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",1.2833333333333332,0.577,0,63.09
1,False,2,target,"[(1074, 896)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.9833333333333333,0.469,1,67.689
1,False,3,target,"[(1063, 897)]",[],[1],[0.13333333333333333],vertical,"(390.0, 762.0)",1.6833333333333333,0.099,1,112.416
1,False,4,target,"[(1091, 906)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",0.9166666666666666,nan,0,117.468
1,False,5,target,"[(1091, 886)]",[],[1],[0.55],vertical,"(890.0, 762.0)",0.6166666666666667,0.508,1,122.679
1,False,6,target,"[(1071, 910)]",[],[1],[0.5],horizontal,"(890.0, 262.0)",1.4666666666666666,0.46,1,131.288
1,False,7,target,"[(1095, 881)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 762.0)",1.3833333333333333,0.442,1,136.594
1,False,8,target,"[(1072, 886)]",[],[1],[0.7],vertical,"(390.0, 762.0)",1.25,0.655,1,141.735
1,False,9,target,"[(1095, 897)]",[],[1],[0.55],vertical,"(390.0, 762.0)",0.5833333333333334,0.512,1,146.556
1,False,10,target,"[(1075, 896)]",[],[1],[0.4],horizontal,"(390.0, 762.0)",1.1833333333333333,0.365,1,150.641
