block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,actual_invalid_type
0,1,valid,"[(1146, 822)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",1.5,0.439,1,0.566,1,0.0,same
0,2,invalid_same_bar,"[(1142, 839)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.75,0.488,1,11.165,1,0.0,same
0,3,catch,"[(1123, 849)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,15.689,1,0.0,same
0,4,valid,"[(1071, 881)]",[],[1],[],horizontal,"(890.0, 762.0)",,"('cti', 0.529)",0,21.201,0,0.0,same
0,5,valid,"[(1125, 815)]",[],[1],[0.6],horizontal,"(390.0, 262.0)",1.2166666666666666,0.563,1,119.735,1,0.0,same
0,6,valid,"[(1156, 774)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.1833333333333333,0.479,1,124.906,1,0.0,same
0,7,valid,"[(1160, 787)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 762.0)",0.9666666666666667,0.549,1,130.075,1,0.0,same
0,8,valid,"[(1158, 794)]",[],[1],[0.48333333333333334],vertical,"(390.0, 262.0)",0.45,0.455,1,135.395,2,0.0,same
0,9,valid,"[(1183, 787)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",1.1833333333333333,0.459,1,139.957,2,0.0,same
0,10,catch,"[(1160, 778)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,145.723,2,0.0,same
0,11,valid,"[(1155, 779)]",[],[1],[0.5833333333333334],vertical,"(390.0, 262.0)",1.3,0.546,1,151.474,3,0.0,same
0,12,catch,"[(1155, 779)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,157.724,3,0.0,same
0,13,invalid_same_bar,"[(1136, 775)]",[],[1],[0.85],vertical,"(890.0, 262.0)",1.0333333333333332,nan,0,163.993,0,0.0,same
0,14,valid,"[(1146, 808)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",1.3,0.424,1,169.094,1,0.0,same
0,15,invalid_same_bar,"[(1156, 794)]",[],[1],[0.6666666666666666],horizontal,"(390.0, 262.0)",0.4,0.643,1,174.44,1,0.0,same
0,16,catch,"[(1136, 843)]",[],[1],[],vertical,"(890.0, 762.0)",,"('fix', 0.085),nan",0,178.691,0,0.0625,same
0,17,valid,"[(1133, 823)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.6666666666666666,nan,0,180.289,0,0.058823529411764705,same
0,18,valid,"[(1111, 823)]",[],[1],[0.55],vertical,"(890.0, 762.0)",0.5,0.526,1,185.328,1,0.05555555555555555,same
0,19,invalid_adjacent_other_bar,"[(1144, 794)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.1666666666666667,nan,0,190.15,0,0.05263157894736842,other
0,20,valid,"[(1160, 785)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",1.5,0.416,1,195.251,1,0.05,same
0,21,catch,"[(1155, 787)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,200.952,1,0.047619047619047616,same
0,22,catch,"[(1147, 785)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,205.974,1,0.045454545454545456,same
0,23,valid,"[(1156, 784)]",[],[1],[0.6],vertical,"(890.0, 262.0)",0.9,0.57,1,211.541,2,0.043478260869565216,same
0,24,catch,"[(1146, 794)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,217.142,2,0.041666666666666664,same
0,25,valid,"[(1146, 807)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",1.3666666666666667,0.435,1,222.746,2,0.04,same
0,26,valid,"[(1155, 776)]",[],[1],[0.8333333333333334],vertical,"(890.0, 762.0)",0.6666666666666666,0.808,0,228.891,0,0.038461538461538464,same
0,27,catch,"[(1160, 797)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,233.46,1,0.037037037037037035,same
0,28,catch,"[(1146, 831)]",[],[1],[],vertical,"(390.0, 262.0)",1.7,nan,1,238.628,1,0.03571428571428571,same
0,29,catch,"[(1156, 794)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,244.267,1,0.034482758620689655,same
0,30,valid,"[(1146, 796)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",0.8666666666666667,0.487,1,249.145,2,0.03333333333333333,same
0,31,valid,"[(1174, 801)]",[],[1],[0.45],vertical,"(390.0, 262.0)",0.8666666666666667,0.423,1,254.476,2,0.03225806451612903,same
0,32,catch,"[(1151, 788)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,259.493,2,0.03125,same
0,33,valid,"[(1155, 796)]",[],[1],[0.6166666666666667],vertical,"(390.0, 262.0)",0.45,0.578,1,264.962,3,0.030303030303030304,same
0,34,valid,"[(1150, 800)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 762.0)",1.3666666666666667,0.445,1,270.092,3,0.029411764705882353,same
0,35,catch,"[(1160, 802)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,276.154,3,0.02857142857142857,same
0,36,catch,"[(1155, 775)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,282.331,3,0.027777777777777776,same
0,37,valid,"[(1160, 799)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",1.0833333333333333,0.472,1,288.119,3,0.02702702702702703,same
0,38,valid,"[(1137, 774)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.8166666666666667,0.452,1,294.175,3,0.02631578947368421,same
0,39,valid,"[(1178, 802)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",0.8,0.442,1,300.064,3,0.02564102564102564,same
0,40,valid,"[(1167, 778)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 762.0)",0.8166666666666667,0.431,1,305.792,3,0.025,same
0,41,valid,"[(1153, 790)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.0833333333333333,0.491,1,310.976,3,0.024390243902439025,same
0,42,valid,"[(1160, 780)]",[],[1],[0.4666666666666667],vertical,"(390.0, 262.0)",0.4,0.435,1,316.912,3,0.023809523809523808,same
0,43,invalid_same_bar,"[(1148, 792)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.5666666666666667,nan,0,322.073,0,0.023255813953488372,same
0,44,valid,"[(1111, 794)]",[],[1],[0.4166666666666667],vertical,"(890.0, 762.0)",1.0166666666666666,0.379,1,326.825,1,0.022727272727272728,same
0,45,valid,"[(1161, 790)]",[],[1],[0.5],vertical,"(390.0, 262.0)",0.7666666666666666,0.469,1,332.227,1,0.022222222222222223,same
0,46,invalid_same_bar,"[(1158, 782)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",0.85,0.504,1,337.141,1,0.021739130434782608,same
0,47,valid,"[(1188, 800)]",[],[1],[0.6666666666666666],vertical,"(890.0, 262.0)",0.9166666666666666,0.631,1,342.033,2,0.02127659574468085,same
0,48,valid,"[(1126, 828)]",[],[1],[0.43333333333333335],horizontal,"(890.0, 262.0)",0.43333333333333335,0.406,1,347.108,2,0.020833333333333332,same
0,49,valid,"[(1168, 784)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",1.0666666666666667,0.448,1,352.476,2,0.02040816326530612,same
0,50,catch,"[(1160, 799)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,358.029,3,0.02,same
0,51,catch,"[(1160, 788)]",[],[1],[],vertical,"(890.0, 762.0)",1.7,nan,1,363.776,3,0.02,same
0,52,valid,"[(1157, 784)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 762.0)",1.1333333333333333,0.457,1,369.392,3,0.02,same
0,53,catch,"[(1166, 794)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,375.825,3,0.02,same
0,54,valid,"[(1137, 788)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.3833333333333333,0.521,1,381.95,3,0.02,same
0,55,valid,"[(1143, 785)]",[],[1],[0.85],horizontal,"(390.0, 262.0)",1.4166666666666667,nan,0,387.564,0,0.02,same
0,56,invalid_adjacent_other_bar,"[(1155, 805)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 762.0)",0.35,0.586,1,392.483,1,0.02,other
0,57,catch,"[(1141, 766)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,396.759,1,0.02,same
0,58,valid,"[(1157, 790)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",1.5333333333333332,0.509,1,402.028,1,0.02,same
0,59,valid,"[(1151, 791)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",0.9166666666666666,0.457,1,407.173,2,0.02,same
0,60,catch,"[(1162, 779)]",[],[1],[],vertical,"(390.0, 762.0)",1.7,nan,1,412.762,2,0.02,same
0,61,valid,"[(1153, 800)]",[],[1],[0.4166666666666667],horizontal,"(890.0, 762.0)",1.3666666666666667,0.384,1,418.741,2,0.02,same
0,62,valid,"[(1184, 796)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 262.0)",0.9,0.455,1,424.175,3,0.02,same
0,63,valid,"[(1156, 806)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",0.8,0.439,1,429.975,3,0.02,same
0,64,valid,"[(1178, 786)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 762.0)",1.0833333333333333,0.441,1,435.509,3,0.02,same
0,65,valid,"[(1167, 790)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",1.0666666666666667,0.441,1,441.7,3,0.02,same
0,66,valid,"[(1165, 801)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.5166666666666666,0.494,1,447.405,3,0.0,same
0,67,catch,"[(1165, 779)]",[],[1],[],horizontal,"(890.0, 262.0)",1.7,nan,1,453.844,3,0.0,same
0,68,invalid_adjacent_other_bar,"[(1120, 795)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",1.5166666666666666,0.592,1,460.075,3,0.0,other
0,69,valid,"[(1160, 779)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",0.8666666666666667,0.509,1,466.842,3,0.0,same
0,70,invalid_same_bar,"[(1164, 803)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",0.48333333333333334,0.501,1,472.499,3,0.0,same
0,71,invalid_same_bar,"[(1169, 770)]",[],[1],[0.4666666666666667],vertical,"(390.0, 262.0)",1.4333333333333333,0.44,1,478.592,3,0.0,same
0,72,valid,"[(1180, 783)]",[],[1],[0.6],vertical,"(390.0, 262.0)",0.8,0.577,1,484.908,3,0.0,same
0,73,valid,"[(1134, 773)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 762.0)",0.75,0.451,1,490.666,3,0.0,same
0,74,valid,"[(1162, 778)]",[],[1],[0.85],vertical,"(890.0, 762.0)",0.43333333333333335,nan,0,496.092,0,0.0,same
0,75,valid,"[(1141, 794)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",1.0833333333333333,0.511,1,500.516,1,0.0,same
0,76,valid,"[(1188, 794)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",0.6333333333333333,0.504,1,505.442,1,0.0,same
0,77,catch,"[(1156, 788)]",[],[1],[],vertical,"(890.0, 762.0)",,"('cti', 1.425),nan",0,510.192,0,0.02,same
0,78,catch,"[(1101, 839)]",[],[1],[],horizontal,"(890.0, 262.0)",,"('cti', 1.364),nan",0,515.112,0,0.04,same
0,79,valid,"[(1141, 818)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.4666666666666666,0.499,1,523.392,1,0.04,same
0,80,invalid_adjacent_other_bar,"[(1165, 799)]",[],[1],[0.5166666666666666],horizontal,"(390.0, 762.0)",1.15,0.474,1,528.686,1,0.04,other
0,81,valid,"[(1162, 787)]",[],[1],[0.65],vertical,"(390.0, 762.0)",0.7833333333333333,0.604,1,533.778,1,0.04,same
0,82,invalid_adjacent_other_bar,"[(1163, 793)]",[],[1],[0.55],vertical,"(390.0, 262.0)",1.4833333333333334,0.516,1,538.728,2,0.04,other
0,83,catch,"[(1164, 795)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,544.62,2,0.04,same
