block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100
0,1,catch,"[(1042, 867)]",[],[1],[],horizontal,"(390.0, 262.0)",1.7,nan,1,0.111,1,0.0
0,2,valid,"[(1059, 869)]",[],[1],[0.4],horizontal,"(390.0, 762.0)",1.35,0.361,1,5.809,1,0.0
0,3,valid,"[(1067, 877)]",[],[1],[0.36666666666666664],vertical,"(390.0, 262.0)",1.2333333333333334,0.333,1,10.762,1,0.0
0,4,catch,"[(1067, 877)]",[],[1],[],horizontal,"(390.0, 762.0)",1.7,nan,1,17.201,2,0.0
0,5,catch,"[(1067, 877)]",[],[1],[],horizontal,"(890.0, 762.0)",1.7,nan,1,22.547,2,0.0
