block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
13,False,764,target,"[(1081, 413), (1081, 852)]","[(1081, 863)]","[0, 1]",[0.21666666666666667],vertical,"(390.0, 762.0)",,bar_phase,0,11910.583
13,False,765,catch,"[(1088, 856)]",[],[1],[0.45],vertical,"(390.0, 262.0)",1.65,nan,1,11915.175
13,False,766,target,"[(1103, 854)]",[],[1],[0.5],horizontal,"(390.0, 762.0)",1.1166666666666667,0.457,1,11922.387
13,False,767,target,"[(1086, 883)]",[],[1],[0.75],vertical,"(390.0, 262.0)",0.6,0.704,1,11926.755
13,False,768,target,"[(1082, 883)]",[],[1],[0.5666666666666667],vertical,"(890.0, 262.0)",0.75,0.525,1,11931.382
13,False,769,catch,"[(1091, 885)]",[],[1],[0.11666666666666667],horizontal,"(890.0, 262.0)",1.6,0.086,0,11935.97
13,False,770,catch,"[(1085, 861)]",[],[1],[0.45],horizontal,"(390.0, 262.0)",0.9,nan,1,11940.89
13,False,771,target,"[(1129, 880)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,11946.66
13,False,772,target,"[(1117, 859)]",[],[1],[0.5666666666666667],vertical,"(390.0, 262.0)",0.8833333333333333,0.525,1,11951.649
13,False,773,target,"[(1104, 897)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.6166666666666667,0.443,1,11956.257
13,False,774,target,"[(1134, 889)]",[],[1],[0.5],vertical,"(890.0, 762.0)",0.7333333333333333,0.459,1,11960.219
13,False,775,catch,"[(1090, 901)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",1.45,nan,1,11964.739
13,False,776,catch,"[(1089, 885)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",1.05,nan,1,11969.486
13,False,777,target,"[(1085, 880)]",[],[1],[0.5166666666666666],vertical,"(390.0, 762.0)",0.6666666666666666,0.476,1,11982.01
13,False,778,target,"[(1095, 871)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,11986.3
13,False,779,target,"[(1095, 867)]",[],[1],[0.3],horizontal,"(390.0, 262.0)",0.95,0.272,1,11989.955
13,False,780,target,"[(1114, 882)]",[],[1],[0.5],vertical,"(390.0, 262.0)",0.9833333333333333,0.463,1,11994.548
14,False,781,target,"[(1102, 876)]",[],[1],[0.25],horizontal,"(390.0, 262.0)",1.0833333333333333,0.218,1,11998.986
14,False,782,target,"[(1119, 889)]",[],[1],[0.21666666666666667],horizontal,"(390.0, 262.0)",1.3,0.184,1,12003.721
14,False,783,target,"[(1095, 881)]",[],[1],[0.5166666666666666],vertical,"(890.0, 262.0)",1.1666666666666667,0.474,1,12008.812
14,False,784,catch,"[(1090, 876)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",0.5333333333333333,nan,1,12013.631
14,False,785,catch,"[(1087, 875)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,12018.153
14,False,786,target,"[(1119, 876)]",[],[1],[0.5],vertical,"(890.0, 262.0)",1.1666666666666667,0.461,1,12022.911
14,False,787,target,"[(1111, 886)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",0.6833333333333333,0.495,1,12027.588
14,False,788,catch,"[(1095, 876)]",[],[1],[0.45],vertical,"(890.0, 262.0)",1.15,nan,1,12031.917
14,False,789,target,"[(1103, 886)]",[],[1],[0.48333333333333334],vertical,"(890.0, 262.0)",0.6666666666666666,0.443,1,12036.422
14,False,790,target,"[(1090, 872)]",[],[1],[0.13333333333333333],horizontal,"(390.0, 762.0)",1.35,0.101,1,12040.784
14,False,791,target,"[(1085, 887)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,12045.698
14,False,792,target,"[(1095, 863)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",0.8166666666666667,0.472,1,12050.06
14,False,793,target,"[(1118, 876)]",[],[1],[0.4],vertical,"(390.0, 762.0)",1.45,0.36,1,12054.753
14,False,794,target,"[(1090, 887)]",[],[1],[0.6166666666666667],horizontal,"(890.0, 762.0)",0.9833333333333333,0.576,1,12059.822
14,False,795,target,"[(1104, 882)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",1.3833333333333333,0.456,1,12064.682
14,False,796,target,"[(1086, 883)]",[],[1],[0.26666666666666666],horizontal,"(390.0, 262.0)",1.3666666666666667,0.23,1,12069.339
