block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,catch,"[(1077, 914)]",[],[1],[0.2833333333333333],vertical,"(890.0, 762.0)",1.15,0.246,0,0.361
1,True,2,target,"[(1104, 901)]",[],[1],[],horizontal,"(390.0, 262.0)",,fix_phase,0,63.41
1,True,3,target,"[(1045, 847)]",[],[1],[0.4],horizontal,"(390.0, 262.0)",1.0,0.367,1,65.808
1,True,4,target,"[(1104, 922)]",[],[1],[0.5166666666666666],horizontal,"(890.0, 762.0)",1.35,0.477,1,125.36
1,False,1,target,"[(1102, 885)]",[],[1],[0.45],vertical,"(390.0, 262.0)",1.0166666666666666,0.409,1,150.946
1,False,2,target,"[(1109, 896)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.5,0.517,1,156.708
1,False,3,catch,"[(1104, 904)]",[],[1],[0.6833333333333333],horizontal,"(390.0, 262.0)",0.7333333333333333,0.652,0,161.015
1,False,4,target,"[(1104, 892)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.6166666666666667,nan,0,165.438
1,False,5,target,"[(1078, 886)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 262.0)",0.9,0.431,1,170.014
1,False,6,catch,"[(1080, 905)]",[],[1],[0.13333333333333333],horizontal,"(390.0, 762.0)",1.2,0.104,0,174.808
1,False,7,target,"[(1112, 844)]",[],[1],[0.5],vertical,"(390.0, 762.0)",0.7166666666666667,0.459,1,179.031
1,False,8,catch,"[(1086, 880)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.7833333333333333,nan,1,184.576
1,False,9,catch,"[(1067, 891)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 262.0)",0.7666666666666666,0.448,0,189.164
1,False,10,target,"[(1081, 875)]",[],[1],[0.45],vertical,"(390.0, 262.0)",0.6666666666666666,0.411,1,200.149
1,False,11,target,"[(1105, 880)]",[],[1],[0.3833333333333333],horizontal,"(890.0, 262.0)",1.0,0.349,1,205.257
1,False,12,target,"[(1081, 887)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",0.55,0.494,1,209.976
1,False,13,catch,"[(1095, 900)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",0.8333333333333334,nan,1,213.705
1,False,14,catch,"[(1086, 888)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,218.346
1,False,15,target,"[(1085, 875)]",[],[1],[0.5],vertical,"(390.0, 262.0)",0.9833333333333333,0.455,1,222.819
1,False,16,target,"[(1098, 885)]","[(1092, 885)]",[1],[0.0],horizontal,"(890.0, 262.0)",,bar_phase,0,227.267
1,False,17,target,"[(1104, 891)]",[],[1],[0.3833333333333333],vertical,"(890.0, 762.0)",1.15,0.34,1,229.52
1,False,18,catch,"[(1104, 905)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,234.538
1,False,19,catch,"[(1081, 891)]",[],[1],[0.16666666666666666],horizontal,"(890.0, 762.0)",1.5333333333333332,0.132,0,238.329
1,False,20,target,"[(1090, 886)]",[],[1],[],horizontal,"(890.0, 262.0)",,cti_phase,0,243.013
1,False,21,target,"[(1081, 878)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.5833333333333334,0.491,1,247.53
1,False,22,target,"[(1095, 894)]","[(1051, 896)]",[1],[0.5166666666666666],horizontal,"(390.0, 262.0)",,bar_phase,0,254.546
1,False,23,target,"[(1072, 897)]",[],[1],[0.5666666666666667],horizontal,"(390.0, 762.0)",0.5,0.526,1,257.418
1,False,24,catch,"[(1064, 900)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.7333333333333333,nan,1,262.396
1,False,25,target,"[(1197, 572), (746, 762), (1088, 913)]",[],"[0, 0, 1]",[0.45],vertical,"(890.0, 762.0)",1.1166666666666667,0.408,1,267.006
1,False,26,target,"[(1084, 876)]",[],[1],[0.85],vertical,"(390.0, 262.0)",1.1833333333333333,"cti_phase,nan",0,284.452
1,False,27,target,"[(1101, 868)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",0.5333333333333333,0.491,1,289.465
1,False,28,target,"[(1083, 898)]",[],[1],[0.85],vertical,"(890.0, 262.0)",0.8333333333333334,nan,0,293.38
