block,practice,trial,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
1,True,1,"[(1050, 837)]",[],[1],[0.3333333333333333],horizontal,"(890.0, 762.0)",1.55,0.296,1,0.562
1,True,2,"[(1047, 826)]",[],[1],[0.21666666666666667],horizontal,"(890.0, 262.0)",1.4166666666666667,0.189,1,6.127
1,True,3,"[(1047, 825)]",[],[1],[],vertical,"(390.0, 762.0)",,fix_phase,0,14.277
1,True,4,"[(1063, 828)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",0.9666666666666667,0.412,1,26.913
1,False,1,"[(1064, 828)]",[],[1],[0.5166666666666666],vertical,"(890.0, 762.0)",0.5166666666666666,0.483,1,31.396
1,False,2,"[(1078, 893)]",[],[1],[0.4],vertical,"(890.0, 762.0)",1.3833333333333333,0.36,1,40.537
1,False,3,"[(1072, 893)]",[],[1],[0.45],vertical,"(390.0, 262.0)",1.4166666666666667,0.412,1,57.796
1,False,4,"[(1047, 902)]",[],[1],[0.5333333333333333],vertical,"(890.0, 762.0)",1.5,0.493,1,63.296
1,False,5,"[(1013, 885)]",[],[1],[0.5333333333333333],vertical,"(890.0, 262.0)",1.2833333333333332,0.5,1,161.946
1,False,6,"[(1048, 901)]",[],[1],[0.55],vertical,"(390.0, 262.0)",0.65,0.51,1,168.353
1,False,7,"[(1054, 907)]",[],[1],[0.6666666666666666],vertical,"(890.0, 762.0)",1.4833333333333334,0.628,1,172.349
1,False,8,"[(1072, 932)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 762.0)",0.9,0.626,1,177.168
1,False,9,"[(1059, 900)]",[],[1],[0.65],vertical,"(390.0, 762.0)",1.15,0.607,1,181.685
1,False,10,"[(1070, 910)]",[],[1],[0.05],vertical,"(390.0, 262.0)",0.5666666666666667,0.019,1,186.387
1,False,11,"[(1051, 906)]",[],[1],[0.6],horizontal,"(890.0, 762.0)",1.45,0.559,1,190.266
1,False,12,"[(1066, 889)]",[],[1],[0.6],horizontal,"(390.0, 762.0)",1.25,0.559,1,195.225
